"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-24",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113419566991996,-2.20086051972025,0.00143617076174026,0.00968277364562832,0.000409685714128196,-2.19058563109432,0.00117391395719817,0.00905709807244612,0.000397183213073548,-2.19987122387611,0.00205930302799315,0.00933362743436736,0.00058765488727141,-2.20100727752253,0.00184851958489299,0.00976183414140926,0.000576148025869287
"11422-25",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11379111869174,-2.19864797284315,0.00138102358325852,0.0100655035153055,0.000376871416670318,-2.18796268701359,0.0011485226639665,0.00947345176062202,0.000365582487107071,-2.20149465347718,0.00195556120480082,0.0103248634094153,0.000527578716714919,-2.19853933728978,0.00165946090441181,0.00994201043824025,0.000517221787102286
"11422-26",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113639274049444,-2.19967240404249,0.00138031003033762,0.00984147742894783,0.000372135692511141,-2.18897736950321,0.00114843732078073,0.00917732506445515,0.000360700511513937,-2.20282460797153,0.0019495931175354,0.0101409364461273,0.000508302935231771,-2.19980351317411,0.00166607321105154,0.00987631935124725,0.000467762680558919
"11422-27",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113374556051429,-2.20198114052666,0.00142508412108463,0.00999709398746527,0.000403843901643315,-2.19125680141962,0.00116538903450272,0.00938938798476084,0.000391946259223407,-2.20253529837322,0.00202294703598868,0.0101559097581273,0.000557788075887238,-2.20182555377881,0.00181059294843001,0.00989604125580319,0.000551635797600775
"11422-28",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113527459057369,-2.20049737979564,0.00142376800060907,0.00992934052416248,0.000402979365094993,-2.19017932062137,0.00117040484968417,0.00941188967244845,0.000392659779881888,-2.19985068635373,0.00198885715165964,0.00962888582599992,0.000541176108381335,-2.20037394170332,0.00166947657447312,0.00984794904617084,0.000519698344906126
"11422-29",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113634179821914,-2.2001785611949,0.00137651157090476,0.0104817592034743,0.000386717618566214,-2.18909832223931,0.00113994287263119,0.0099693028532645,0.000377509484771226,-2.20263658739194,0.00194830672406663,0.0108296250303321,0.000557219288213092,-2.20080361685099,0.00169314904075281,0.010611797293078,0.00051464455397406
"11422-30",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113759647705194,-2.19833277549801,0.00139495049562463,0.0096360289744594,0.000376954489738032,-2.18812938157575,0.00115922551391138,0.00911217875499571,0.00036692871284492,-2.19759943755063,0.00194170499525942,0.00963765307136542,0.000500004730845829,-2.19811601469462,0.00166770647129222,0.00958927087758564,0.000494799121409015
"11422-31",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113699020517929,-2.20051692088864,0.00140897534384541,0.0101904925926547,0.000381132796039613,-2.18964598498,0.00117139722427766,0.00942569601761175,0.000369486621261211,-2.20107429380469,0.00197940899443092,0.010231288651766,0.00052857173479838,-2.20051030293042,0.00160139274838588,0.0101693641366037,0.000424784702678995
"11422-32",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113637305588463,-2.20098466995807,0.00140458266442121,0.0105886281996599,0.000394568624930742,-2.18960647889471,0.00115401580586705,0.00995966218944783,0.000382785544513992,-2.20217501687692,0.00199550552589344,0.0109336270018726,0.000542679721487117,-2.20130255846092,0.00179973866514841,0.0106861536071232,0.000558515913243067
"11422-33",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113424102696912,-2.20256362872446,0.00141652733840471,0.0102008548009807,0.000390858779391987,-2.19169260229941,0.0011675501233642,0.00971002337322606,0.000384054891668491,-2.19897431143131,0.0020182960754408,0.00923654011136941,0.000568084713024869,-2.20224655448349,0.00165106813154836,0.0100431740978108,0.000493473596283508
"11422-34",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113672250420759,-2.20081574123405,0.00140260588310616,0.010124526781158,0.000374028281373522,-2.19041171540988,0.00117140433504965,0.00969695058201602,0.000366761899649901,-2.19839762099949,0.0019939810241684,0.00982587225176141,0.00053488430653125,-2.20061269190349,0.00160277611020692,0.0100569544999842,0.000480481176948868
"11422-35",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.114007453598183,-2.19822695226676,0.00141499328434084,0.0100543584376557,0.000373992139346251,-2.18739117417022,0.00117353637652144,0.00943331045734227,0.000362857797583554,-2.1983599041335,0.00200472993332016,0.0101707134344964,0.000532593497481318,-2.19811486457614,0.00163682967085005,0.0101242206646658,0.000456045566355436
"11422-36",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113632200080543,-2.20007937659529,0.00140598742059759,0.0100894854638664,0.000391426367601322,-2.18954008754949,0.00115994812571248,0.00963742083583853,0.000381589813071176,-2.19988452636019,0.00203673778917718,0.00980714580807864,0.000580667139016275,-2.20026527211864,0.00160764068449857,0.0101850524647864,0.000490025503417992
"11422-37",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113759797630927,-2.19971179352364,0.0014124866455596,0.00986849791435599,0.00037505922073304,-2.18913674990039,0.00117299024614476,0.00930302432215697,0.000366280084327396,-2.20104935600801,0.00204180765954498,0.0100883264116266,0.000560880413025581,-2.19991641620897,0.00162666667012238,0.00994939398951501,0.00046899059382094
"11422-38",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113379874854916,-2.20253318806564,0.00138165420246106,0.0101246317186035,0.000374522242445876,-2.1916454784459,0.0011486212613084,0.00944357844016366,0.000360614197180515,-2.20236328635604,0.00199164970612787,0.010266692624076,0.000558262047797493,-2.20247482820003,0.00161533105616065,0.0101167253865843,0.000494943154243029
"11422-39",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113755620073547,-2.20004013438333,0.0014129922713231,0.0102625232905256,0.000385775086530851,-2.18877367418371,0.0011620120005097,0.0095514444566037,0.000372390097705473,-2.19718170963846,0.00199746536328199,0.00997409388730995,0.000545587249935564,-2.19975922491333,0.00162925522396853,0.0101611239460829,0.000494633346792975
"11422-40",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113364971832399,-2.20344404907309,0.0014063330716718,0.0105303066821295,0.000391874864199589,-2.19262954235504,0.00116555574694326,0.00996906029366269,0.000380700117076976,-2.20452695789762,0.00199367453038277,0.0105766460397611,0.000542364570893982,-2.20316217959156,0.00177536307194018,0.0104198575833033,0.0005329891012634
"11422-41",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113529645893291,-2.19946482203259,0.00143108872620085,0.00994561652536979,0.000424823458432493,-2.18876770767936,0.00115912738703711,0.00922219129867187,0.000409948194464185,-2.19710483377842,0.002056901033464,0.0096682042149948,0.000633512574947148,-2.19938569423556,0.00175709366422266,0.00992932219227233,0.000569269190543139
"11422-42",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113221708739647,-2.20321868497442,0.00138101623762705,0.0102386793483054,0.000388555138208915,-2.19252257562979,0.00114581675939983,0.00964813197456497,0.000376478731125642,-2.20258979746464,0.00192591280848977,0.0096664136824068,0.000512512683870377,-2.20307865116656,0.00165953431167487,0.0101454424952043,0.000531287530381564
"11422-43",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113550933593068,-2.20181134225654,0.00140927047678024,0.0106607728620857,0.000398715001899652,-2.19059658852032,0.00115991784065637,0.0100157758346427,0.000386195250245843,-2.20210609018237,0.0019778776669984,0.0104309689896899,0.000531354666367595,-2.2018699182968,0.00173735131728145,0.01068394562483,0.00056439445864064
"11422-44",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11353108159229,-2.20305775803264,0.00141888795584913,0.0105523994337399,0.000384648845250337,-2.1919139347415,0.0011757733708855,0.00997844757231622,0.000376739980573583,-2.20463669597559,0.00200931999044847,0.010994639054013,0.000553276852906951,-2.20322806135796,0.00180338658419814,0.0106262056554688,0.000530065142992293
"11422-45",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113608636928167,-2.19978468474131,0.0013843110553557,0.00988532047170708,0.000378148046039989,-2.18940133828807,0.00115214846656846,0.00935049345535276,0.000367716450003696,-2.20065372243058,0.00195363721520452,0.0102422305793548,0.000530618814387728,-2.19981170687525,0.0015915324928126,0.00988237067771615,0.000469899102848275
"11422-46",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113604774766555,-2.19820484818151,0.00140162307408411,0.00948746875183255,0.000399397959309398,-2.18849354054907,0.00115558768793505,0.00910345232189434,0.000389450198702009,-2.19827420790844,0.00196925849744653,0.0100004541727364,0.000558772597231236,-2.19847941000138,0.00173170830960906,0.00959900261971919,0.000518840216919362
"11422-47",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11353198901312,-2.20086416460913,0.00140649677826406,0.0099573763908066,0.000387586559065265,-2.1901273992745,0.00116072668886187,0.00935212457205593,0.000377863006278524,-2.20122185404379,0.00198656036742735,0.00976623648764845,0.000550620603072514,-2.2002780000312,0.00157203203640745,0.00982260170718856,0.000448982351596737
"11422-48",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11369619381749,-2.19984427452408,0.00141530023572704,0.0102918640470387,0.000399415361255825,-2.18896897123346,0.00116580771368788,0.00961137600440611,0.000388433813084863,-2.19961963573001,0.00198453877680103,0.0105949581691451,0.000550176260465133,-2.2000564015325,0.00175768942038316,0.0103485950270411,0.000551509323140094
"11422-49",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113877385196867,-2.19980876253283,0.00139688488552202,0.010579817291056,0.000376222872738769,-2.18849110914151,0.00116668487867874,0.00984796355627514,0.000370228215102755,-2.19953317875011,0.00197385582455507,0.0104257371609988,0.000541272841666789,-2.19977446266463,0.00169400778379971,0.0105945691639198,0.000508932149211986
"11422-50",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113582844282826,-2.1989619196213,0.00143538797014662,0.00944111178635566,0.000407185653459918,-2.1891430667888,0.00117423834886821,0.0089666511992319,0.000394720022672223,-2.19845578116861,0.0020099330048171,0.00908013027838462,0.000567147969793617,-2.19838225210392,0.00177448667420496,0.00919588540534217,0.000556509311813035
"11422-51",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11355391481237,-2.19936080638202,0.0013970463296016,0.00940609475883526,0.000380888176486947,-2.18957723852381,0.00116420016919743,0.00894318774365726,0.00037468514836897,-2.2010487902273,0.00199505518726753,0.0101327914522944,0.000567739392002984,-2.1995926055372,0.00158824037652216,0.00943637206730112,0.000476999915771477
"11422-52",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11369430244377,-2.19903595452872,0.0013846647874733,0.00984006669235505,0.000377321682964084,-2.1890686582731,0.00115741807879274,0.00944691634075832,0.0003691397790379,-2.20018615733667,0.0019883347794017,0.0104123541026543,0.00054078383117103,-2.19930248034744,0.00160990511930709,0.00994366693757912,0.000441717640153554
"11422-53",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113636175377789,-2.19940449643991,0.00141900435115516,0.00987619679039695,0.00040050835601943,-2.18911639923666,0.00116726727558707,0.00938189752894441,0.000390788444685037,-2.2015753550577,0.00200722684000988,0.0102406186204849,0.000553529463890956,-2.19934808711844,0.00178629400657867,0.00987496977789823,0.000562723265155012
"11422-54",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113472465823008,-2.20078766730388,0.00139505640098502,0.00965230514450926,0.000378687719114734,-2.19078764111419,0.00115661365977702,0.00933456939497934,0.000368420971048631,-2.19749582268823,0.00194003231654288,0.00971174138204627,0.000507737903178265,-2.20072711079613,0.00163268125326211,0.00967068684372274,0.000514476733715466
"11422-55",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113767066662322,-2.19860218992939,0.00142014451328473,0.00978678951747576,0.000392109827051328,-2.18818500614901,0.00116803284112465,0.00926721303078457,0.000381625959391453,-2.19792471379055,0.00197307345342737,0.00955137508646521,0.000524835123539833,-2.19830041720386,0.00173536855529154,0.00970471316398529,0.000484024374120918
"11422-56",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113466240176137,-2.20282212878209,0.00141387711634738,0.0105346892416932,0.00039260305855556,-2.19153126487183,0.00116649631404525,0.00982213758643253,0.000382121362763572,-2.20099828272052,0.00197044953537767,0.0101778068122599,0.000531203742784154,-2.20263543927663,0.00164482952907442,0.010480035029617,0.000478463477813428
"11422-57",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113661389202769,-2.20072444819468,0.00140329003378896,0.0103908960564991,0.000387007456547287,-2.18958855350284,0.00115602669465477,0.0098469789705399,0.000375719206904031,-2.20164228552706,0.00199641330699789,0.0103001583366205,0.000549938330472791,-2.20041875797562,0.00184137732360226,0.0102765081093822,0.00057468515922324
