"sim","N","beta1","minW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11431-62",2200,0.00995033085316809,0.3,0.1,0.0718335484269038,0.00994090933287387,0.000479926366471644,0.0121895648316543,0.000651050765406538,0.0106743622843203,0.00144536815900349,0.009328190929036,0.000849001562341185
"11431-63",2200,0.00995033085316809,0.3,0.1,0.0716169739314972,0.00978921435946305,0.000505545832311397,0.0136222340556605,0.000747994626753914,0.0105573684291294,0.00174473431942814,0.0105005102973976,0.00106276788177944
"11431-64",2200,0.00995033085316809,0.3,0.1,0.071802467122482,0.00933694595660553,0.00048440188758544,0.0123181771789155,0.000665269005865184,0.00852653105587092,0.00177092426564313,0.0103837741221146,0.000842463885621051
"11431-65",2200,0.00995033085316809,0.3,0.1,0.0715924341055561,0.00899887707877083,0.000477498505922469,0.0114290986166062,0.000667804876010532,0.00845546840887619,0.00185686026103613,0.008694649974826,0.000965105135260752
"11431-66",2200,0.00995033085316809,0.3,0.1,0.0718915076817702,0.00960961824481832,0.000457946126464671,0.0126345552861937,0.000659053199250291,0.0112238654965236,0.00162747441958775,0.0105124219531775,0.000905152145099336
"11431-67",2200,0.00995033085316809,0.3,0.1,0.0719302806924163,0.00992337574347401,0.00048865620317998,0.0130008260174486,0.000692346966040318,0.0103668659110616,0.00161405027055379,0.00876933347544859,0.000867438555139035
"11431-68",2200,0.00995033085316809,0.3,0.1,0.0718522824523202,0.0109273133732786,0.000485440218976484,0.0141939906030347,0.000697676655878732,0.0102032440237756,0.00154560500599276,0.0107551422382526,0.00110576692904971
"11431-69",2200,0.00995033085316809,0.3,0.1,0.0716581893758686,0.00977024889478844,0.000501830055255638,0.0126306835156993,0.000710633807809868,0.00671950078397557,0.0017490565308277,0.00956392281775598,0.000904981800928819
"11431-70",2200,0.00995033085316809,0.3,0.1,0.0717046432492366,0.0101798226624828,0.000488361644008467,0.0126450246837589,0.000671860352362525,0.00832774753553323,0.00152136185537217,0.0101474556234612,0.000968401866853871
"11431-71",2200,0.00995033085316809,0.3,0.1,0.0717719446003522,0.0101414990195358,0.000516258848848515,0.0128347853025495,0.000705298952153384,0.00883340286930411,0.00169408585268128,0.00975046687103768,0.00114250487249875
"11431-72",2200,0.00995033085316809,0.3,0.1,0.0717124732659134,0.00923292124400762,0.000477243563207249,0.0118884176095384,0.000670363949662514,0.00913494362717991,0.00140724409261837,0.00817491075755297,0.000837664247229297
"11431-73",2200,0.00995033085316809,0.3,0.1,0.0719242717449664,0.00949342307375979,0.000495054339018182,0.0119223374709521,0.000674051157637289,0.00826191078196188,0.00163876828209841,0.00915202172234758,0.000905380505763326
"11431-74",2200,0.00995033085316809,0.3,0.1,0.0716841796047664,0.0102090057387214,0.000486858211270564,0.0127092490981051,0.000662631930341557,0.0100946307144897,0.00177926147296106,0.0100525041339977,0.000815190713890463
"11431-75",2200,0.00995033085316809,0.3,0.1,0.0717887120242527,0.00948418133656738,0.000485882897359188,0.0121421922127436,0.000694519295309192,0.00818442869745581,0.00154524497359248,0.00945936727773269,0.00127028463346115
"11431-76",2200,0.00995033085316809,0.3,0.1,0.0716265598959755,0.010654302122954,0.000493687396595315,0.0137621072013578,0.000704163389064261,0.0116981245702303,0.00173956526693795,0.0111621654124391,0.000899633096141133
"11431-77",2200,0.00995033085316809,0.3,0.1,0.0719729838095796,0.0107462281762445,0.000466031061265223,0.0136570117102485,0.00064721981179502,0.0112677332055023,0.00134167186388811,0.0110697453561807,0.00121114749007336
"11431-78",2200,0.00995033085316809,0.3,0.1,0.0719655969879554,0.0101894657394106,0.000499678160998442,0.012972585939598,0.000704512841426492,0.00790693105198576,0.0016721622543387,0.0101835356307097,0.00102547973238462
"11431-79",2200,0.00995033085316809,0.3,0.1,0.0718234709394725,0.0102621848286211,0.000484375155189866,0.0136790002130344,0.0006974812946645,0.011258223590909,0.00141672094337655,0.0104785871732755,0.00101201216771017
"11431-80",2200,0.00995033085316809,0.3,0.1,0.0717905155169644,0.0103099726600319,0.000494592030878576,0.0136346796290462,0.00070984231870734,0.00975893806325231,0.00153841723511219,0.00968616505883698,0.000863208009143578
"11431-81",2200,0.00995033085316809,0.3,0.1,0.0716915558591159,0.00980712974587568,0.000496694974234959,0.0127420637713881,0.000686358053789528,0.0107698061397117,0.00189870890519049,0.00991157807336624,0.000959155901985445
"11431-82",2200,0.00995033085316809,0.3,0.1,0.07185646502655,0.0100405012720312,0.000468898848160381,0.0131305177965946,0.000663862587020017,0.00982813495872071,0.00196850527339969,0.0111604860194154,0.00104561044404364
"11431-83",2200,0.00995033085316809,0.3,0.1,0.0720352970813006,0.00906664717233771,0.000495199001205409,0.0112589799711311,0.000667191166354279,0.00944012382534506,0.00167160020465205,0.0103341150493235,0.00094172704324712
"11431-84",2200,0.00995033085316809,0.3,0.1,0.0718575649363459,0.0105195169758316,0.000499482810772979,0.0133795422544019,0.000709398343854216,0.0145954302845461,0.00165345026790916,0.0129357489276867,0.00100769184201828
"11431-85",2200,0.00995033085316809,0.3,0.1,0.0718119034881383,0.00956296436560101,0.000461657274181288,0.0120372633894478,0.000621436716137855,0.0118853318627882,0.00162302590889673,0.0104914063194873,0.000744918932795421
"11431-86",2200,0.00995033085316809,0.3,0.1,0.071805687007725,0.0111668857590298,0.000470712106709964,0.0142996201665774,0.000661897065473796,0.0121441766745581,0.00126535251548073,0.0116733390709877,0.00104152301364534
"11431-87",2200,0.00995033085316809,0.3,0.1,0.0717228349718342,0.0101965538631197,0.000475631950781338,0.0134144013183718,0.000693876804742909,0.0101890469787843,0.00149490842527569,0.00946333591707241,0.0010358923765356
"11431-88",2200,0.00995033085316809,0.3,0.1,0.071812819247979,0.00968913393180873,0.000470657778621454,0.0125398958004473,0.000645747569868069,0.0108769400246807,0.00138848868476035,0.0100917745589595,0.000872272682928111
"11431-89",2200,0.00995033085316809,0.3,0.1,0.0717087152028212,0.0095050130704491,0.000504811804885331,0.0125805572582573,0.000696014964178266,0.00886012199941617,0.00170035521919732,0.0093934241248632,0.0010252952825302
"11431-90",2200,0.00995033085316809,0.3,0.1,0.0717855167031373,0.00983962659045113,0.000498442472625317,0.0127422512754305,0.000693511573854437,0.00956159522151347,0.00169573462258018,0.00973497955648486,0.00112229374929818
"11431-91",2200,0.00995033085316809,0.3,0.1,0.0716752212077055,0.00966287262817335,0.000487447484046643,0.012384811831512,0.000699743196905395,0.00926797817217437,0.00181026272712648,0.00909928765656969,0.000842124984682635
"11431-92",2200,0.00995033085316809,0.3,0.1,0.0716117956437257,0.00973091089320558,0.000480259024480806,0.0124477558422367,0.000671708665776044,0.00900883536820411,0.00134161330411221,0.0110271596272661,0.00108517891161526
"11431-93",2200,0.00995033085316809,0.3,0.1,0.0719240162304201,0.00987010387203149,0.000480416127989343,0.0119404035146047,0.000653544845264511,0.0115873226121435,0.00149290330397773,0.0102858273147481,0.000909864282110079
"11431-94",2200,0.00995033085316809,0.3,0.1,0.0717104833099597,0.0101710805696059,0.000493547721754429,0.0121720797579567,0.000659226642668264,0.0109617214729596,0.0016610830104215,0.00926282934360822,0.00103706973581795
"11431-95",2200,0.00995033085316809,0.3,0.1,0.071773480490779,0.0101287543135088,0.000485049547541609,0.0142242115457828,0.000702523007406809,0.0107131455686047,0.00156881568891424,0.0107106166419191,0.000775718553119593
"11431-96",2200,0.00995033085316809,0.3,0.1,0.0716496144125188,0.0109159528906715,0.000503430112190507,0.014023304842141,0.000723002398690904,0.0105242152944852,0.00158290903506906,0.0107001935012197,0.00124069161042649
"11431-97",2200,0.00995033085316809,0.3,0.1,0.0716089821755045,0.00961992309197167,0.00049999071647508,0.0122508680065545,0.0006915511297223,0.0114279980273693,0.00155495482501334,0.00986547882305673,0.000878449008486257
"11431-98",2200,0.00995033085316809,0.3,0.1,0.0717271547398027,0.00954953145160026,0.000470111793245959,0.0120375832121433,0.000651882089978281,0.00925565280555619,0.00144523188793027,0.010056997900275,0.00112524376632739
"11431-99",2200,0.00995033085316809,0.3,0.1,0.0717205640565659,0.0105912232518051,0.000501162603810939,0.0137169550044258,0.00069092554519702,0.00703873727789745,0.0017093846631505,0.0104033294823224,0.00121463432183068
"11431-100",2200,0.00995033085316809,0.3,0.1,0.0716930024913823,0.00962348988291554,0.000500732875787072,0.0125827099873585,0.000711193710660029,0.00893573795420282,0.00158393349989683,0.00960234370457125,0.000987924647912515
