"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114174652061381,-2.19927567892771,0.00330155543511205,0.012403397612023,0.00097138790069427,-2.19129710525391,0.0029713554841226,0.0124321096520727,0.00104785690267148,-2.16095244729345,0.00974420647089857,0.00195098367704496,0.00287903242786961,-2.20029833768211,0.00696422231173338,0.0124712614497387,0.00261034386858915
"11422-2",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115381475379102,-2.17792629294829,0.00320947105113629,0.00761834848646098,0.000895030467938683,-2.17186921519346,0.00288878752995519,0.00709621779494304,0.000954541075265949,-2.15745077077148,0.010796437936258,0.00698362514903951,0.00377093449196795,-2.18317799708441,0.00511055421574083,0.0101046131770937,0.00194939376201122
"11422-3",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113699673690315,-2.19013935173381,0.00336244291106028,0.00646637068119734,0.000974998345007605,-2.1847356476427,0.00301812817936854,0.00589673856330538,0.00106234620717182,-2.17098834297554,0.0105542091552256,0.00678220325202665,0.00271511837452342,-2.19871823424683,0.00817823872053743,0.0094824905883701,0.00282084373387922
"11422-4",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114682941348575,-2.19216087413204,0.00350225587220636,0.010101318563678,0.000978308984637049,-2.1848555562088,0.0031562343935439,0.00991760495411084,0.0010746303004621,-2.25198780678219,0.0150435413901989,0.020349086087688,0.00484152772659224,-2.19126064110067,0.00600618941336813,0.00985980162193979,0.00226659922460482
"11422-5",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114749035575918,-2.17468140727894,0.00327038711264612,0.00391711811168205,0.000905527166815412,-2.17239376030373,0.00295763803308777,0.00410973462993074,0.000978578545817669,-2.15868432937816,0.00951902568318451,-0.00418135533761492,0.00265641302987108,-2.17618502316158,0.00501200879601593,0.00453273356577555,0.00178922255903736
"11422-6",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115270012636996,-2.17529548047639,0.00327093854023756,0.0057169037291767,0.000876446162858035,-2.17146863704669,0.00292908840046141,0.0057986269656272,0.000922620003158662,-2.17928026439157,0.0107714133782999,0.017173544108608,0.00283969931906655,-2.17798789345917,0.00749689064811369,0.00656103540911427,0.00266408302090388
"11422-7",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114241455166468,-2.19875883385211,0.00334834839794197,0.0116884809485111,0.000936221629821172,-2.1912877189178,0.0029986422159137,0.0118374040666786,0.000989990435739787,-2.22207323440929,0.0116775995526472,0.00779870917858849,0.00391662938325337,-2.20545334005903,0.00590936900408363,0.0138158692943528,0.00202638945649644
"11422-8",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.116749318532958,-2.17591733463974,0.00328065701977333,0.0107430865268421,0.000869048446055217,-2.16945660017834,0.00293875313409701,0.0111440775777277,0.000904476706208642,-2.16257061046564,0.0105279326096381,0.00581524251453246,0.00267192619679257,-2.17407823813386,0.00819621918240843,0.0100480579763443,0.00280992556472472
"11422-9",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.116318168515314,-2.18538623601465,0.0033476733734598,0.0130341939874137,0.000913880296930792,-2.17953627274777,0.00303967927162676,0.0145036208203934,0.00099522014059307,-2.2482310948098,0.0108875878830164,0.0430977133767395,0.00373791790433857,-2.18509240979298,0.0083799081809458,0.0131978908214924,0.00306896285249135
"11422-10",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114713857442635,-2.19756442763809,0.00329196964881155,0.0125531919750121,0.000889776441161977,-2.19218333806897,0.00297753157675025,0.0141289493248692,0.000950690024630725,-2.20720016691546,0.0111159794675863,0.0184676089897665,0.0034189724761055,-2.19849240127554,0.00514110163205432,0.013230487182299,0.00168764626823893
"11422-11",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114894605178462,-2.19146944869776,0.00324751973613097,0.0106038139128328,0.000841964267472922,-2.18463997315076,0.00292732045955866,0.0109447955960397,0.000894762347744655,-2.14773767596439,0.00997013165343543,0.00427121868740734,0.00280489812284922,-2.18917439470475,0.0054846571283303,0.00971069799344599,0.00159864575373803
"11422-12",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114337399663493,-2.18748065293064,0.00333432802991478,0.00685661456928553,0.000849745476072829,-2.18330076527867,0.00300837579701662,0.00711189565576429,0.000896747538450584,-2.1863290545554,0.0123063298303798,0.00111888829685905,0.00393606754053226,-2.17700054764391,0.00636449752341835,0.00313512853793325,0.00219282873529058
"11422-13",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114447723455716,-2.19073218148058,0.00326566806818992,0.00881978818313627,0.000854980242802036,-2.18528677807555,0.00294713784619694,0.00909473226788943,0.000902023994988881,-2.19252390807588,0.0106838678450574,0.0169726522459661,0.00257392850262734,-2.19690413412057,0.00715792520471319,0.0112483160116358,0.00280874579790966
"11422-14",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113913249928643,-2.19732917725077,0.00329763922659966,0.00992480912456857,0.00090646592887802,-2.19097003403363,0.00297057060416931,0.00994003143470209,0.000953050961062306,-2.20256830561581,0.0103978273689843,0.00889035919561068,0.0031455214404776,-2.20113717405278,0.0060897751096288,0.0118020254261602,0.00215885857691408
"11422-15",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114411633690375,-2.19186521387451,0.00322004661476279,0.00921904528883222,0.000836707468262266,-2.18599953279631,0.00292343842483432,0.009386162667079,0.000888975187274552,-2.19409346671666,0.011470432545928,0.00532770998707304,0.00284305159503419,-2.19875449441128,0.00864652920584928,0.0111480111655883,0.00296408101376031
"11422-16",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114096092496705,-2.19993405590514,0.00341732467481199,0.0117605201444562,0.000985756778181965,-2.19511117860391,0.00304005429406407,0.0136043442206581,0.00105583048753251,-2.2177579919869,0.0117992270373414,0.0252364849904147,0.00352098951782828,-2.20693467530861,0.00600166110520964,0.0141919429732314,0.00216848814159646
"11422-17",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114847592173118,-2.18023616244694,0.00324022518652551,0.0067535189986328,0.000922624189917696,-2.17510637687574,0.00294403566504326,0.0061866893141921,0.000983340566264266,-2.1436764786083,0.0102715923586278,-0.00442661577524814,0.00303464082719171,-2.18579931952808,0.00590796241125867,0.00905582001316699,0.00219026760560065
"11422-18",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113938408756776,-2.1968924110075,0.00351177797380776,0.0100782167093613,0.0010494534998354,-2.19025759790227,0.00312893207576962,0.0102445733742494,0.00115059919614483,-2.19701531356281,0.00960773390901055,0.00618391326746404,0.00273788969046193,-2.18997031929679,0.0123057288592352,0.00734382221212224,0.0048106791156863
