"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-36",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0677169833273572,-0.00998052167646879,0.00129049494669777,-0.0093946406483065,0.00126991991391634,-0.00590547290980404,0.00508885082574439,-0.0119642072270776,0.00162120968608994
"11424-37",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684002087558779,-0.0119310071364481,0.00133696296175444,-0.0117889225992388,0.00130447628620959,-0.0108934743886997,0.0040611358935291,-0.010926908698401,0.00188557348864487
"11424-38",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679429380037842,-0.0106758018396355,0.00135255899687359,-0.00996903528267826,0.00130015264410265,-0.0136977731795001,0.00589402007494787,-0.011343907937202,0.00199653766086217
"11424-39",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068636183962719,-0.0085963806109626,0.0013155792832896,-0.00811900435223197,0.00128620679197115,-0.0114154366088903,0.00771487481111943,-0.00853002027594201,0.00178866421913091
"11424-40",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068411375017797,-0.012020295410239,0.0013405741484414,-0.0109780380091834,0.00130533482715853,-0.0226723032503303,0.00460140845773134,-0.0141919811445672,0.00204052575402582
"11424-41",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681625545270768,-0.00945952049873546,0.00115139532935853,-0.00904018931893061,0.00112929599197749,-0.00572243671025146,0.00367324959411288,-0.0101079529007608,0.00148391967468944
"11424-42",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684801798078448,-0.0102729644300957,0.00145581997209794,-0.00953320799552024,0.00139108946227641,-0.00434835483586558,0.00383212529368278,-0.0103039644798838,0.00183211066357333
"11424-43",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679977881778451,-0.013472495458885,0.00126661235609822,-0.0133495712854868,0.00125929660313202,-0.0241562834851403,0.00480483773052441,-0.0134178272515856,0.00223079866724609
"11424-44",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683010508399069,-0.00909123933130437,0.00135733068193052,-0.00911570968720708,0.00134053398774581,-0.00373483639288983,0.00438714793265161,-0.00859135970374262,0.00173232788016515
"11424-45",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679916405751095,-0.0130013066629571,0.00137548093161624,-0.0122606824439905,0.00133502773970279,-0.015154518694313,0.00415846522737842,-0.0127381086849673,0.00234658433752556
"11424-46",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681704127396643,-0.010978465260455,0.00123358514824826,-0.0104825462693676,0.00119551060414417,-0.0111797087670115,0.00551755661925349,-0.0114744793288807,0.00167600440374326
"11424-47",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680289721942196,-0.0113486782697364,0.00139555285186211,-0.010424424133824,0.00136103135972393,-0.0043056300821878,0.0053342463675778,-0.0118707280545987,0.00215584903436365
"11424-48",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682795425892291,-0.00888227957487357,0.00123868971041374,-0.00828739696645433,0.00120549800533194,-0.00791731688280022,0.00390495466620975,-0.00841453368946016,0.00135473890873985
"11424-49",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685263936589539,-0.0100002246552042,0.00111428838574769,-0.0100442742556869,0.00111897324636452,-0.0085789767684928,0.00303123655588012,-0.00997800151287177,0.00142569397251681
"11424-50",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680136569742729,-0.0114480360583632,0.00135720261426785,-0.0108243682781611,0.00131638011051149,-0.0197905307597698,0.00510023021328899,-0.00951204621563034,0.00171337140042925
