"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-11",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113654044503974,-2.20008692409399,0.00148347352743788,0.0101943753119554,0.000391096606812127,-2.19367501782714,0.00136340128783311,0.010552596774901,0.000418625547092249,-2.19847023273679,0.00485211570497528,0.00969133476328574,0.00134829523473668,-2.19979012014833,0.00196856348823316,0.0100642472191971,0.000571288646772023
"11422-12",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113685447418857,-2.20033378258479,0.00155009760512442,0.00980220678259303,0.000393632151794895,-2.19427994330753,0.0014239951118254,0.0101403450303632,0.000421076381152243,-2.20775256338116,0.00463483291129137,0.011184936288283,0.00129727028360202,-2.19925001498971,0.00196421291873786,0.00946413938317572,0.000585619398979097
"11422-13",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113672102983351,-2.20047645436223,0.00141794595199835,0.0100895082439423,0.000385722798122792,-2.1944572474996,0.00127675866318876,0.0105869256318755,0.00041447627219803,-2.20140568599998,0.00437029206175935,0.0106201828508956,0.00106007989485597,-2.20082550439163,0.00170938597696036,0.0100915841233236,0.000522796943368848
"11422-14",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113674357419168,-2.19953461399867,0.00141418644386777,0.00981790467170033,0.000387400491188179,-2.19396553886797,0.0012776411401173,0.0103124311336527,0.000414967181633981,-2.19713840152012,0.0044357801800332,0.00868048894612382,0.00136773123790698,-2.19870880274668,0.00168525849117226,0.00978768667815086,0.000508908917891681
"11422-15",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113578398372174,-2.20146220447285,0.00141468287533314,0.0105171031087225,0.000386579370188975,-2.19499632166862,0.00130319003318548,0.0109412077184316,0.000418511531389667,-2.19869677028487,0.00435259381914018,0.00865215773852774,0.00111128424159392,-2.20037331850159,0.00162398620498502,0.0100817365920137,0.000504854490173516
"11422-16",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113538849643217,-2.20180382726432,0.00141871314664889,0.0105279492564232,0.000400390129151159,-2.1955019919313,0.0012800442071069,0.0109751783629906,0.000433787712635526,-2.19700207643325,0.00447402143620677,0.00923553929904664,0.00118772563697275,-2.2023670979453,0.00187825799833555,0.0106363535599129,0.000553559298137117
"11422-17",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113719487607194,-2.19814718949167,0.00139502854778812,0.00939393355059226,0.00037573441278818,-2.19268522696736,0.00126317828040957,0.00985383939198852,0.00040412628759151,-2.204493362452,0.00457943504072714,0.0097920471117606,0.00145369990870548,-2.19714266843612,0.00162280225538971,0.0088932860302831,0.000459511400103649
"11422-18",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113729347614691,-2.19941013199244,0.00144217019517828,0.0100530181245752,0.000390973609277528,-2.1937704873153,0.00134073129995394,0.0105158372883485,0.000415956903196346,-2.20355375452124,0.00445179399182442,0.0105030285447245,0.0012981807601652,-2.19922411183942,0.00191837479972791,0.00995744451386452,0.000602568912323396
"11422-19",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113448340627413,-2.20136504808707,0.00144868292381532,0.0098735641743999,0.000409417057138951,-2.19563438540849,0.00131211674030885,0.0102877484369343,0.000444353244910265,-2.19729439418698,0.00459182457548382,0.00984916148516331,0.00119973259909363,-2.20178596545186,0.00167841966841967,0.0100662953143695,0.000556760181033243
"11422-20",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113678969210113,-2.19841465883886,0.00145453060957137,0.00980364547991755,0.000399488565081418,-2.19271451067184,0.00131223451296226,0.0101742524060866,0.000422504247211522,-2.19999194628234,0.00426597749783392,0.0121309865521075,0.00122964373783556,-2.1978635402332,0.00173282796606611,0.00948597046697023,0.000507016930824911
