"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11422-42",340,0.00995033085316809,-0.7,0.6,0.5,0.0719451159553532,0.00977008302717921,0.00112128148397652,0.00942947713135567,0.00109179195578558,0.00973724099885352,0.00160270095348342,0.00934814910896336,0.00139206315557172
"11422-43",340,0.00995033085316809,-0.7,0.6,0.5,0.0718061954254812,0.00981664507705581,0.00118774273885681,0.00951629785759778,0.001160756781036,0.00936066852567656,0.0016874296154379,0.00975405133556036,0.00129134109696703
"11422-44",340,0.00995033085316809,-0.7,0.6,0.5,0.0717249949025189,0.0100022818613723,0.00115846445824674,0.00997373415713098,0.00115126831048056,0.0107474079056992,0.00170637501154577,0.0100920298136348,0.00129599495594289
"11422-45",340,0.00995033085316809,-0.7,0.6,0.5,0.0718964072757546,0.0116849558471902,0.00120400703295799,0.0110005179861876,0.00116372649340055,0.0122446684777469,0.00159546324585988,0.011802374331005,0.00141440572469403
"11422-46",340,0.00995033085316809,-0.7,0.6,0.5,0.0720357423164763,0.01075184254691,0.00114070408077703,0.0104069430258586,0.00112382443375799,0.00984828667581846,0.00160882510078493,0.0108533079750443,0.00125062547571334
"11422-47",340,0.00995033085316809,-0.7,0.6,0.5,0.0715448406590744,0.00881341665566354,0.00110906860943416,0.00825840462541532,0.00108730344431796,0.0080860051506195,0.0014745365757836,0.00890550103145217,0.00134821372241727
"11422-48",340,0.00995033085316809,-0.7,0.6,0.5,0.0713355328290241,0.00805783720503133,0.00135673602304928,0.0071486234724614,0.00129648596060293,0.00649534560793068,0.00180724789058252,0.00788163117567749,0.00162115100922405
"11422-49",340,0.00995033085316809,-0.7,0.6,0.5,0.0715985689960047,0.0102090892494697,0.00106838925052755,0.0099229117653992,0.00104628632622899,0.0100091210536114,0.00147152872080653,0.0100315572478246,0.00118497422064802
"11422-50",340,0.00995033085316809,-0.7,0.6,0.5,0.0718917663243702,0.00990987533683523,0.00134915115882668,0.00960137987529797,0.00131503688965298,0.00782975131841031,0.00205788449144423,0.00956643787887788,0.00158662967700955
"11422-51",340,0.00995033085316809,-0.7,0.6,0.5,0.0719317850905181,0.0110833827927726,0.00105084360970548,0.0107981915857507,0.00103199778427349,0.0106500966447783,0.00148405516517562,0.0105564514055827,0.00113560642818475
"11422-52",340,0.00995033085316809,-0.7,0.6,0.5,0.0718680663705809,0.0107119801604396,0.00121247418316882,0.0103465290538771,0.00117745601398178,0.00999421854600255,0.00180549956914668,0.0105661283527063,0.00144492968654124
"11422-53",340,0.00995033085316809,-0.7,0.6,0.5,0.0717106681720932,0.0108127239309198,0.00122984241413593,0.0105432664292052,0.0012262253119165,0.0108159557574089,0.00164029227210254,0.0104372036149554,0.00157572924743589
"11422-54",340,0.00995033085316809,-0.7,0.6,0.5,0.072134411783132,0.00862837074359973,0.00127873980933175,0.00910830896588002,0.00127459770090596,0.0080184080895127,0.00178365205767312,0.00823229897710857,0.00143276827555142
"11422-55",340,0.00995033085316809,-0.7,0.6,0.5,0.0719276137663236,0.00801479625953663,0.00145709954170088,0.00761394442942995,0.00142428271403404,0.00553096109523236,0.00233638420195661,0.0077061352763987,0.0017544877935046
"11422-56",340,0.00995033085316809,-0.7,0.6,0.5,0.0719081306992112,0.00864813500422564,0.00124651991799606,0.00776119625235264,0.00118844941945281,0.00809408895818911,0.0017751266921697,0.00903868008277076,0.00146916433507606
"11422-57",340,0.00995033085316809,-0.7,0.6,0.5,0.0716990316682739,0.010588125664274,0.00113508081919128,0.0104561930160094,0.00111998470763687,0.0121440940122694,0.00161824646270642,0.0105389340726075,0.00142824342771515
"11422-58",340,0.00995033085316809,-0.7,0.6,0.5,0.0718743618538751,0.00889438534743005,0.00134788463340643,0.00810551318622914,0.0013244771238239,0.00874773890272595,0.00187148502195047,0.00840691740444874,0.00158158834687272
"11422-59",340,0.00995033085316809,-0.7,0.6,0.5,0.0718277014471961,0.00982678163498967,0.00129341788553408,0.00946339774971972,0.00124889576746999,0.00849930240761272,0.00206273361066916,0.00963419785639511,0.00144936954827408
"11422-60",340,0.00995033085316809,-0.7,0.6,0.5,0.0722360092120304,0.00790669622059731,0.0010919533923492,0.00768187330514609,0.00107171529395568,0.00852584634208958,0.00174015298344482,0.00797555131419238,0.00128508621634849
"11422-61",340,0.00995033085316809,-0.7,0.6,0.5,0.0718812029962378,0.0107547130225296,0.00117689171463188,0.0106220748101521,0.00117551164464523,0.00934056592564575,0.00147617087707075,0.0110067963924713,0.00136475456383153
"11422-62",340,0.00995033085316809,-0.7,0.6,0.5,0.0716921151816064,0.0121172474862175,0.00139621614435358,0.0115422971954702,0.0013712363271039,0.0138265920591046,0.002076383940461,0.0124810040614967,0.00177831117454299
"11422-63",340,0.00995033085316809,-0.7,0.6,0.5,0.0720173925197599,0.0107156426912856,0.00154123083729741,0.0105422108925616,0.00153312127034519,0.0105287746894209,0.00227237101280041,0.0107614842231903,0.00205720087438576
"11422-64",340,0.00995033085316809,-0.7,0.6,0.5,0.071863697267974,0.00965673481478923,0.00133524137150515,0.00954649294467308,0.0013045685959013,0.0109404944697593,0.0018610146097099,0.00963585616979414,0.00161717604938278
"11422-65",340,0.00995033085316809,-0.7,0.6,0.5,0.0716616748218552,0.011043971810594,0.00126001947912412,0.0103709842420829,0.00123628080729029,0.0134185822338529,0.00184908893452425,0.0112106807363227,0.00154005155172836
"11422-66",340,0.00995033085316809,-0.7,0.6,0.5,0.0717049637931276,0.00913107659307882,0.00130242646802293,0.00892045408676185,0.00126575487373244,0.00674873518095653,0.00191505461764047,0.00946580170681927,0.00144856508416791
"11422-67",340,0.00995033085316809,-0.7,0.6,0.5,0.0717520147571725,0.0098483770356532,0.000991775883999492,0.00980306652423395,0.000985376150675854,0.0088534420213752,0.00131187227001474,0.00985125467827468,0.00120362637058315
"11422-68",340,0.00995033085316809,-0.7,0.6,0.5,0.0718320845201861,0.00981398471005353,0.00125418858802219,0.00940474718156009,0.00122367647082465,0.00823180773331715,0.00173869476971734,0.00966550095865281,0.00150018579480064
"11422-69",340,0.00995033085316809,-0.7,0.6,0.5,0.0716006651851316,0.0106920117732459,0.00124378618171167,0.0107560839478589,0.0012171297339063,0.00862212019875954,0.00162227759171581,0.0102934061218787,0.00140798419832997
"11422-70",340,0.00995033085316809,-0.7,0.6,0.5,0.0720507934683089,0.00943495385230247,0.00123064630197873,0.00908323775750389,0.00121399840661077,0.00718083049944675,0.00196989765754239,0.0088922630837362,0.00147245560358448
"11422-71",340,0.00995033085316809,-0.7,0.6,0.5,0.0716922634532385,0.0097680231380387,0.00122812318931454,0.00962434481586112,0.00120288503726781,0.00765224928533701,0.00193279033447957,0.0102642280286113,0.0013991932313458
"11422-72",340,0.00995033085316809,-0.7,0.6,0.5,0.0716031010971157,0.010522710837009,0.00138053687578624,0.0104894381273639,0.00137736009259069,0.0103420145551335,0.0017807957517003,0.0107654750516475,0.00171744874518341
"11422-73",340,0.00995033085316809,-0.7,0.6,0.5,0.0721423271057961,0.00896095341290662,0.00103466175712746,0.00873608033522201,0.00104735271086438,0.00769806529194484,0.00139767355572066,0.00869031731377755,0.00123163359943843
"11422-74",340,0.00995033085316809,-0.7,0.6,0.5,0.0718103459897935,0.00993187903451011,0.00121716822373945,0.00960127973635841,0.00119750179356547,0.00973342956485705,0.00193173928840372,0.0100965253080571,0.00143485847905335
"11422-75",340,0.00995033085316809,-0.7,0.6,0.5,0.0716887486569585,0.0106988970330187,0.00130363644794034,0.0103023639447948,0.00125927102252761,0.00808773010180723,0.00204737822869294,0.0105942509215795,0.00181353718673107
"11422-76",340,0.00995033085316809,-0.7,0.6,0.5,0.0715268159512407,0.0117719195094757,0.00124296462836953,0.0112054467000524,0.00121796198931894,0.0109868616013823,0.00194846669030666,0.0116785481904522,0.00140998945609743
"11422-77",340,0.00995033085316809,-0.7,0.6,0.5,0.0718315451671227,0.0123552437950931,0.00140329453030302,0.0116592124622847,0.00138391520596095,0.0133454648002825,0.0017636698242834,0.0122293064839359,0.00176781044813274
"11422-78",340,0.00995033085316809,-0.7,0.6,0.5,0.0720680988545681,0.00966083857775738,0.00135748078972119,0.00979036566319323,0.00133637384306729,0.0102322764187439,0.00184899885985734,0.00925029709595031,0.00172192055171004
"11422-79",340,0.00995033085316809,-0.7,0.6,0.5,0.0718666287085807,0.0100103135025577,0.00116635992331601,0.00938467221812686,0.00113321709500299,0.0109470226982107,0.00162950454393581,0.00992893885813767,0.00133007096051282
"11422-80",340,0.00995033085316809,-0.7,0.6,0.5,0.0718675911545836,0.00977454924060945,0.0014013764916182,0.00911239520104367,0.00137133074256406,0.00971789556707014,0.00184037877780745,0.00959816600449805,0.00162104102300917
"11422-81",340,0.00995033085316809,-0.7,0.6,0.5,0.0721914059254057,0.00940044129500831,0.00125077215826201,0.00895672939864081,0.00123033364466706,0.00958048307156091,0.0016396505494343,0.00941451205268298,0.00162092637854875
"11422-82",340,0.00995033085316809,-0.7,0.6,0.5,0.0719303590111658,0.0102536470017983,0.00110808880608139,0.00983246713978556,0.00109000632260861,0.0126976351909477,0.00186734169790458,0.0102171471129046,0.00139742622418909
"11422-83",340,0.00995033085316809,-0.7,0.6,0.5,0.0718883850238018,0.00988693060014352,0.000958591266138971,0.00952935351918078,0.000952657443026387,0.0105677188493397,0.00149840238389667,0.00976645008708228,0.00113025160256793
"11422-84",340,0.00995033085316809,-0.7,0.6,0.5,0.0719474514686189,0.00824443833315098,0.00111144240642903,0.00825160142543172,0.00109643912489004,0.00843873900530428,0.00148324668817359,0.00847021291130635,0.0013236173437498
"11422-85",340,0.00995033085316809,-0.7,0.6,0.5,0.0719199045871966,0.0116844517154586,0.00118041685517241,0.0114462013315715,0.00116014092109268,0.00941123015958286,0.00164672258074184,0.0112132523472072,0.00148109491162518
"11422-86",340,0.00995033085316809,-0.7,0.6,0.5,0.0721444312464408,0.00891735024188874,0.00121476093578663,0.00848884311820958,0.00118483730101857,0.00974328086604428,0.00161417946042126,0.0090185076498771,0.00138722745170277
"11422-87",340,0.00995033085316809,-0.7,0.6,0.5,0.0717817946985236,0.0131373986794809,0.00128534335025396,0.0131145325735677,0.0012786330104192,0.0140192670911237,0.00191108783224226,0.0135535702735378,0.00144104953525601
"11422-88",340,0.00995033085316809,-0.7,0.6,0.5,0.071482412581838,0.0119664966542719,0.00128685667421069,0.0112402858031347,0.00124808372472715,0.0116278914711462,0.0016921084732052,0.0119938822203534,0.00152761329804567
"11422-89",340,0.00995033085316809,-0.7,0.6,0.5,0.0719297139278796,0.0105464314910061,0.00133036407393847,0.0101777452467373,0.00130275995931119,0.00984140913465833,0.00188063293714859,0.0108834885953037,0.00156823948976588
"11422-90",340,0.00995033085316809,-0.7,0.6,0.5,0.0714961467921709,0.00771949006517706,0.00124583799476088,0.00750052852390638,0.0012428293297828,0.00700596335932602,0.00198464309261912,0.0079891927504381,0.0014057985434319
"11422-91",340,0.00995033085316809,-0.7,0.6,0.5,0.0722865259806697,0.010125216591924,0.00122522824136133,0.00950299342586851,0.00118507800618575,0.012796381992285,0.00201715613781446,0.0104564165446764,0.00141629999189021
"11422-92",340,0.00995033085316809,-0.7,0.6,0.5,0.0714831520852078,0.00893847674850545,0.00122130747314981,0.00866251734459737,0.00119951326946126,0.00978673542335306,0.00166425795317637,0.00901258084498772,0.00151506675444635
"11422-93",340,0.00995033085316809,-0.7,0.6,0.5,0.0719919436731865,0.0110150463027266,0.00108886195465765,0.0104948361061819,0.00107490232318883,0.0112868573750537,0.00139041477178408,0.0110479812672728,0.00118275075422828
"11422-94",340,0.00995033085316809,-0.7,0.6,0.5,0.0717586461384518,0.010122570233604,0.00133689031133921,0.0100287236414287,0.0013255941882448,0.00971890164849875,0.00188766200626867,0.00994483282603337,0.00154451716082156
"11422-95",340,0.00995033085316809,-0.7,0.6,0.5,0.0716054793565251,0.00975425307453792,0.001199054369992,0.00908431316635638,0.00115622180319416,0.00923386749523861,0.00165215309530569,0.0101542058097188,0.0012981173398254
"11422-96",340,0.00995033085316809,-0.7,0.6,0.5,0.0719397062464501,0.0111907874038719,0.00121103294901525,0.0107204621656076,0.00118696254062376,0.0126776715756341,0.00190782202666374,0.0113729775413398,0.0013998032216036
"11422-97",340,0.00995033085316809,-0.7,0.6,0.5,0.0722448802896893,0.0108547340756227,0.00105902887036689,0.0105538251527317,0.00104008091026182,0.0107960748264411,0.00135401901793734,0.0106846877160926,0.00124886484991359
"11422-98",340,0.00995033085316809,-0.7,0.6,0.5,0.07183993671014,0.00867160081598469,0.00136512737404497,0.00842758921454298,0.00133568114860292,0.00858717763934277,0.00187363721548225,0.00913115457303893,0.00169115160792556
"11422-99",340,0.00995033085316809,-0.7,0.6,0.5,0.072149938079512,0.00890519283654257,0.00107902555066102,0.00867765206202984,0.00105698299567718,0.00811076175507597,0.00132750238019832,0.00912969437828299,0.00129675892985643
"11422-100",340,0.00995033085316809,-0.7,0.6,0.5,0.0718479449822664,0.00928064541005114,0.00120882257911803,0.00881718159134694,0.00121740043322628,0.00872819300694988,0.00165374934379417,0.00921903617028321,0.00140786071919724
