"TractFIPS","CountyName","POP","BPHIGH","CHD","DIABETES","OBESITY"
37067002701,"Forsyth",5864,1971,335,687,2229
37067002702,"Forsyth",5675,2248,460,812,2163
37067002703,"Forsyth",6039,1728,327,550,1945
37067002801,"Forsyth",4236,1386,276,403,1292
37067002804,"Forsyth",4150,1436,270,474,1445
37067002806,"Forsyth",3274,1320,302,498,1277
37067002807,"Forsyth",5031,1766,348,549,1681
37067002808,"Forsyth",3531,1109,212,325,1085
37067002809,"Forsyth",2238,752,146,218,670
37067002901,"Forsyth",4784,1785,364,622,1756
37067002903,"Forsyth",3828,1474,322,517,1379
37067002904,"Forsyth",2151,777,170,246,717
37067003002,"Forsyth",3932,1605,295,547,1436
37067003003,"Forsyth",3272,1067,200,324,1070
37067003004,"Forsyth",3618,1187,232,351,1097
37067003103,"Forsyth",5468,1553,274,427,1603
37067003105,"Forsyth",3649,1208,230,376,1223
37067003106,"Forsyth",3099,986,193,289,967
37067003107,"Forsyth",4391,1423,277,426,1388
37067003108,"Forsyth",3495,1266,291,451,1287
37067003201,"Forsyth",4774,1638,339,516,1547
37067003202,"Forsyth",3904,1258,262,407,1289
37067003307,"Forsyth",3405,1029,195,293,1025
37067003308,"Forsyth",7880,2215,379,615,2357
37067003309,"Forsyth",4956,1760,288,600,1904
37067003310,"Forsyth",4061,1239,208,370,1397
37067003311,"Forsyth",1926,540,91,149,592
37067003312,"Forsyth",2692,803,151,229,813
37067003313,"Forsyth",1458,549,126,177,493
37067003314,"Forsyth",3171,901,169,257,942
37067003315,"Forsyth",3424,1106,226,336,1076
37067003402,"Forsyth",2182,736,155,225,686
37067003403,"Forsyth",3412,1007,168,366,1355
37067003404,"Forsyth",3917,1595,322,682,1822
37067003500,"Forsyth",6562,2442,466,919,2697
37067003600,"Forsyth",5968,1839,347,567,1964
37067003701,"Forsyth",4830,1435,223,474,1812
37067003702,"Forsyth",4514,1404,244,425,1495
37067003703,"Forsyth",6032,1617,242,447,1889
37067003803,"Forsyth",4567,1471,279,430,1412
37067003804,"Forsyth",4100,1349,271,390,1185
37067003805,"Forsyth",5573,1795,324,558,1823
37067003806,"Forsyth",3012,931,172,275,931
37067003903,"Forsyth",4477,1451,265,475,1635
37067003904,"Forsyth",5907,1784,343,509,1684
37067003905,"Forsyth",3607,1057,206,303,1014
37067003906,"Forsyth",3436,1148,231,303,884
37067003908,"Forsyth",3085,954,176,253,812
37067003909,"Forsyth",4356,1272,227,340,1177
37067004005,"Forsyth",4695,1498,292,409,1278
37067004007,"Forsyth",7104,2125,391,583,1975
37067004009,"Forsyth",3802,1149,217,320,1103
37067004010,"Forsyth",3392,865,143,224,889
37067004011,"Forsyth",5645,1666,305,475,1666
37067004012,"Forsyth",5611,1645,309,472,1673
37067004013,"Forsyth",3083,941,189,287,925
37067004014,"Forsyth",3016,993,209,290,875
37067004015,"Forsyth",3296,940,169,261,963
37067004102,"Forsyth",3256,1166,251,365,1042
37067004103,"Forsyth",3478,1110,206,320,1054
37067004104,"Forsyth",3429,1122,217,319,1009
37081010100,"Guilford",1561,670,113,253,728
37081010200,"Guilford",4070,1649,346,591,1665
37081010300,"Guilford",2426,973,209,355,915
37081010401,"Guilford",1453,402,76,105,425
37081010403,"Guilford",1594,440,79,118,512
37081010404,"Guilford",2502,754,143,186,669
37081010500,"Guilford",2173,609,109,161,646
37081010601,"Guilford",2780,704,137,192,834
37081010602,"Guilford",4592,850,134,216,1341
37081010701,"Guilford",1919,427,72,108,544
37081010702,"Guilford",4307,560,69,112,1146
37081010800,"Guilford",2409,798,143,241,851
37081010900,"Guilford",2001,541,81,153,657
37081011000,"Guilford",4768,1178,124,306,1898
37081011101,"Guilford",4260,1837,290,712,2007
37081011102,"Guilford",2602,1390,269,581,1262
37081011200,"Guilford",5391,2049,335,777,2448
37081011300,"Guilford",2862,1526,304,659,1440
37081011400,"Guilford",5291,2503,434,1038,2757
37081011500,"Guilford",2964,1059,190,389,1287
37081011601,"Guilford",2453,822,145,268,930
37081011602,"Guilford",2981,990,179,346,1181
37081011904,"Guilford",4265,1254,167,359,1677
37081011905,"Guilford",5077,1823,290,600,2082
37081012503,"Guilford",4176,1366,268,385,1316
37081012504,"Guilford",3246,1081,199,338,1218
37081012505,"Guilford",4353,1363,266,344,1180
37081012508,"Guilford",3289,1043,218,297,1037
37081012509,"Guilford",2223,810,181,218,614
37081012510,"Guilford",3090,983,183,260,878
37081012511,"Guilford",4961,1657,328,432,1355
37081012601,"Guilford",5912,1632,290,450,1993
37081012604,"Guilford",4908,2028,374,727,1978
37081012607,"Guilford",2301,746,132,233,820
37081012608,"Guilford",2392,766,118,268,1022
37081012609,"Guilford",7342,2585,463,882,2805
37081012610,"Guilford",3159,1185,212,417,1176
37081012611,"Guilford",3577,1213,190,408,1481
37081012612,"Guilford",5947,2296,363,780,2558
37081012617,"Guilford",3478,1193,195,414,1409
37081012703,"Guilford",5373,1768,350,511,1672
37081012704,"Guilford",3214,1360,274,515,1331
37081012705,"Guilford",4056,2020,337,804,1960
37081012706,"Guilford",3159,1495,269,601,1536
37081012707,"Guilford",2589,1127,197,451,1277
37081012803,"Guilford",7640,2804,436,894,3026
37081012804,"Guilford",4184,1716,247,595,1871
37081012805,"Guilford",2545,1092,179,400,1077
37081013601,"Guilford",3092,659,106,201,953
37081013602,"Guilford",4138,1602,315,563,1709
37081013700,"Guilford",4141,1355,270,381,1288
37081013800,"Guilford",4685,2245,450,937,2207
37081013900,"Guilford",4509,2070,370,848,2214
37081014000,"Guilford",3079,1272,305,462,1232
37081014200,"Guilford",3503,1461,263,571,1587
37081014300,"Guilford",3045,1240,256,506,1331
37081014406,"Guilford",2337,1078,183,407,1040
37081014407,"Guilford",5635,1945,406,581,1849
37081014408,"Guilford",2326,838,149,310,1012
37081014409,"Guilford",2893,1004,209,301,993
37081014410,"Guilford",3591,1182,227,363,1265
37081014411,"Guilford",4806,1764,289,620,1976
37081014412,"Guilford",2587,1051,257,332,872
37081014501,"Guilford",1300,540,137,218,553
37081014502,"Guilford",4433,1499,280,510,1632
37081014503,"Guilford",3523,1434,251,543,1540
37081015100,"Guilford",4097,1398,271,418,1414
37081015200,"Guilford",8412,2566,463,732,2903
37081015300,"Guilford",7791,2517,445,725,2649
37081015401,"Guilford",5527,1648,260,459,1918
37081015402,"Guilford",7211,2532,469,851,2827
37081015500,"Guilford",6111,2097,349,648,2445
37081015600,"Guilford",9324,2695,467,737,2947
37081015703,"Guilford",5863,1759,323,481,1818
37081015704,"Guilford",6171,1704,284,457,1920
37081015705,"Guilford",3158,853,152,234,998
37081015706,"Guilford",5288,1619,254,434,1661
37081015707,"Guilford",6612,2103,397,589,2077
37081015800,"Guilford",7984,2284,400,615,2460
