"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11426-1",340,0.00995033085316809,2,0.1,0.0718586954897093,0.0112302074706221,0.00101555526758266,0.00699797721663445,0.000641479191948234,0.0155535038731184,0.00238534470409368,0.0103833462435641,0.00123376589556339
"11426-2",340,0.00995033085316809,2,0.1,0.0720619438593674,0.00995761511555239,0.00124260149768512,0.00635986982272977,0.000799446085739805,0.0138328874062945,0.00348544483676121,0.0111291614987891,0.00226723767747704
"11426-3",340,0.00995033085316809,2,0.1,0.0717479269192342,0.0130873571914495,0.00125648249103303,0.00735303995642329,0.000761281776805343,0.017952196614987,0.00488807607542726,0.0126336001243296,0.0018455836839913
"11426-4",340,0.00995033085316809,2,0.1,0.072244724823936,0.0104969101640597,0.00108329888094132,0.00676796242488047,0.000706238595408167,0.0108368522900198,0.00283840116362829,0.00901269650930675,0.00118471545979683
"11426-5",340,0.00995033085316809,2,0.1,0.0719423387523714,0.0105743014408067,0.00109881133874794,0.00645015176486634,0.00071381413250472,0.0100690505513766,0.00475012792728896,0.0101371085797085,0.00146936359326295
"11426-6",340,0.00995033085316809,2,0.1,0.0713098554543744,0.0111630393084567,0.00131098267007097,0.00672934513551827,0.000811486311303443,0.0129588947543533,0.00484861139357212,0.0115191795835631,0.00184531455196157
"11426-7",340,0.00995033085316809,2,0.1,0.072057989703205,0.0105300748666306,0.00118874576421999,0.00684398032661472,0.000780016838473918,0.00843144548524427,0.00386971401064187,0.00932065001122164,0.00128842776883451
"11426-8",340,0.00995033085316809,2,0.1,0.0717977031572976,0.00807805852229065,0.00123868258958803,0.00532128243471205,0.000812754064249814,0.00754418710393301,0.00408518293825948,0.00996671570674578,0.00162088529111422
"11426-9",340,0.00995033085316809,2,0.1,0.072026434989658,0.0107884724027555,0.00120272819090224,0.00643564337310839,0.000754662427272823,0.0115569229561566,0.0040185712375383,0.00891918877169401,0.00147743157128271
"11426-10",340,0.00995033085316809,2,0.1,0.0715590303766138,0.00968094017322722,0.0011022865657001,0.00587463040164317,0.000668207604186002,0.0120070431757701,0.0034758223121763,0.0110344783368808,0.00135540792114199
"11426-11",340,0.00995033085316809,2,0.1,0.071624036318889,0.0115703638098592,0.0012368409787756,0.0071608540171521,0.000825610610920578,0.0133990545821374,0.00318966305903676,0.00913058743313722,0.00149551118204873
"11426-12",340,0.00995033085316809,2,0.1,0.0717199761616198,0.0113496470469561,0.00125164826414172,0.00741821186951968,0.000810225523349164,0.0168545045160479,0.00584215445673268,0.0128507777847341,0.00207465919516153
"11426-13",340,0.00995033085316809,2,0.1,0.0716877949896124,0.00979775433250621,0.0012680212960816,0.00611597424390636,0.000844285317012163,0.00897413414607354,0.00318240404860834,0.00737968265876707,0.00253359567906358
"11426-14",340,0.00995033085316809,2,0.1,0.0720383019003926,0.0101241700075574,0.00131782878049845,0.00553569147114976,0.000815482451244853,0.0107954536461292,0.00448222174249088,0.00888205452411795,0.00145192127697262
"11426-15",340,0.00995033085316809,2,0.1,0.0721478010534855,0.00849659215389988,0.00107197770837924,0.0053096029048843,0.000677294184917609,0.00423672564336545,0.00369703856711112,0.00708528435033769,0.00144040284985611
"11426-16",340,0.00995033085316809,2,0.1,0.0716227630499065,0.00894651812836072,0.00118055191706377,0.00576249019899862,0.000780844131250573,0.00530217009292171,0.00278967103613713,0.00655490766471496,0.00134233247743399
"11426-17",340,0.00995033085316809,2,0.1,0.0716278409135066,0.00975405838870631,0.0012123491376188,0.00618655275234325,0.0007744528472914,0.00964038993779063,0.00442829429306298,0.0109460734950691,0.00218714726762
"11426-18",340,0.00995033085316809,2,0.1,0.0718000610187041,0.0100029129752171,0.00126002026999364,0.0057614509921076,0.000750116171077265,0.0147665270399055,0.00384289169659864,0.0102210042569876,0.00201800304913324
