"sim","N","beta1","minW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-80",340,0.00995033085316809,0.9,0.1,0.0713167920096205,0.0105576057041315,0.00116536334310059,0.0110297060105784,0.00121950642910176,0.00275093607690577,0.00612872071014637,0.0102806111875875,0.00114162367956232
"11428-81",340,0.00995033085316809,0.9,0.1,0.072120059473586,0.0109715158565835,0.00129324259598449,0.0114265742710009,0.00135613052091642,0.013188525644801,0.0028602339220792,0.0108027761702868,0.00129429216796014
"11428-82",340,0.00995033085316809,0.9,0.1,0.071808931062767,0.010176062415064,0.00129373861573478,0.0105920941583264,0.00134515828618494,0.00993693276031527,0.00408823348847053,0.0103803984482841,0.00131656657735881
"11428-83",340,0.00995033085316809,0.9,0.1,0.0718573939808037,0.00776813081850571,0.00131761123441039,0.00821717744603554,0.00139690409888971,0.0155948394547444,0.00414695898758051,0.00776884941028518,0.00133967704153956
"11428-84",340,0.00995033085316809,0.9,0.1,0.0720409403181673,0.0105847545000868,0.00114596291661309,0.0111368734321503,0.00121646535978674,0.0169000054056514,0.00309869954979787,0.0104125530853508,0.00114372379085659
"11428-85",340,0.00995033085316809,0.9,0.1,0.0720869881461489,0.009644813240553,0.00125612942161305,0.0101396423485626,0.0013223395284704,0.00216723601148762,0.00381611445195403,0.00981060569198199,0.00129994457404879
"11428-86",340,0.00995033085316809,0.9,0.1,0.0720869679589124,0.00937859123163526,0.00115450188970684,0.00979301514444982,0.00120521067886709,0.010719079136259,0.00408855591331114,0.00887433824905156,0.00111405824899463
"11428-87",340,0.00995033085316809,0.9,0.1,0.0718692368481566,0.00926852744669001,0.00121322047404131,0.00976349601986101,0.00127864772224778,0.00862928939748581,0.00423969831502511,0.00926341673790711,0.00122515667392586
"11428-88",340,0.00995033085316809,0.9,0.1,0.0722289313827227,0.0103059567483203,0.00120063912823933,0.0107601607973599,0.00126466698232958,0.0114966020370416,0.00430788647241391,0.0102973174482068,0.00123261263478921
"11428-89",340,0.00995033085316809,0.9,0.1,0.0718138703314615,0.0102994737422323,0.00137893375434077,0.0108802849120094,0.00143680227245191,0.00200061247800146,0.00650354346662279,0.0104010952797998,0.00140288509292682
"11428-90",340,0.00995033085316809,0.9,0.1,0.0717259160974846,0.00905545587211912,0.00128423286991442,0.009496529757359,0.00134268875965802,0.00611836231498161,0.00611321769636015,0.00851561947399159,0.00125584643274585
"11428-91",340,0.00995033085316809,0.9,0.1,0.072091317713938,0.0102952957983724,0.00105831882368964,0.0107202580246678,0.00111236125866524,0.0165650433053304,0.00484042762474578,0.01054225921084,0.00108493927256687
"11428-92",340,0.00995033085316809,0.9,0.1,0.0717699241625066,0.0104247998814383,0.00106489183826989,0.0109230195198715,0.00111719156206973,0.0119875271486087,0.00323922689340748,0.0102324241372166,0.00107048993436397
"11428-93",340,0.00995033085316809,0.9,0.1,0.0715255279537041,0.00959169344357715,0.00126007688331188,0.0100387270005884,0.00131792313701152,0.010099602771384,0.00338184861425483,0.00965329238293162,0.00127677005298364
"11428-94",340,0.00995033085316809,0.9,0.1,0.0717882439000909,0.00798086549524217,0.00126960880307535,0.00838373517969972,0.00134405579901999,0.0122841856144374,0.00516911580379791,0.00794776159263164,0.00126857751092378
"11428-95",340,0.00995033085316809,0.9,0.1,0.0719421180479056,0.0100826840869193,0.00131203907321628,0.0105629147841329,0.00138595732753295,0.0142862590040724,0.00427220122012599,0.0104172704230839,0.00135647846418276
"11428-96",340,0.00995033085316809,0.9,0.1,0.0718420761900494,0.00998944026964245,0.00108481880403137,0.0104459726901521,0.00113335188027311,0.0093938980840906,0.00297758997999407,0.0100509478846221,0.00113685374393677
"11428-97",340,0.00995033085316809,0.9,0.1,0.0716697406779998,0.0116066625391763,0.0011432571447614,0.0119234508747201,0.00117887731890621,0.0118051845991576,0.0040320585720657,0.011595656987938,0.00116452883641551
"11428-98",340,0.00995033085316809,0.9,0.1,0.071885789733193,0.010354962695785,0.00131303458290359,0.0109230205885397,0.00139753974011942,0.01020764815923,0.00348111177223125,0.0101808317077915,0.00130569047501669
"11428-99",340,0.00995033085316809,0.9,0.1,0.0717116208081589,0.00981949656211214,0.00119922002608419,0.0103235646736501,0.00125676269090892,0.00796294012295153,0.00328153039274902,0.0095795417868715,0.00123208379376088
"11428-100",340,0.00995033085316809,0.9,0.1,0.0715685607233449,0.0112833433322141,0.00132628297523825,0.0117993791521557,0.00139271194080391,0.00991069230605807,0.00493891514928166,0.0112234411295516,0.00133465647087446
