"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11429-1",100,0.00995033085316809,2,0.1,0.0710493785860107,0.00570966589956542,0.0029730967416873,0.00344417181037819,0.00195697221907426,0.0260641194744851,0.0105397665258782,0.00607040483253782,0.00413246899145922
"11429-2",100,0.00995033085316809,2,0.1,0.0716405304913057,0.00442225324877985,0.00216817322167815,0.0026283291812368,0.00144847561084363,0.0249669809820923,0.00915983596056034,0.00648897039693302,0.00374441054702315
"11429-3",100,0.00995033085316809,2,0.1,0.072113076439243,0.0102824468559804,0.00189543218922578,0.00602602697630601,0.00116503050357562,0.0243150619992791,0.0105904777572545,0.00946744524840521,0.00174693923584826
"11429-4",100,0.00995033085316809,2,0.1,0.0720310015849399,0.00868641971753037,0.00258767090390098,0.00477190496281333,0.0017314420789759,0.0150346723380002,0.00679117763580655,0.0127037368594375,0.00429348510439159
"11429-5",100,0.00995033085316809,2,0.1,0.0715024916402632,0.00783964310616503,0.00253163898260947,0.00527564239649795,0.00175513604567256,0.0154753270749322,0.00871176111301442,0.00755811455616145,0.00286572757867608
"11429-6",100,0.00995033085316809,2,0.1,0.0716678422408642,0.0148362889651119,0.00255280686900332,0.0108018025703637,0.00183296687114659,0.02789334427268,0.0140401041370743,0.0136046953969068,0.00250413744581548
"11429-7",100,0.00995033085316809,2,0.1,0.0720933623142914,0.00674591093032742,0.002119291739522,0.00467162853371469,0.00140948849456226,-0.0148761173531112,0.015519824728487,0.00556348934074937,0.00142632483186123
"11429-8",100,0.00995033085316809,2,0.1,0.0715595279923545,0.00452377580814132,0.0030522779020503,0.00326813762956211,0.00193264308478349,-0.0138047631333011,0.0123269939175907,0.00481065084906139,0.00360365902225671
"11429-9",100,0.00995033085316809,2,0.1,0.0709190498743348,0.0104494281958868,0.00260363523157157,0.00580347308880548,0.00171069399861194,0.00744010061506205,0.0145274656622333,0.00720727883664671,0.00312004032539391
"11429-10",100,0.00995033085316809,2,0.1,0.071988184515567,0.00650467345463803,0.00226877101156061,0.00432710558928342,0.00144485972878355,-0.00808168834100674,0.0110419906335582,0.0069336727115583,0.00270502999645983
"11429-11",100,0.00995033085316809,2,0.1,0.0722318499989901,0.0112965883142824,0.00217977863758059,0.00697463087991643,0.00136010178827366,0.0172799054980956,0.011871559040148,0.0130045056587574,0.00368472843484865
"11429-12",100,0.00995033085316809,2,0.1,0.0714025751582985,0.0122332652815735,0.00261949417053554,0.00721655681119855,0.00158048148631406,0.0144467603691772,0.00662505133691048,0.0049671736999127,0.00438466395615624
"11429-13",100,0.00995033085316809,2,0.1,0.0722401084496874,0.00870797199808323,0.0016010583622709,0.00494477555384617,0.000944653753589077,0.00528289856735131,0.011469007220946,0.00798998235350968,0.001888757768512
"11429-14",100,0.00995033085316809,2,0.1,0.0708388292168142,0.00969181919406648,0.00243900078406862,0.0060587017014304,0.0015036263821399,0.0274625618460194,0.0105282726817985,0.0086758520407946,0.00262929685943527
"11429-15",100,0.00995033085316809,2,0.1,0.071247556219647,0.00884657434437136,0.00229371312061308,0.00492610149022634,0.00141041591700789,-0.0370729308690743,0.0193011405723152,0.00765136617792608,0.0028075822958282
"11429-16",100,0.00995033085316809,2,0.1,0.0712328119208082,0.00921217219484713,0.00326441329696657,0.00703247127025296,0.00236624552807802,0.00704035511083331,0.00803475796266174,0.0131380729574054,0.00382302708199062
"11429-17",100,0.00995033085316809,2,0.1,0.071854561536075,0.0106478826063618,0.00209105156080414,0.00762530000697115,0.00146418993734377,0.0150885126828085,0.0109578231661921,0.0147844960851155,0.00378424791322298
"11429-18",100,0.00995033085316809,2,0.1,0.0713405891465693,0.00666161830899982,0.00339329938933559,0.00475864252813334,0.00206295569670409,0.00679890443243427,0.0101998851531351,0.00427254958381575,0.00552772319541845
"11429-19",100,0.00995033085316809,2,0.1,0.0723710835993134,0.0128653590160469,0.00288058893513349,0.00659585964895642,0.00165533326752291,0.029301592400233,0.0112338253836101,0.0149193555546959,0.00484536157544805
"11429-20",100,0.00995033085316809,2,0.1,0.0719448277016766,0.0134270602872525,0.00178009402559714,0.00803092227217873,0.00116565873014278,0.015665895624941,0.00853048565833887,0.0128217924458844,0.00199666860660888
"11429-21",100,0.00995033085316809,2,0.1,0.0715827552782847,0.00891236657670491,0.00264736124463537,0.0056279514189305,0.0016827344651077,0.00701682704036374,0.00688209168667835,0.00896151221713574,0.00554296263785615
"11429-22",100,0.00995033085316809,2,0.1,0.0712127739965037,0.00935292898925432,0.0021932158974717,0.00604755993738375,0.00148097660809534,0.00442812385531637,0.00688566961973712,0.00944768127712174,0.00352473668451249
"11429-23",100,0.00995033085316809,2,0.1,0.071921476739256,0.00981472800746543,0.00154430064261467,0.00509301222033522,0.00085939878186751,0.00721634841337744,0.00446123986328095,0.00774410864290838,0.0031557369274458
"11429-24",100,0.00995033085316809,2,0.1,0.0721881643568864,0.01279162513042,0.00201157135011714,0.00719789423545993,0.00114261974856934,-0.0178015740954506,0.0167601961348251,0.0136911431607224,0.00256000773430559
"11429-25",100,0.00995033085316809,2,0.1,0.0723012696293748,0.0107498071020051,0.00185987463191428,0.00803803241593294,0.00136846129952506,0.00930281883616996,0.00327710762379111,0.0100832773837037,0.00272077002608809
"11429-26",100,0.00995033085316809,2,0.1,0.0717226716703163,0.0109062763285019,0.00241788802719345,0.00600954712067339,0.00151453265038828,0.0241014953597037,0.00702299258181311,0.0148259861834259,0.00464900867578398
"11429-27",100,0.00995033085316809,2,0.1,0.0710548358089854,0.00844355834371636,0.00247117991098444,0.00625666655583528,0.00175294429414489,0.000114939725535298,0.0180073825125591,0.00685348314750577,0.003000078242474
"11429-28",100,0.00995033085316809,2,0.1,0.072206755678888,0.00982235977768569,0.0019083350578644,0.00572017510463477,0.00121685351862264,0.0059037487333843,0.00503923340760796,0.0082517073254604,0.00172120613957535
"11429-29",100,0.00995033085316809,2,0.1,0.0723634980828744,0.0109988732766289,0.00268117412796093,0.00668126380426894,0.00168267341040173,0.0146819361423322,0.00745807120084683,0.0132736207869591,0.0032409372033004
"11429-30",100,0.00995033085316809,2,0.1,0.0718610224895509,0.0144568416033738,0.00246707967686262,0.00989365388195168,0.00165897159262723,0.00943187151992506,0.00741833929637009,0.0104615294983281,0.00170341495614803
"11429-31",100,0.00995033085316809,2,0.1,0.0718002345658743,0.0097323782300934,0.00249064943647043,0.00605822511068513,0.00160950212395326,0.0191690323291206,0.0079758981063969,0.00634905868423176,0.00363919370743211
"11429-32",100,0.00995033085316809,2,0.1,0.0722852678914845,0.00708011538783542,0.00278888158835471,0.00412646436437985,0.00174244726679563,0.0124129353965291,0.00710475934238353,0.0162186858705242,0.00459219094650694
"11429-33",100,0.00995033085316809,2,0.1,0.0723718088413642,0.00575462968181328,0.00259302077176366,0.00370567917415252,0.00158439700206716,-0.00967006323207653,0.0127869233728725,0.00590026496930176,0.00256053377161558
"11429-34",100,0.00995033085316809,2,0.1,0.0718577953722658,0.00920014064651553,0.00251623153904521,0.00550935305338911,0.0016109928741794,0.000874645803504631,0.00760225839740179,0.00681156709338857,0.00267418241349694
"11429-35",100,0.00995033085316809,2,0.1,0.0716795862323233,0.00819059920419326,0.0025402709255809,0.00589819337872669,0.0018706482291309,0.00363369565870548,0.00580115875655304,0.0088462132372455,0.0035587941036181
"11429-36",100,0.00995033085316809,2,0.1,0.0719769368816122,0.0102438238313725,0.0023355731815224,0.00591510825229827,0.00134315840625291,0.00300161536202329,0.00922427113358285,0.0103509788927549,0.00361952738819182
"11429-37",100,0.00995033085316809,2,0.1,0.0718735081976796,0.010030859412403,0.00211343178413239,0.00634653530702356,0.00146284658312757,0.00826956996599125,0.011044731384866,0.00809083378320628,0.00282396436337404
"11429-38",100,0.00995033085316809,2,0.1,0.072406880828807,0.0139465747711977,0.00237978790839542,0.00738360645318405,0.00147853615211377,0.0150178096554739,0.00601849534815019,0.0135478015531812,0.00283509969790892
"11429-39",100,0.00995033085316809,2,0.1,0.0720185233893519,0.00518730808868389,0.00249477209503037,0.00375831300645925,0.00163688991777573,0.00827155017823112,0.0171312777917204,0.00435893338908476,0.00263784396299585
"11429-40",100,0.00995033085316809,2,0.1,0.0716072277336355,0.0109034052694085,0.00206833064228499,0.00660631884382573,0.00137472002347387,0.00887705186252745,0.0174919418414939,0.00949168144642877,0.00240828223459673
