"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-1",340,0.00995033085316809,2,0.1,0.0718962781372454,0.00951450283511451,0.00126270804886915,0.00613111735404065,0.000863993652311049,0.0162605811297756,0.00396754180285365,0.00938057175861816,0.00151505271296602
"11428-2",340,0.00995033085316809,2,0.1,0.0716176697970092,0.0113606770005518,0.00124132752973674,0.00696232281358166,0.000794474860507773,0.0114212596224109,0.00456576796716098,0.0107604115705735,0.00195547507272006
"11428-3",340,0.00995033085316809,2,0.1,0.0717475867711735,0.00661280179688442,0.00145850293875726,0.00456737365492231,0.000974497223036264,0.000687319907464874,0.00449617247199373,0.00781361249278006,0.00225894700830841
"11428-4",340,0.00995033085316809,2,0.1,0.0716468459003406,0.00982191653434748,0.00114839273788991,0.00588614261064173,0.000696691681060306,0.0117877614056418,0.00290792023985413,0.00863326809226999,0.0014079340303324
"11428-5",340,0.00995033085316809,2,0.1,0.0722620055007739,0.0105060886707865,0.00116518474427841,0.00662236542183593,0.000754219248880672,0.00679079102440386,0.00355610397434756,0.00785908503869071,0.00129153395294203
"11428-6",340,0.00995033085316809,2,0.1,0.0717911962067245,0.00926322703391661,0.00116956351974797,0.00640167995041698,0.000792740660998102,0.0063869084219561,0.00437064985958326,0.0104221032255573,0.00182595663542354
"11428-7",340,0.00995033085316809,2,0.1,0.0716774320484616,0.0128042109882024,0.00136574505326843,0.00821667301727971,0.000916587817682445,0.00822436132572469,0.00450974784463235,0.0122314702686013,0.00263411935211545
"11428-8",340,0.00995033085316809,2,0.1,0.0719159555109011,0.00891696777084211,0.00132115290998297,0.00558455918171538,0.000887944390233601,0.00302206425609344,0.004669122600544,0.00907079292216293,0.00231200559648853
"11428-9",340,0.00995033085316809,2,0.1,0.0717814246357631,0.00950855716670171,0.00121952104580678,0.00598802267311919,0.000787619375263815,0.0067430148321741,0.00511454712249503,0.0118612751769827,0.0019727233917987
"11428-10",340,0.00995033085316809,2,0.1,0.0717687412050547,0.0107366308612016,0.00110510882663855,0.00644418950368021,0.000673140784914246,0.00465182510960271,0.00450364386297045,0.0106273246977454,0.00155802780399379
"11428-11",340,0.00995033085316809,2,0.1,0.0712093628692938,0.00863415214908637,0.00100377673087124,0.00566912522762146,0.000723682752077982,0.0111336954808314,0.00252046018585937,0.00705057342634925,0.00155064552079516
"11428-12",340,0.00995033085316809,2,0.1,0.0717213691442504,0.0102311664015859,0.00101024868418255,0.00633574654675085,0.0006390456339458,0.00675183223109208,0.00307582862358612,0.0115714828731771,0.00141921000366116
"11428-13",340,0.00995033085316809,2,0.1,0.0716683149558081,0.0100387572474104,0.00116688049500484,0.00622481179094002,0.000794176377341321,0.00960447372490637,0.00320008393218959,0.00958533582963151,0.0015643683426206
"11428-14",340,0.00995033085316809,2,0.1,0.0718374959619733,0.0103593156454135,0.00128930236792455,0.00674930003873663,0.000818254554840431,0.0100791369773375,0.00430637804895569,0.00769142390391532,0.00166400834329607
"11428-15",340,0.00995033085316809,2,0.1,0.0715462979205101,0.00817594598999355,0.00141929840091574,0.00485155655084211,0.000925892711080597,0.00346093040492151,0.00514127216594113,0.00473605666330441,0.00193826448747048
"11428-16",340,0.00995033085316809,2,0.1,0.0720210662571023,0.0107262938604865,0.00130511182612601,0.00651539967643822,0.00079054380184606,0.0135703431904865,0.00315868814709935,0.0105641608519005,0.00236976003520714
"11428-17",340,0.00995033085316809,2,0.1,0.0719203889562103,0.0099485477795105,0.00115187397748858,0.00654267845485885,0.000790238712966825,0.0116615329070468,0.00352115085173863,0.00969964863857219,0.00149105767710378
"11428-18",340,0.00995033085316809,2,0.1,0.0719727828187673,0.0121572997922407,0.00137385101009486,0.0080525779535027,0.000910234284651041,0.00560657804521723,0.00504606688297483,0.013485478800645,0.00252882156165628
"11428-19",340,0.00995033085316809,2,0.1,0.0719120351490997,0.00770193484848965,0.0014085211545398,0.00458228564642681,0.00090819103372393,0.00376287506338459,0.00511008549149656,0.00542021804546335,0.00219480641057138
