"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689526879973127,-2.69741738031243,0.00174640729798454,0.00924752864636462,0.000479649797048045,-2.69541469768808,0.00169967332439682,0.0122196700104477,0.000654686088079309,-2.69939479678105,0.00546155933417242,0.0103045120007597,0.00160119554663964,-2.69777046269364,0.00197955863334729,0.00970504912273905,0.000672218522594596
"11422-2",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689324421343706,-2.6998002506829,0.00178686167825962,0.00991055700393356,0.000493681779112936,-2.69809549021483,0.00174973663283831,0.0132587211027337,0.000678849007600525,-2.70553193585698,0.00571230205850081,0.0103204219598566,0.00147870782820452,-2.70118980444838,0.00227682603004786,0.0103873070721122,0.000746787300429998
"11422-3",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0688264477897943,-2.69921033320864,0.00174897876734598,0.0093437061208681,0.000485467850251827,-2.69731956915914,0.00171443849804441,0.0124889421454438,0.000677517204299792,-2.70007674049814,0.00562784105480751,0.00917445304038289,0.00167590899034111,-2.69897307395419,0.00233232951746378,0.00907015382863778,0.000692266082180946
"11422-4",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689437049103257,-2.69867925067236,0.00177861731988995,0.00957815873280393,0.000491854170437778,-2.69668632357483,0.00174825838917695,0.0126826858253203,0.000685428816097984,-2.69800778628321,0.00573957880261497,0.00857247133695686,0.00156505398910326,-2.69892766927828,0.0022418135372164,0.009700888860273,0.000728352601558831
"11422-5",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689395749159108,-2.69896459959631,0.00178955306182252,0.00956296557057821,0.000491299729831704,-2.69696894229736,0.00176202720368287,0.0127564523310219,0.000691868661796178,-2.69394379996149,0.00607780382980435,0.00747687533560129,0.00192550885664035,-2.6984609663658,0.00266871256681033,0.00948623281308926,0.00095079280491473
"11422-6",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0691536826461538,-2.69522035866373,0.00176582279237432,0.00949357233237294,0.000489001822417727,-2.6933966280482,0.00176390660821667,0.012622086681987,0.000703144119191829,-2.68437575665636,0.00590953135722465,0.00756234857084462,0.00156690355519932,-2.69547524716099,0.0022546367727458,0.00964275840208554,0.000759481929742403
"11422-7",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0688624445228386,-2.69876715595814,0.00181158685857277,0.00901462880996512,0.000501365809886137,-2.69679558217983,0.00177501532566176,0.0118750034021846,0.00069348544612707,-2.6984614143029,0.00580892916865985,0.00918889897527424,0.00159419423330251,-2.69888988510174,0.00219941317525801,0.00885999847971548,0.000656225149644235
"11422-8",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689236909452751,-2.69910235963832,0.00179009787220636,0.0094363889213294,0.000488330720548206,-2.6970778283729,0.0017552902044702,0.0125020878180929,0.000678423604816425,-2.6937468296456,0.00557230444657806,0.00811968533298074,0.00146281992275928,-2.69965097385043,0.00263801726835658,0.0095463158547125,0.00086519260511077
"11422-9",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0688825742436984,-2.70034901733753,0.00178262571310467,0.00971577864626215,0.000483941418237581,-2.69854428588073,0.00174495092995052,0.0130714231738296,0.000671693030108383,-2.6962716861785,0.00555675747791604,0.00931080518003368,0.00159257447295302,-2.69947693149448,0.00241763596912554,0.00951018889199074,0.00083199888421408
"11422-10",2200,-2.7,0.00995033085316809,0.7,0.15,0.1,0.0689967875083366,-2.69872460527449,0.00177330086411261,0.00988749489677214,0.000487460697346264,-2.69740219109596,0.00175432130243748,0.0137424465940925,0.000699898524924628,-2.69668121279374,0.00538299538294491,0.00977246908995147,0.00122877567701044,-2.69767352249866,0.00284678383661052,0.00931746885953497,0.000982365978156027
