"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",100,0.00995033085316809,-0.7,0.6,0.1,0.0715729672054275,0.0118807539397412,0.00503011676027309,0.0138535928494861,0.00468999225991085,0.0138981744858104,0.00529356817979187,0.0155421276552606,0.00398280719812661,0.0126739016617685,0.0037416224745132
"11422-2",100,0.00995033085316809,-0.7,0.6,0.1,0.0715339859112146,0.0112244641623495,0.00453581981417013,0.0106483359199032,0.00410061492259452,0.0100726663900806,0.00516806462302551,0.0111794043266137,0.00425403487440717,0.0132795417027081,0.00425867803580553
"11422-3",100,0.00995033085316809,-0.7,0.6,0.1,0.0714749380831765,0.0132566441332549,0.0046419594117822,0.010731350984167,0.00394890734086706,0.0108777824508916,0.00345884649767858,0.0100779657504719,0.00400545760022679,0.00970393137001674,0.00418180617332654
"11422-4",100,0.00995033085316809,-0.7,0.6,0.1,0.0722618918076172,0.00933977426745851,0.0029143633596578,0.0119934608722767,0.0028678123279443,0.012114928293076,0.00295323941151598,0.0121067624551373,0.00304070212923163,0.0116519737314336,0.00277554558800589
"11422-5",100,0.00995033085316809,-0.7,0.6,0.1,0.071788299350754,0.00812211387559655,0.00372524288162655,0.00791750249357452,0.00324122665899608,0.00818881384111029,0.00327790398583009,0.00745981562720693,0.00392903306126632,0.00633358015951691,0.00366641158799127
"11422-6",100,0.00995033085316809,-0.7,0.6,0.1,0.0719082880066656,0.0102944141840454,0.00299243090337313,0.00966193470389069,0.00310712568562605,0.00985609290908051,0.00281168369144691,0.0092263225654557,0.00318848095811798,0.00892008726303387,0.00329324802067867
"11422-7",100,0.00995033085316809,-0.7,0.6,0.1,0.0711272273831911,0.0103654029672192,0.00525887489647026,0.0102971158253565,0.00537223672941698,0.0102936033583996,0.00561545844329446,0.0100020598219392,0.00541254262474891,0.00991064247842019,0.00541610857224629
"11422-8",100,0.00995033085316809,-0.7,0.6,0.1,0.0712336111838484,0.0111389796242208,0.00396794233299918,0.0130269803884178,0.00365834256893458,0.0129010610290747,0.00413276779753414,0.0127795648837297,0.00406044134909765,0.0125737052308245,0.00354845875790562
"11422-9",100,0.00995033085316809,-0.7,0.6,0.1,0.0715805422432076,0.00880295296887657,0.00289338230128321,0.00999948347682657,0.00276509177499657,0.0098908463756999,0.00267782188133939,0.0100748858936163,0.00277525166887291,0.00936878616241948,0.00269592979224332
"11422-10",100,0.00995033085316809,-0.7,0.6,0.1,0.0716701385628508,0.00829580214477032,0.00761610960656354,0.0121286031993204,0.00299293729050276,0.0119929924061602,0.0030056781101206,0.0117926679907495,0.00325618661169054,0.0121192650181185,0.00344867063959459
"11422-11",100,0.00995033085316809,-0.7,0.6,0.1,0.0713080828062749,0.0151846831570506,0.0044167088166337,0.0128274907145102,0.00567251068632792,0.0127806406474705,0.00562583656840296,0.0125855290130814,0.00500833846716449,0.0130612527180429,0.00556046621370548
"11422-12",100,0.00995033085316809,-0.7,0.6,0.1,0.0721767079989318,0.00798297521941654,0.00334237743385459,0.00915564384015127,0.00308549830824886,0.00909358737467986,0.00327951466419644,0.00909689281122601,0.00296708010789796,0.00857335709157494,0.00337708816284568
