"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11423-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11398635067502,-2.20586771334827,0.00390825214213077,0.0106285671137359,0.00110474601196657,-2.19975356046915,0.00351463591198209,0.0112019237759142,0.00119417401699148,-2.20775852297032,0.0121560619385075,0.0083844448458582,0.00342143169471946,-2.20424875280579,0.00452767541735545,0.0101267523706443,0.00144958965238074
"11423-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114581260111732,-2.19922274433755,0.0040409144202303,0.0100772498402585,0.00116910955409384,-2.19228217266727,0.00362168299876177,0.0100116586365215,0.00125972921656275,-2.20021586129246,0.0130448602973146,0.00991561930040911,0.00319838538277251,-2.19960687177493,0.00463288505500239,0.00991482511294385,0.00146874521796204
"11423-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114289428959811,-2.20303112825737,0.00398031365260089,0.0108386412968038,0.00113625248017008,-2.19690493424256,0.00359367187470569,0.0114339760755111,0.00122171173441736,-2.20553573742581,0.0121986235805867,0.00821453552478576,0.00376139342955337,-2.20519546435715,0.00513339373054361,0.011527440662257,0.00167858281818497
"11423-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114475790696204,-2.20509130416842,0.00411490127032981,0.0114090546007294,0.00115262229700425,-2.19797461448982,0.00368277282253607,0.0118384722075534,0.00123795161030983,-2.18445376340863,0.0125271028490868,0.00773360785982479,0.0033373063975461,-2.20966629021856,0.00578474705713998,0.0132489960956946,0.00186411163207702
"11423-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114019909706472,-2.19671822168256,0.00397730784315774,0.00753961967962124,0.00112577207300294,-2.19179670252315,0.0035893811153299,0.0075971885020896,0.00121145538467239,-2.18267722147745,0.0118604121841178,0.00511585091253752,0.00342969408765068,-2.19531189690625,0.00473069538095031,0.00697709300622689,0.00152272887783143
"11423-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115261154156401,-2.19203445984202,0.00385282760379301,0.00931085271338917,0.00104066087887583,-2.18578239311329,0.00347830012122025,0.00938876892730387,0.00111424982883356,-2.18788924741034,0.0125626392081867,0.00611657842471007,0.00289039386613493,-2.19141571496351,0.0042796901429911,0.00926633986004375,0.0013381598688805
"11423-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114156787432561,-2.20228634014561,0.00396529264392341,0.0102452997104257,0.00116842742815269,-2.19676448655895,0.00355887724027897,0.0109675199419368,0.00126361178559265,-2.20763791722735,0.0128222801085316,0.0140562605259923,0.00395319407097489,-2.20157606089752,0.00458161413088189,0.00990912991723633,0.00152861683354649
"11423-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114160353059201,-2.20948841989233,0.00405661016624429,0.0124947337162621,0.00115128918470851,-2.202798320312,0.00364641976856172,0.0133083306966052,0.00123103442689106,-2.20639401720116,0.0120465557613681,0.0122661597682351,0.00368839158481548,-2.21230536803432,0.00529353525303475,0.013538899839125,0.00177467222468592
"11423-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114898486381987,-2.19651061883664,0.00385695066659936,0.00942056544862651,0.00107456774229509,-2.19078305642774,0.00344736798858365,0.00979190788602125,0.00114580082811177,-2.20460459264671,0.0118717975792979,0.0129269405168438,0.00304185611280656,-2.19355915873652,0.00457324351057175,0.00842439066023433,0.00143637140616291
"11423-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114739654947876,-2.19982471268762,0.00366728231957007,0.0111083661224503,0.00109669791844752,-2.19292948828974,0.00326674715431667,0.0113087432601366,0.00117396646026436,-2.19290358845755,0.0113836652771267,0.00969737700850663,0.00332248098906191,-2.20198730193562,0.0047927533480414,0.0116676006411766,0.00160665707890074
"11423-11",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114432465754819,-2.20110325630438,0.00411200575176415,0.0102852048018635,0.00115095534654788,-2.19559909529742,0.003716218068741,0.0110418877278242,0.00124591119927164,-2.19199845553269,0.0133656539451975,0.0118143931679588,0.00353000577772616,-2.20153002117962,0.00472876477123449,0.0104986672830828,0.00145211835834459
"11423-12",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114301611857359,-2.19613360341705,0.00417530746665074,0.00806619491154555,0.00117367428055668,-2.19099028315321,0.00378988639603177,0.00814333476596643,0.00126310327938492,-2.18547817487791,0.0136995857305608,0.00437289676544821,0.00361345116890277,-2.19437492892295,0.00545341200102848,0.00721196956399306,0.001844640886985
"11423-13",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114619644466087,-2.19600094420588,0.00383589519410166,0.00925499935791788,0.00115359689018851,-2.19011375129069,0.00342852715039061,0.0093826899362997,0.00124790582690234,-2.17519316672326,0.0115706642398581,0.00503482797003293,0.00345020014568523,-2.19609225200418,0.00474779848075153,0.00951401231079417,0.00160455228252487
"11423-14",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11416403967781,-2.19991640419062,0.00412887798321381,0.00911218890568394,0.00116843279731485,-2.19534535579093,0.00374830579526763,0.00981048687909826,0.00125760170612398,-2.20037674492342,0.0131416172326168,0.00979505147495463,0.00338119616059728,-2.19877457637495,0.00495775322289602,0.00854457220414208,0.00164715412559961
"11423-15",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113973556615523,-2.19899665620277,0.00391513360955185,0.00764907765597014,0.00103492093918681,-2.19400155210431,0.00354316678215056,0.00771711305919899,0.00109285181887258,-2.21276703984452,0.0130556948447,0.0119478336433358,0.00365788859357994,-2.19803670573886,0.00431621627696051,0.0073760518663587,0.00126829856156657
"11423-16",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114640653029611,-2.19825733409393,0.00386014806826183,0.00948287197042484,0.0011149943491665,-2.19267474769376,0.00343355917485917,0.00997872094295105,0.00119703403063048,-2.21127598958383,0.013405222296377,0.0132900854624845,0.00359883954172467,-2.19759191962177,0.00475214576280312,0.00923189524238435,0.00155559893097338
