"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11428-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115578329466757,-2.19910474545893,0.00533428215787659,0.0102750593272206,0.00150675262400495,-2.19286712135691,0.0047684790552522,0.0107189327420169,0.00161447626890517,-2.20586776882736,0.0177347531000342,0.0162161759975519,0.00494895895549893,-2.19896241060114,0.0066068987836345,0.0100577094427242,0.0020578369216128
"11428-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115781129867957,-2.19599787363464,0.00532743313541871,0.00986465169968789,0.00154025252946154,-2.19040836924768,0.00476687987651846,0.0104429621025016,0.00165041296558184,-2.18632120966037,0.0163027901628244,0.00970516413522238,0.00476575642583222,-2.19576870402482,0.00621989498448593,0.00988414693894842,0.00201078013201956
"11428-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115274273433976,-2.20248538234296,0.00545909120267213,0.0109353330897837,0.0015292873468471,-2.19617362679928,0.00492730021703507,0.0115794458739598,0.00164464117921211,-2.18370505324559,0.0158970863343942,0.00644909426476297,0.00481058120934234,-2.20299759817482,0.0065561956870547,0.0111207085059256,0.00210122286278395
"11428-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115815353535068,-2.20027525240725,0.00535522517231597,0.0117699138296578,0.00152121271287082,-2.19433895166803,0.00481579089599008,0.0127895708097254,0.00162789615192095,-2.22471875149099,0.0161281682353147,0.0158142043092513,0.00495475882917103,-2.20291215139267,0.00623069558617418,0.0130426826652783,0.00199652447335483
"11428-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115451201709551,-2.20134696570152,0.00523925388887562,0.0108839529312643,0.00146652305800097,-2.19574962390255,0.00471714200405431,0.0118269414876618,0.00158124883741498,-2.19849535113901,0.0179639644820219,0.0114444414063832,0.0055083942987609,-2.20279959864944,0.00605216875631718,0.0112714623096269,0.00184077039383012
"11428-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115221641648393,-2.2069884894485,0.00551716576105507,0.0124884274947625,0.00152933782068925,-2.20009998806295,0.00499541039889429,0.0130812559270797,0.00163469305911215,-2.19433998754531,0.0170144315795369,0.0172687674739632,0.00509349920038298,-2.20864943414838,0.00687259338026098,0.0131504322811573,0.00219396888550708
"11428-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115204599944174,-2.20620214261899,0.00522384339350979,0.0121737853933382,0.00145920151521035,-2.19908182209399,0.00469891593237583,0.0127309387067061,0.00156057226281327,-2.20549915652464,0.0163676041788924,0.0101307624960202,0.00404892945324299,-2.20390057569021,0.00663378357811721,0.0115783302220192,0.00227958055555148
"11428-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.114894458931028,-2.20201760849172,0.00557779224167608,0.00946550468825681,0.00155764764510544,-2.1967627114265,0.00505689991803538,0.00997722606243173,0.00167908550637703,-2.20456301906224,0.0153048432963613,0.0128653447820565,0.00421465898657446,-2.20427715080983,0.00668381553657399,0.010542945823266,0.00216497996515811
"11428-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.116081028026656,-2.18273669137084,0.00525716165671376,0.00611282027767697,0.00146928773741126,-2.17888439499715,0.00473535341961043,0.00629078572866335,0.00158195535719623,-2.20004831985735,0.0154915618153969,0.0102005676080261,0.00361005341717706,-2.18662739686035,0.00603804923783555,0.00777447585796576,0.00190257351124222
"11428-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115525216747289,-2.19115896582676,0.00535297683467864,0.00720627295221775,0.00146347170535587,-2.18635681764419,0.00484872004574532,0.00719027320740814,0.00156587178914355,-2.1395846858028,0.0178556052025414,-0.00234234694565595,0.00506065544599449,-2.18976275238215,0.00668839312599245,0.0066643386818244,0.00213442130525805
