"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11423-1",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114047323378945,-2.19486760938064,0.00919749942620181,0.00766561401155404,0.00319575307757957,-2.1885498165528,0.00800627507832441,0.00683439022292639,0.00345258471660381,-2.20030340013583,0.0356256376980961,0.0191628230188577,0.011331995272476,-2.19848625299971,0.0108706730128588,0.00946808127174754,0.00425324724439071
"11423-2",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114259816623812,-2.21725487409586,0.00883119874293217,0.0154648678420948,0.00240915946381237,-2.20807955015526,0.00800535533342702,0.0157161185833219,0.0025560928503309,-2.2660540855621,0.0326583985899445,0.0137671348944888,0.00781752548656136,-2.22587710247778,0.0109939245170793,0.0181176526433943,0.00325374206671827
"11423-3",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113501106725765,-2.20801795013376,0.00913972258376085,0.00898300277176942,0.0023559602720221,-2.20116684514399,0.00820047890595396,0.00864076504337694,0.00244195510457589,-2.21357374524339,0.0287485815861677,0.00656195990157069,0.00716634080401362,-2.20927549641262,0.0113487046669576,0.00898589203039767,0.00310470535789378
"11423-4",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114948140549307,-2.20272347970533,0.0093643498103457,0.0125589087252356,0.0027659403300811,-2.19458670995481,0.00836728088989368,0.0129829042651396,0.00299656512121192,-2.18323557373572,0.0289707912390717,0.013396187222901,0.00711939413336342,-2.2046809469696,0.0112926649074692,0.0127200924297662,0.00351509597285552
"11423-5",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115407350798784,-2.19407386858698,0.00894758259458615,0.0111737287630632,0.0025759223151443,-2.18737785815794,0.0080289380491037,0.0114829780358648,0.0027627497192499,-2.15147404809516,0.0278682004492321,0.000707967942736392,0.00672572477812696,-2.19463824775644,0.0108049869197939,0.0114936284094294,0.00357958555142674
"11423-6",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114994267293634,-2.19540572024533,0.0101563011116642,0.00921299314850974,0.0027316223722341,-2.18991823703476,0.00921383060592415,0.00944437265767584,0.00290576734609889,-2.20344058080022,0.0296472885880892,-0.00431852806691391,0.00872189216945967,-2.19114689747268,0.0116308341057133,0.00737147896636556,0.00338844160115041
"11423-7",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115193694203375,-2.19365728614135,0.0100174179573503,0.00922763074721259,0.00260290672184025,-2.18797220198124,0.00896149227437894,0.00981192996041298,0.00275467355015688,-2.17323030398843,0.032288097728768,0.00703142926331507,0.00854609849890812,-2.19331710150803,0.0117390085437012,0.00932721918857221,0.0035192639387837
"11423-8",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11386121168942,-2.21246640837238,0.0106507873907768,0.0124289049454245,0.00296705421876336,-2.20509293458582,0.00952837161269916,0.0129805100462969,0.00314436479246319,-2.21949562511512,0.0348051364692279,0.0162614341361419,0.00864657395494794,-2.20705105052022,0.0115225349781861,0.0107432800255744,0.00346902637447269
"11423-9",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115298428605088,-2.20737368280428,0.00839330036123334,0.016288116072448,0.00234315472140017,-2.19868324062584,0.00762140490952307,0.0171905627778269,0.00250767523387628,-2.21176580211371,0.0260686563363632,0.012717061665501,0.00760727644481975,-2.19963558885033,0.0102199407037196,0.0130128849305195,0.00317082077597884
"11423-10",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114076478836026,-2.20449801770441,0.00927028889683561,0.0105222892176976,0.00238012033672559,-2.19832516357596,0.00850878655611617,0.0107838300896268,0.00251767306619444,-2.21980979627105,0.030963625715005,0.0131519431161159,0.00780995274554931,-2.20744423740636,0.0117390828057941,0.0116169991790915,0.00369378670181386
"11423-11",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113600034140326,-2.19397093084073,0.00870066936621533,0.00499122876107714,0.00259301419079851,-2.18939473649217,0.00777048316259085,0.00436686632795675,0.00284690312777756,-2.18121068348908,0.027158108334548,-0.00297940906597127,0.00826513088593779,-2.20179132525147,0.0127149139585938,0.00761055124308798,0.00411115962822142
