"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11425-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11461976561064,-2.19801972134137,0.00397273234499371,0.00969002672966872,0.00109136291604528,-2.19229270019645,0.00358767954743669,0.0101528405064901,0.00117122697822901,-2.21123262359622,0.0125580350508947,0.013757061509787,0.00330362573818781,-2.19922507712716,0.00457405850425393,0.0100505572030743,0.00137570193253693
"11425-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114981990209582,-2.19434017893604,0.0039272754894918,0.00986024362857952,0.00111442389425016,-2.18890835566532,0.00355671131669131,0.0104519905671427,0.00119977973166891,-2.17713001789267,0.0109695927600692,0.00842911426683781,0.00292636924795514,-2.19427660242413,0.00452814367013503,0.0100674523628227,0.00145022919177639
"11425-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114506056744837,-2.20643258618328,0.00386629025184965,0.0123583014231815,0.00106319385691445,-2.19883396264445,0.00349438795594719,0.0127847557391422,0.00114110485640151,-2.20456184284588,0.0115357875949584,0.0109433912148844,0.00320143914135815,-2.20637519968497,0.00517227211056463,0.0119554388395753,0.0015959938752421
"11425-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114854816216696,-2.19561066314343,0.00392295445470347,0.00919006232214234,0.0010687679581391,-2.19032178391422,0.00352773499975791,0.00972599419532767,0.00114479498732434,-2.20906327481266,0.0121156860999031,0.00715469197389564,0.00329319666193202,-2.19397380558812,0.00458847200531415,0.00854088172756694,0.00136841517072275
"11425-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113766937890204,-2.20957145507566,0.00401411957264431,0.0114282051368742,0.00113599775025286,-2.20375447425379,0.00360751158966912,0.0125334632264204,0.00122897435214491,-2.20849373563565,0.0120344608379207,0.00957633524506853,0.00380982818071024,-2.20517613121975,0.00476879329678772,0.00962800851855718,0.00149290643275154
"11425-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114966117556446,-2.19295335664819,0.00378438686182868,0.00886314808766264,0.00106350605919194,-2.18750001603406,0.00341800786477876,0.00915001013679635,0.00114837000142053,-2.18324125508076,0.0118090050181846,0.00852604332821114,0.00280638371731406,-2.19079678085256,0.00426293960692222,0.00833357179155783,0.00138680247151493
"11425-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115273224451674,-2.20081558516853,0.00383820561391352,0.0127876928971571,0.00104497829716341,-2.19353192565295,0.00346405115138462,0.0135289961857383,0.00111491660769561,-2.19592839173444,0.0140370571007582,0.00977054487221599,0.0037252021294497,-2.19997984440757,0.00459990515455585,0.0125796680794019,0.00146739747848502
"11425-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115177082723123,-2.19648877046827,0.00395896201990882,0.0106546946576781,0.00111269454828649,-2.18937520807083,0.00355378797047657,0.0108464854104135,0.00120714372655574,-2.20701394751408,0.0116594419655657,0.0130953482380403,0.00301559972254486,-2.19496449819893,0.00470337296410281,0.00996713963285411,0.00149945810933022
"11425-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114236276591237,-2.19679815521161,0.00411202865541151,0.00800546449330162,0.00113135108169985,-2.19121767871081,0.00376307991924481,0.00777357794042403,0.00122604320078965,-2.17727468370379,0.0125133816546072,-0.00325625732530618,0.00371395844715641,-2.19505776650984,0.00457071043628151,0.0074261924119784,0.00141942690604152
"11425-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114628997477792,-2.19798096334308,0.00384207098824139,0.00978415802585511,0.00109160258680343,-2.19251587157958,0.00343610882414038,0.0104585131253719,0.00117069553549771,-2.19900166450164,0.0126740595071943,0.00997679828543431,0.00352852148328344,-2.20044495761967,0.00431200608540286,0.0105207784101395,0.00130126142202488
