"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-19",387,-1.1,-0.01,-0.7,0.8,0.1,0.325123367986254,-1.10163852860211,0.00206388456377264,-0.00875789037733508,0.000614568664808204,-1.1112949543252,0.0016574977604023,-0.00785946622283884,0.000584740988622774,-1.10471733918309,0.00624773700359648,-0.00892817426884428,0.00170218018571807,-1.10241120104328,0.00251430901485121,-0.00842634870954322,0.00081403342352057
"11422-20",387,-1.1,-0.01,-0.7,0.8,0.1,0.324415359332375,-1.10321264381883,0.00203522757372888,-0.00908113721335329,0.000603149539001043,-1.11280984180379,0.00164838306505596,-0.00845887177710593,0.000583443892609679,-1.09879439914932,0.00627388812270555,-0.00909405561648518,0.00194899048409028,-1.10488766446513,0.00288038769993639,-0.00852027727255525,0.000962711305941216
"11422-21",387,-1.1,-0.01,-0.7,0.8,0.1,0.324425952385162,-1.10129567994792,0.00190839129185819,-0.00977861266928874,0.000529491438352289,-1.11025103259285,0.00162573656731927,-0.00955569267894231,0.000528208944418491,-1.10386723494382,0.00571514154537209,-0.00809808418290687,0.00119664303670255,-1.10330884270481,0.00266761766360075,-0.00917853260324372,0.000864617742113308
"11422-22",387,-1.1,-0.01,-0.7,0.8,0.1,0.325074167740386,-1.10033042971515,0.00189024584415195,-0.00999813677471483,0.000553440201703384,-1.11042798574388,0.00157880282673703,-0.00936565990570077,0.000534357818788747,-1.09851840989992,0.0057617275655283,-0.00982064978797991,0.0012418066522266,-1.10256953950489,0.00251386547438555,-0.00917848107160403,0.000807689758903408
"11422-23",387,-1.1,-0.01,-0.7,0.8,0.1,0.324842838698405,-1.10251815791028,0.00201472375619534,-0.00893082591515375,0.000600087344769691,-1.11188756494331,0.00162979261783695,-0.008613554085115,0.000591837524105114,-1.09931119089735,0.00648236102911655,-0.0107193626026727,0.00218538564411357,-1.10470466879914,0.00314882528792048,-0.00862133020639472,0.00119024403612002
"11422-24",387,-1.1,-0.01,-0.7,0.8,0.1,0.324731512032703,-1.09938966164391,0.00194774469136058,-0.00995126387778533,0.000541684101250994,-1.10920341880525,0.00163372239490074,-0.00952872562058924,0.000534181221710489,-1.09344725039562,0.0060129545326611,-0.0124567004376831,0.00187162003100429,-1.10139542478625,0.00277997441280274,-0.00985507816922011,0.000988165453332013
"11422-25",387,-1.1,-0.01,-0.7,0.8,0.1,0.324341725034829,-1.10266523712862,0.00191472931886784,-0.00919972052979534,0.000524776161025312,-1.11185515001158,0.00160586799641292,-0.00892595972371681,0.000513760956714731,-1.10262458905951,0.00593024888793373,-0.00859301699588758,0.00200748927707787,-1.10063325855135,0.00256202326845046,-0.00993605116919296,0.000827751977371843
"11422-26",387,-1.1,-0.01,-0.7,0.8,0.1,0.324080254442075,-1.10425144016804,0.00196308778966067,-0.00905007975575848,0.000560961012289075,-1.1137971459475,0.00161605887066604,-0.00845235524826228,0.000540963829001323,-1.0932076813235,0.00657912977286414,-0.0101816565574271,0.00221826966050335,-1.10446983844517,0.00315870756002935,-0.00909107887808787,0.00111007950966601
"11422-27",387,-1.1,-0.01,-0.7,0.8,0.1,0.323943058092327,-1.10074766130012,0.00206267437530376,-0.0107599013087545,0.000626338811263518,-1.11241321533073,0.00165640250444587,-0.0098668461767,0.000609092703656525,-1.09493408671301,0.00707843369641541,-0.00942102426106814,0.00215474696361547,-1.09869338008763,0.00373789233488654,-0.0109879314888885,0.00119266007684294
"11422-28",387,-1.1,-0.01,-0.7,0.8,0.1,0.324539617214549,-1.09898087670179,0.00204101421014873,-0.0098691643165552,0.000564568674188472,-1.10936587097112,0.00167588864365839,-0.00945518939569659,0.000560250318205769,-1.10077185291289,0.00619782827169696,-0.00915190572450239,0.0014486525383335,-1.10152199842274,0.00295861282244585,-0.00921355430026161,0.000877125557860821
"11422-29",387,-1.1,-0.01,-0.7,0.8,0.1,0.325124232621533,-1.09899551966837,0.00202084357152954,-0.010850895305147,0.000654128080984994,-1.1112140223938,0.00158773307118033,-0.00985756310254377,0.000620657211695961,-1.09597793277092,0.00661177696335485,-0.0102827472902795,0.00241966612550484,-1.09900298050815,0.00262810605834068,-0.0112160990184105,0.00104285782635365
"11422-30",387,-1.1,-0.01,-0.7,0.8,0.1,0.32495542425433,-1.10087638772025,0.00193756184678381,-0.00941968811864364,0.000554202500072147,-1.1108912679846,0.00159738664010058,-0.00902882190327193,0.000547401158920631,-1.10543001450934,0.00585039758101507,-0.00858780040125231,0.0015534141482288,-1.10322676742857,0.00248988591204923,-0.00891015656066999,0.000901521767490906
