"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11426-1",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.340532895717572,-0.00963497793214533,0.00050405213062532,-0.00928610492613777,0.000491231406035478,-0.0113492660762707,0.00189604636451084,-0.00920931726846166,0.000567576141736385
"11426-2",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34151445622312,-0.00990132891808935,0.000579243782785569,-0.00947261714776925,0.000568509345405927,-0.0126492820055182,0.00188535670772247,-0.0104575819422627,0.000803887629503812
"11426-3",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341529043582614,-0.0108705343481146,0.00072165955319162,-0.0102464150795038,0.000697090344458791,-0.0109082227586564,0.00231985939595875,-0.0113359770736325,0.00126959619564947
"11426-4",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341437395816002,-0.00926458550953925,0.000567950560668345,-0.00876297653487645,0.000552982657877592,-0.0101684215392455,0.00141020681068634,-0.00883080091920919,0.000814540774367973
"11426-5",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34155363466975,-0.0107001168191891,0.000676984331845951,-0.00993420429615038,0.000642045708662912,-0.0113493683999182,0.00167593180529458,-0.0102405657040923,0.00115250046538733
"11426-6",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342491378571507,-0.0105179764093346,0.000651078855160703,-0.0101113616240968,0.000639825353847556,-0.00997365919030251,0.00156566668667029,-0.0104235063290625,0.000977769756089644
"11426-7",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.340500104673181,-0.00937446763545374,0.00057094281391278,-0.00904637625215589,0.000556898677094477,-0.0138635650718323,0.00229103034093103,-0.00970075502375853,0.00097164733638977
"11426-8",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341765986746585,-0.00977447716014678,0.000590646467011672,-0.009335309189521,0.00057200523533769,-0.0096678350849262,0.00238317511994088,-0.00965867249360116,0.00079506881340272
"11426-9",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341980068115432,-0.0101293458588353,0.000604028020873773,-0.00938283085857545,0.00056795450904325,-0.00877301803205687,0.00172096783252211,-0.00989055454099203,0.00088519276550306
"11426-10",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34080166495661,-0.0104227748135992,0.000552545724967257,-0.0101242886332796,0.000538645743746329,-0.0109415018433125,0.0015126244314348,-0.0103429122485218,0.000750572256849829
"11426-11",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342337030126898,-0.0102856913091434,0.000631043677198449,-0.00988517974889663,0.00060902214018524,-0.0105118102432443,0.00214168958605062,-0.0103013091623182,0.000914637958427424
"11426-12",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.3411072644682,-0.00992535955235846,0.000574064077448273,-0.00959314723582661,0.000564362974484476,-0.0126974813797857,0.00233183337685069,-0.0107156382489907,0.000809151549549573
"11426-13",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.340007119498749,-0.0103048608269281,0.000544150681259162,-0.00996200510269846,0.000531102032839745,-0.00895106718198661,0.00170966116469581,-0.0101134147370659,0.000966873919743249
"11426-14",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342133163350355,-0.0106015429851412,0.000653463425543969,-0.00982698404881746,0.000620977559554182,-0.0121060834506954,0.00234489508943299,-0.0114575363797879,0.001282184680731
"11426-15",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341091337180626,-0.00870130017796255,0.000582899381185503,-0.00827641577589446,0.000572572216170158,-0.0116387252571442,0.00151822871942397,-0.00843483008557518,0.000810753190521009
"11426-16",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342116147177169,-0.00994935328853224,0.00062212164585486,-0.00941082277436809,0.000599545220272091,-0.010359580613799,0.0018347268182483,-0.0103994377778587,0.000841905569748386
"11426-17",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341753333785104,-0.00925849197711569,0.000660981804320589,-0.00882215430325958,0.000650121927858624,-0.0116609136046733,0.00229536550152087,-0.00944584837078321,0.00101623505323519
"11426-18",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341405896941037,-0.0105791511055224,0.000614840842920455,-0.0102724831701149,0.000612714399628082,-0.0109502401073113,0.00171625128654955,-0.0100458610650065,0.000938296541214675
"11426-19",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341699411778432,-0.0113085651893001,0.000660523715028901,-0.010572893893414,0.000642784956229534,-0.0114486133089035,0.0017978812021414,-0.0108530879859803,0.00105045702794921
"11426-20",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342170425523819,-0.0100302375610068,0.000599667230436369,-0.0096604810534598,0.000589497129283397,-0.0120728431473036,0.00195448853932012,-0.00942111260281781,0.00101500175995434
"11426-21",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341036351111435,-0.00889607799375396,0.000590237857856667,-0.00851995468595378,0.000574746448547726,-0.00680050174050204,0.00177492220122543,-0.00956901920232401,0.000780587778544145
"11426-22",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341070534936517,-0.00986579973272302,0.000586440230111843,-0.00961731075744291,0.000572128927428235,-0.011342042297357,0.00280212285015531,-0.00970517978266389,0.000764228021437233
"11426-23",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342140985709608,-0.00997956700374658,0.000610971094793224,-0.00934859265992682,0.000592781447996216,-0.0109510085678298,0.00149630656253524,-0.00965793641843104,0.000903136542718815
"11426-24",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341102237097398,-0.00969457870950233,0.000576218945206308,-0.00937067545956274,0.000557309760186078,-0.00699509827004037,0.00168046294029929,-0.00946757896065722,0.00109756874020429
"11426-25",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.3416445785012,-0.0106777050274691,0.000585044389836251,-0.0100994647606038,0.00056597618852385,-0.0139140857801173,0.00217727089940735,-0.0112688007430838,0.0011311175134035
"11426-26",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34048313763044,-0.0101455068976027,0.000613153877163907,-0.00976520580314035,0.00059631740700552,-0.00951377276107956,0.00189370694102681,-0.00966593909651495,0.000811162237376351
"11426-27",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341901870950503,-0.0105722832334918,0.000632478818202183,-0.0101542503258608,0.000620552310141554,-0.0121308987953866,0.00244140091216706,-0.0114418972720101,0.00103610949484502
"11426-28",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341990518794452,-0.00943263390284808,0.000573072901348134,-0.00921722580568904,0.000566756669108492,-0.00950573167988892,0.00165887721338238,-0.00941943409230752,0.00100071718535855
"11426-29",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.340320031255303,-0.00999393030901582,0.000638310787340403,-0.00936631866167112,0.000615603344278051,-0.0120038750043873,0.00277324231195384,-0.0095956854542937,0.000882513787153635
"11426-30",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341475096991475,-0.0100275911947487,0.000665770922085201,-0.00937712588537632,0.00064152565949962,-0.0114358898192166,0.00199266850690616,-0.00934577027680842,0.000876350913031652
"11426-31",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341432696295064,-0.00984397179526201,0.000623591346317432,-0.00957289650804993,0.000627825391780109,-0.00914962619329303,0.0016464331075239,-0.00909431353974577,0.000893117087566339
"11426-32",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.3416843407644,-0.00945934589850662,0.000577448995833145,-0.00915002310753621,0.000566551593981948,-0.00813520094673104,0.0024253159914647,-0.0101369161255819,0.000824452008072913
"11426-33",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34082976810576,-0.0103775513019412,0.000590118447225601,-0.0100789202359768,0.000579310483866506,-0.00884164647362602,0.00291318304147035,-0.010212668288785,0.000881924330307629
"11426-34",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341214096579729,-0.0107444735461249,0.000577180809288804,-0.0104325096486352,0.000567288783389181,-0.0121174593919859,0.00239703421813386,-0.0111454035800072,0.000877644196480035
"11426-35",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.342029826584957,-0.0103069454743251,0.000609561377858882,-0.0102671813722916,0.000603576271191256,-0.010838323103878,0.00150757808228181,-0.00998686509900236,0.000778403389006325
"11426-36",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.34277417840571,-0.0103546135522386,0.000595713860919028,-0.010033626918478,0.000594048355610863,-0.00799844654010903,0.00216744599476794,-0.0104448124411395,0.000981833769358493
"11426-37",340,-1.04982212449868,-0.0100503358535015,-0.7,0.6,0.1,0.341208936896289,-0.00902092206313549,0.000617008839031601,-0.00879887180955738,0.000606369511965182,-0.00812410332395882,0.00169835523103447,-0.00861491623106145,0.00102997967804473
