"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-11",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10711675210899,-0.010489962263943,0.00119071108512337,-0.0099831428915446,0.00117166224734025,-0.0126289225105125,0.0026589974637588,-0.00981157466015167,0.00153691789879561
"11428-12",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10705126112217,-0.0114523728291824,0.000921672103466736,-0.0110577869325428,0.000893588593935188,-0.0141799589599704,0.00407831196440173,-0.011825882231193,0.00134806264537483
"11428-13",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107573674221949,-0.00808643187103402,0.00100810721339221,-0.00790626816924243,0.000996475627453466,-0.0144818691775948,0.00285005840794468,-0.00861073892940394,0.00124937496360471
"11428-14",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107524523976411,-0.0105849168852694,0.00106267728727749,-0.00994004353331768,0.00103616909907604,-0.0109275437573751,0.00233579529411714,-0.00985447341969671,0.00147486193827116
"11428-15",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106860799624694,-0.010085498416211,0.00112433319313284,-0.00955151637943998,0.00109123082357301,-0.00421944979884929,0.00315064420067323,-0.00912892494085684,0.00115703407021776
"11428-16",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107486885924464,-0.0111320621916785,0.00111014908594597,-0.010788025755889,0.00111172766189608,-0.0140789131494893,0.00267350163476793,-0.0120723468517938,0.00176972221954837
"11428-17",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106822543684662,-0.00913840466743505,0.0010796701022485,-0.00869414174635127,0.00105443459189972,-0.00870178875318246,0.00284661782734273,-0.00920082092016071,0.00156287047228114
"11428-18",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10721815569254,-0.00985236757099994,0.00119190686888779,-0.00932773995355723,0.00115707557506171,-0.00866552655641479,0.003486350013677,-0.00971735470886836,0.00195056019505225
"11428-19",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107571556383502,-0.00839299118112836,0.000990758479827834,-0.00810233818208142,0.000984116696485227,-0.0106922021286449,0.00351451703249242,-0.00855319312429686,0.00122578354733297
"11428-20",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107130378316851,-0.00950539460872302,0.00108012399984321,-0.00937786233904508,0.00107654052840698,-0.00964506295500349,0.00344415446790235,-0.00847767576041255,0.00146828369124815
"11428-21",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107606222326631,-0.00964907375488012,0.00111733766672927,-0.00925570859757213,0.00109445856736748,-0.00712444717606505,0.0037416221254147,-0.00858246208200602,0.00141750670027504
"11428-22",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106888699651249,-0.0101623035240541,0.000967476808525596,-0.00956214512971741,0.000934380623476017,-0.00652495987951598,0.00264275107606856,-0.0100629080317022,0.0012038064363898
"11428-23",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106806491356881,-0.00949341843370139,0.00104630890823098,-0.00890017062798534,0.00101477081538707,-0.0107521843731006,0.00257441060292586,-0.00918724184130841,0.00137562763674806
"11428-24",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107712635493422,-0.0117265143384743,0.00115682249197973,-0.0110253732378614,0.00113237571809956,-0.00845504870855673,0.00382395388263505,-0.0119027786434638,0.0017380769604869
"11428-25",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107157611563348,-0.0101049722813314,0.00103092740690053,-0.00953166088505073,0.00101251131650253,-0.00270951323659563,0.00413725405133708,-0.0101559827680633,0.00133338348731408
"11428-26",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10767405381011,-0.0100288660026871,0.000942261375360478,-0.00971707361287694,0.000931091789687787,-0.0119922818761002,0.00348020718421652,-0.0109982344988667,0.00159802063329606
"11428-27",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106863405047922,-0.00871329732414839,0.00103764786924125,-0.00789228860500065,0.00100278104773721,-0.00874228176998746,0.00351709850831621,-0.00793306360641374,0.00131219386157528
"11428-28",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107055147256312,-0.00917240871705408,0.000972130289441792,-0.00910643943293778,0.000964843026059721,-0.0102571656544323,0.0025489676559922,-0.00923246875907382,0.00145604847050801
"11428-29",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107414599052221,-0.010116170736592,0.00104413541616275,-0.00992684750565693,0.00102490800883755,-0.0118976336137698,0.0035288123709363,-0.0103659612044475,0.00128014674345057
"11428-30",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107129077339054,-0.0112504701015202,0.00112055057340333,-0.0105332662356293,0.00109006767602356,-0.0156347417721877,0.00433070672115109,-0.0135022382830754,0.0016421747449188
"11428-31",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106687659861892,-0.0101286418478413,0.00085252903799184,-0.00967985883563715,0.000839932258434861,-0.0139345093136548,0.0041583922762302,-0.0111446587062,0.00110501154628817
