"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.112754119932166,-2.20752122679578,0.00331998816009136,0.0106668101695549,0.000979457976340513,-2.20066949686634,0.00311967145394075,0.0241779215641816,0.00266998486454031,-2.22127303077003,0.0103667504090999,0.0108136714703446,0.00279858946398107,-2.2101343578562,0.00772522721873318,0.010246291491077,0.00249153041096122
"11422-2",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113518373754444,-2.19858906125066,0.0032833442346128,0.00915201794249664,0.000907839117931711,-2.19009908431352,0.00299410345729381,0.0183959490231339,0.00235185055591475,-2.1856333918441,0.0100336808846585,0.00838234622505614,0.00241629722636863,-2.19974748684458,0.0056689864040176,0.0108754355620659,0.00222564910355344
"11422-3",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113636582830199,-2.20021947800636,0.00325655897151282,0.0104907145684142,0.000912457613187491,-2.19471487280571,0.00309587161428897,0.0271619386754007,0.00269254316008098,-2.19557093687084,0.0102538075061274,0.00770156354122716,0.00234059613261416,-2.19502148123772,0.00882087088944145,0.00841723939195965,0.00333039009981112
"11422-4",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113865178313405,-2.19810209796725,0.00353150035751228,0.00983455489901345,0.00100824522799588,-2.19020995555925,0.00333563455995791,0.0230082680649844,0.00307559566588962,-2.19415512183687,0.0118079387732456,0.00749812544696535,0.00394534681230476,-2.19118802007881,0.00570687157426594,0.00828961157420511,0.00221094780113032
"11422-5",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113911522798077,-2.19729341430565,0.0033310030011546,0.00973846524763568,0.000908589725627937,-2.19008786042731,0.00304387448081497,0.0224362228775139,0.00240845033835089,-2.19076210783214,0.0102593400176061,0.00931929862233984,0.00248462725210226,-2.19372217898748,0.00439180706566506,0.00879160374471357,0.00142493309335201
"11422-6",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113547264157515,-2.20145988392798,0.00329395625771933,0.0104451150125057,0.000912981968041653,-2.19591133197386,0.00313831744054335,0.0274780242084896,0.00275173308709736,-2.20343312073615,0.0101476911509444,0.00986286809437311,0.00203363926316356,-2.19853595123011,0.00868784952096294,0.00812697003032819,0.00272235103295923
"11422-7",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113239915771214,-2.20158194690058,0.00337085705682174,0.00925710058352244,0.000943732407771394,-2.19327406770127,0.00296142675030989,0.0189258862948127,0.00222274848969749,-2.19710289450287,0.011495861036091,0.00778389719510384,0.00367954729032154,-2.20253214409139,0.00559541681652523,0.00909645074960378,0.00156875810941407
"11422-8",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113428722799054,-2.20714850056883,0.00333964184468031,0.0114043573149436,0.000868795741416809,-2.19452286872374,0.00294316627508049,0.0204598176168717,0.00197545211784124,-2.20323014298241,0.0119438759166078,0.00939245186271433,0.00341746592276977,-2.20440660734797,0.00573064247517078,0.0111521706495354,0.00208089236577761
"11422-9",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.114227971123665,-2.19633779754129,0.00337937810789408,0.0100866176141192,0.000903257802338345,-2.1888593891868,0.00319285658773702,0.0247628090226557,0.00274141226532073,-2.22169679196125,0.0113712552013041,0.0177234846794786,0.00386248332748291,-2.19678826779473,0.0059934774513007,0.0106670952123635,0.00198247925710986
"11422-10",387,-2.2,0.00995033085316809,0.3,0.15,0.1,0.113470528335722,-2.20192180452857,0.00337571542624103,0.00974502669534298,0.000902148114816808,-2.19417447647005,0.00301983686420433,0.0210554342456427,0.00217287224773567,-2.19678216963571,0.00971029184276651,0.00992156529213491,0.00232367948596583,-2.19769902502545,0.00556539319109378,0.00850796137170573,0.00167992401760783
