"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"204",37,25,41303,6994,35.394571,-80.743891
"205",37,25,41501,9568,35.307721,-80.638326
"206",37,25,41502,6062,35.278568,-80.628774
"207",37,25,41503,2986,35.335171,-80.58713
"208",37,25,41601,6950,35.259798,-80.525198
"209",37,25,41602,3172,35.345212,-80.469067
"210",37,25,41701,4289,35.396377,-80.422798
"211",37,25,41702,3270,35.447361,-80.42053
"212",37,25,41901,2052,35.409742,-80.605175
"213",37,25,41902,4057,35.413755,-80.593332
"214",37,25,42000,4663,35.379002,-80.608902
"215",37,25,42101,3264,35.397737,-80.58165
"216",37,25,42102,3477,35.373714,-80.589083
"217",37,25,42200,6263,35.393823,-80.563546
"218",37,25,42300,4839,35.420393,-80.581504
"219",37,25,42401,3349,35.439489,-80.592456
"220",37,25,42402,4945,35.434378,-80.621576
"221",37,25,42501,4365,35.422773,-80.649324
"222",37,25,42502,2379,35.404891,-80.6221
"223",37,25,42503,3714,35.405685,-80.648696
"224",37,25,42504,1575,35.392434,-80.650748
"225",37,25,42601,5282,35.389311,-80.676536
"226",37,25,42602,3796,35.371866,-80.684729
"227",37,25,42603,7031,35.355654,-80.643763
"228",37,25,42604,5026,35.330656,-80.651745
"229",37,27,30100,5479,35.915532,-81.541259
"230",37,27,30200,5634,35.915444,-81.576019
"231",37,27,30300,4204,35.877465,-81.555073
"232",37,27,30400,4636,35.869344,-81.519872
"233",37,27,30500,4666,35.925215,-81.51196
"234",37,27,30600,4303,35.856335,-81.479571
"235",37,27,30700,7056,35.831233,-81.50676
"236",37,27,30800,8169,35.830164,-81.570009
"237",37,27,30900,4971,35.898465,-81.641659
"238",37,27,31000,3042,36.032429,-81.579521
"239",37,27,31100,4318,35.983463,-81.482629
"240",37,27,31201,4672,35.916663,-81.40226
"241",37,27,31202,4587,35.860763,-81.443592
"242",37,27,31300,8094,35.808466,-81.377206
"243",37,27,31401,3193,35.801823,-81.485216
"244",37,27,31402,3580,35.789141,-81.42934
"245",37,27,31403,2425,35.816561,-81.452636
"246",37,29,950101,5324,36.426012,-76.271833
"247",37,29,950102,4656,36.290241,-76.100358
"248",37,31,970101,1216,34.882101,-76.365451
"249",37,31,970102,2608,34.856629,-76.516723
"250",37,31,970103,3046,34.747085,-76.54455
"251",37,31,970200,1207,34.697302,-76.558209
"252",37,31,970301,4623,34.772444,-76.652031
"253",37,31,970302,1092,34.728989,-76.656575
"254",37,31,970303,688,34.718111,-76.664171
"255",37,31,970304,2241,34.719533,-76.641309
"256",37,31,970401,1520,34.728833,-76.752915
"257",37,31,970402,1582,34.725184,-76.726576
"258",37,31,970403,1191,34.722588,-76.739036
"259",37,31,970501,2436,34.748184,-76.807906
"260",37,31,970502,1935,34.74459,-76.745751
"261",37,31,970503,2218,34.734551,-76.747497
"262",37,31,970504,1771,34.741543,-76.723188
"263",37,31,970601,1306,34.723512,-76.925601
"264",37,31,970602,1025,34.730411,-76.866775
"265",37,31,970603,1640,34.740285,-76.863401
"266",37,31,970604,2095,34.734303,-76.828005
"267",37,31,970605,1247,34.72984,-76.792608
"268",37,31,970701,1409,34.738013,-76.912327
"269",37,31,970702,3529,34.793198,-76.902431
"270",37,31,970703,5452,34.793809,-76.863888
"271",37,31,970704,2379,34.806559,-76.764879
"272",37,31,970801,2363,34.74997,-77.10628
"273",37,31,970802,1626,34.68813,-77.081124
"274",37,31,970803,1471,34.693867,-77.057459
"275",37,31,970804,3052,34.708885,-77.004242
"276",37,31,970805,1634,34.752446,-77.013516
"277",37,31,970901,1156,34.655722,-77.074449
"278",37,31,970902,1282,34.665192,-77.043104
"279",37,31,970903,1217,34.671726,-76.990412
"280",37,31,971001,356,34.688382,-76.884977
"281",37,31,971002,1339,34.698594,-76.812852
"282",37,31,971101,962,34.701542,-76.75196
"283",37,31,971102,555,34.698953,-76.71777
"284",37,31,980100,0,34.800752,-76.375177
"285",37,31,990100,0,34.665197,-76.839538
"286",37,31,990200,0,35.098239,-76.257212
"287",37,33,930100,2436,36.507614,-79.204732
"288",37,33,930200,5838,36.422872,-79.342611
"289",37,33,930300,4165,36.509447,-79.438232
"290",37,33,930400,2643,36.411126,-79.464248
"291",37,33,930500,3847,36.292253,-79.467072
"292",37,33,930600,4790,36.315532,-79.25816
"293",37,35,10101,6112,35.763072,-81.14501
"294",37,35,10102,4057,35.714856,-81.188172
"295",37,35,10201,4815,35.781799,-81.201981
"296",37,35,10202,8365,35.736695,-81.228647
"297",37,35,10301,4821,35.78535,-81.260185
"298",37,35,10302,5467,35.778952,-81.302557
"299",37,35,10303,4027,35.754071,-81.269481
