"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37009970700,"Ashe",5926,558,1855
37009970800,"Ashe",4948,579,1688
37011930100,"Avery",3100,317,1005
37011930200,"Avery",2723,316,842
37011930301,"Avery",3515,440,1210
37011930302,"Avery",3130,382,1096
37011930400,"Avery",5329,517,1839
37013930100,"Beaufort",5351,782,2018
37013930200,"Beaufort",6185,743,2283
37013930300,"Beaufort",4071,697,1780
37013930400,"Beaufort",5189,836,2003
37013930501,"Beaufort",4845,655,1813
37013930502,"Beaufort",3469,396,1215
37013930600,"Beaufort",3224,307,990
37013930700,"Beaufort",3023,387,1022
37013930800,"Beaufort",2447,416,1011
37013930900,"Beaufort",3904,574,1383
37013931000,"Beaufort",6051,739,2282
37015960100,"Bertie",5677,852,2254
37015960200,"Bertie",3953,676,1744
37015960300,"Bertie",3667,723,1709
37015960400,"Bertie",7985,1310,3394
37017950100,"Bladen",5693,843,2278
37017950200,"Bladen",3366,485,1384
37017950300,"Bladen",6719,961,2722
37017950400,"Bladen",6252,970,2545
37017950500,"Bladen",6707,792,2442
37017950600,"Bladen",6453,1130,2827
37019020101,"Brunswick",2706,374,1099
37019020102,"Brunswick",2839,219,906
37019020103,"Brunswick",7052,741,2208
37019020104,"Brunswick",5305,658,1969
37019020201,"Brunswick",3300,248,1037
37019020202,"Brunswick",5719,544,1710
37019020203,"Brunswick",2517,277,866
37019020204,"Brunswick",5391,577,1726
37019020303,"Brunswick",2712,339,849
37019020304,"Brunswick",4846,592,1367
37019020305,"Brunswick",2774,320,855
37019020306,"Brunswick",2352,278,685
37019020307,"Brunswick",158,21,44
37019020308,"Brunswick",1648,177,478
37019020309,"Brunswick",2734,274,796
37019020310,"Brunswick",2149,245,626
37019020402,"Brunswick",2359,281,715
37019020403,"Brunswick",4571,622,1619
37019020404,"Brunswick",3092,359,1018
37019020405,"Brunswick",2949,375,935
37019020504,"Brunswick",1443,195,428
37019020505,"Brunswick",4185,574,1591
37019020506,"Brunswick",4175,506,1357
37019020507,"Brunswick",6043,792,1753
37019020508,"Brunswick",2252,293,663
37019020509,"Brunswick",4402,568,1321
37019020510,"Brunswick",2160,275,685
37019020511,"Brunswick",2502,296,771
37019020512,"Brunswick",655,76,184
37019020601,"Brunswick",4785,556,1623
37019020602,"Brunswick",5147,587,1802
37019020603,"Brunswick",2509,329,946
37021000100,"Buncombe",1398,175,484
37021000200,"Buncombe",1797,144,585
37021000300,"Buncombe",2159,167,646
37021000400,"Buncombe",3775,208,963
37021000500,"Buncombe",3615,272,908
37021000600,"Buncombe",2127,162,636
37021000700,"Buncombe",1139,124,383
37021000800,"Buncombe",3530,301,978
37021000900,"Buncombe",3291,576,1389
37021001000,"Buncombe",3977,287,1221
37021001100,"Buncombe",4398,313,1197
37021001200,"Buncombe",4592,313,1231
37021001300,"Buncombe",3955,392,1314
37021001400,"Buncombe",7191,734,2409
37021001500,"Buncombe",2158,201,667
37021001600,"Buncombe",6019,566,1674
37021001700,"Buncombe",2423,255,662
37021001801,"Buncombe",3187,332,925
37021001802,"Buncombe",4458,411,1218
37021001900,"Buncombe",3054,343,923
37021002000,"Buncombe",6032,628,1991
37021002101,"Buncombe",1375,123,336
37021002102,"Buncombe",5084,590,1749
37021002203,"Buncombe",4739,460,1564
37021002204,"Buncombe",7926,595,1966
37021002205,"Buncombe",6412,565,1841
37021002206,"Buncombe",4734,445,1198
37021002301,"Buncombe",5301,419,1421
37021002302,"Buncombe",7558,650,2132
37021002401,"Buncombe",3480,390,1187
37021002402,"Buncombe",4666,425,1424
37021002503,"Buncombe",3954,392,1230
37021002504,"Buncombe",4536,445,1443
37021002505,"Buncombe",4658,415,1281
37021002506,"Buncombe",3741,461,1362
37021002603,"Buncombe",3497,455,1252
37021002604,"Buncombe",5889,560,1785
37021002605,"Buncombe",5531,498,1704
37021002606,"Buncombe",3805,389,1203
37021002607,"Buncombe",4155,416,1309
37021002701,"Buncombe",3491,308,1027
37021002702,"Buncombe",4079,392,1126
37021002703,"Buncombe",5477,543,1583
37021002803,"Buncombe",4044,441,1371
37021002804,"Buncombe",4998,440,1480
37021002900,"Buncombe",3551,377,1137
37021003001,"Buncombe",8609,810,2471
