"GEOID","CountyName","Xstar","X_full","Xstar_time","Xstar_q20","X_time","O_POP","Y_BPHIGH","Y_CHD","Y_DIABETES","Y_OBESITY","POP_DENS","RUCA","METRO","INCOME","PERC_SNAP","PERC_CAR","PERC_INSURED","X_partial"
37001021201,"A",0.363725724536835,0.475371,0,26.724593149764,15.2799999999988,5252,2164,415,767,2170,387.4,"Metropolitan",TRUE,37243,0.185093780848963,0.796272765777213,0.793719443399774,NA
37001021204,"A",1.71333841295812,2.3507562,0,28.2686274816519,15.1539999999804,4280,1537,283,463,1528,333.6,"Metropolitan",TRUE,63255,0.123853211009174,0.903333333333333,0.869384934346925,NA
37001021205,"A",0.416226158270902,0.5735522,0,29.3851445535463,15.1289999999863,4636,1521,251,432,1595,1031.9,"Metropolitan",TRUE,63778,0.059002169197397,0.87316715542522,0.924112368318377,NA
37001021206,"A",0.806884665474131,1.0731578,0.00099999998928979,28.6731752150607,14.5810000000056,4320,1331,204,376,1508,862,"Metropolitan",TRUE,61310,0.111054508405502,0.811692969870875,0.90340488527017,NA
37001021207,"A",0.75287117029876,1.109199,0,29.7227623835886,14.9510000000009,3086,1118,213,343,1130,675.6,"Metropolitan",TRUE,73125,0.144837144837145,0.890251021599533,0.9262492474413,NA
37001021300,"A",5.07135387229347,5.96544,0,29.991850271512,15.0299999999988,6057,2429,418,782,2326,115.5,"Metropolitan",TRUE,58929,0.151579846285226,0.819268110530247,0.864685908319185,NA
37001021400,"A",3.98681417484088,4.9419942,0.00100000001839362,26.2906074286948,14.9280000000144,2650,989,197,289,917,104.5,"Metropolitan",TRUE,57586,0.113392857142857,0.908091908091908,0.847022187621643,NA
37001021500,"A",5.51426530273748,6.7477826,0.00099999998928979,23.6067203013835,14.8410000000149,4681,1686,319,497,1634,131.6,"Metropolitan",TRUE,71711,0.108333333333333,0.885499207606973,0.866251298026999,NA
37001021600,"A",1.35404529451369,1.388829,0,21.3252052974749,13.3269999999902,6934,1762,326,486,2032,538.6,"Metropolitan",TRUE,55914,0.127353815659068,0.841094916459296,0.864431879375337,NA
37001021701,"A",1.08400061336694,1.2191868,0,20.1188677287563,14.4769999999844,3237,1188,247,298,874,1979.2,"Metropolitan",TRUE,102955,0.0124223602484472,0.861694424330195,0.976012965964344,NA
37001021702,"A",0.584686725284897,0.655577,0.00100000001839362,21.2490201601224,14.8910000000033,5282,1506,286,444,1596,2491.2,"Metropolitan",TRUE,93302,0.0169971671388102,0.758424299952539,0.970421155729677,NA
37001021703,"A",0.329566096316264,0.9159436,0,21.5342795232299,14.4569999999949,4866,1494,258,404,1504,543.4,"Metropolitan",TRUE,75956,0.102799650043745,0.743332044839582,0.876832320343225,NA
37001021801,"A",4.9490820448733,5.8492382,0,22.6761022581571,15.4979999999923,4441,1568,302,445,1479,141.8,"Metropolitan",TRUE,63173,0.120891364902507,0.85597302504817,0.9140625,5.8492382
37001021802,"A",7.53235281108208,8.9680448,0,23.6341235463783,14.4830000000075,3553,1159,214,327,1237,126.8,"Metropolitan",TRUE,39878,0.164035689773507,0.835955056179775,0.839883165161976,NA
37001021803,"A",4.86366572918424,5.3496326,0,23.6387846328402,15.814000000013,2879,1025,205,303,1020,78.7,"Metropolitan",TRUE,49569,0.130546075085324,0.88787023977433,0.870218579234973,NA
37001021901,"A",4.38690767544098,4.9767926,0,25.6218147343594,14.7359999999753,4535,1556,291,445,1538,211.9,"Metropolitan",TRUE,52361,0.139016018306636,0.918890633176347,0.879077353215284,NA
37001021902,"A",10.0659043545091,13.2861534,0,29.1577076046517,15.2669999999925,4423,1429,248,403,1500,93.9,"Metropolitan",TRUE,73199,0.0745486313337216,0.739972337482711,0.863480448204894,NA
37001022001,"A",4.73750142678454,6.2164856,0,28.0602729673488,15.0370000000112,3319,1132,210,329,1132,292.3,"Metropolitan",TRUE,67212,0.0858550316678395,0.803500846979108,0.855371900826446,NA
37001022002,"A",5.16028618915719,6.8844906,0,30.4582722060179,15.3159999999916,4276,1540,283,492,1647,201.3,"Metropolitan",TRUE,60000,0.0659154929577465,0.838834951456311,0.853708323882967,NA
37033930100,"B",10.7972695551627,13.1314248,0.00099999998928979,45.2490807699967,25.9210000000021,2436,1070,191,383,980,45.3,"Micropolitan",FALSE,49129,0.241343126967471,0.8014440433213,0.805388017691998,NA
37033930200,"B",0.61402040571339,0.9712482,0,37.5002178950817,15.7490000000107,5838,2493,468,870,2353,64,"Rural",FALSE,41250,0.259166248116524,0.808104886769964,0.861295357003512,0.9712482
37033930300,"B",8.12753595023783,11.825242,0,38.3429584975691,15.1760000000068,4165,1687,359,579,1558,92.3,"Micropolitan",FALSE,48942,0.212790697674419,0.840934371523915,0.863423760523854,NA
37033930400,"B",6.44290033665541,8.5572994,0,32.3599827285017,16.6520000000019,2643,1031,188,336,973,54.5,"Metropolitan",TRUE,49500,0.196300102774923,0.902519167579409,0.83585313174946,8.5572994
37033930500,"B",5.01708667504635,6.099041,0,27.3538158642253,14.9130000000005,3847,1459,266,474,1401,63,"Metropolitan",TRUE,50619,0.137957317073171,0.794952681388013,0.884555865057258,6.099041
37033930600,"B",8.51839106650543,11.4859576,0,35.4962243564798,14.6350000000093,4790,1864,350,604,1711,38.2,"Metropolitan",TRUE,57292,0.169658367110596,0.650943396226415,0.882793017456359,11.4859576
37057060101,"C",1.21670392481157,2.0618052,0,11.7830511518596,19.3059999999823,5633,1572,243,412,1769,1285.6,"Metropolitan",TRUE,60280,0.08582995951417,0.885582010582011,0.906703053044516,NA
37057060102,"C",2.90419473482952,3.709758,0,11.0040828870751,13.4220000000205,7213,2352,426,614,2208,279.3,"Metropolitan",TRUE,73566,0.054359722728931,0.916785004260153,0.944290506052209,3.709758
37057060201,"C",4.2414733910103,5.3744886,0.00099999998928979,11.1871663079507,12.8960000000079,4909,1812,344,531,1645,276.4,"Metropolitan",TRUE,64464,0.0801770782095425,0.863312368972746,0.863024867509172,NA
37057060202,"C",2.28500027414545,3.1268848,0,10.8028288653551,13.0290000000095,2424,893,187,279,871,637.9,"Metropolitan",TRUE,61129,0.0632244467860906,0.957826439578264,0.889437689969605,NA
37057060203,"C",3.22768110875492,4.2746106,0.00099999998928979,11.7909233407659,11.4000000000233,5528,1852,349,515,1764,374.9,"Metropolitan",TRUE,70347,0.170656028368794,0.870339685169843,0.893462059620596,NA
37057060301,"C",1.62412957554225,2.1699288,0.00100000001839362,12.4113933616151,11.6229999999923,4534,1556,282,427,1460,588.8,"Metropolitan",TRUE,76078,0.0686220254565578,0.897843942505133,0.935894714497983,NA
37057060302,"C",1.96295197735569,2.5023778,0,12.2110427308609,11.2140000000072,3620,1163,203,312,1141,597.4,"Metropolitan",TRUE,83672,0.0162429378531073,0.905671296296296,0.964415802745867,2.5023778
37057060303,"C",4.21577747596742,6.1972222,0.00099999998928979,14.6084658995296,11.7069999999949,4372,1469,276,403,1404,224.7,"Metropolitan",TRUE,72328,0.113924050632911,0.855377574370709,0.942446043165468,NA
37057060304,"C",2.69955034832092,3.8414948,0,13.9496123392691,10.9320000000007,3445,1165,221,331,1168,256.9,"Metropolitan",TRUE,76786,0.157456472369417,0.928571428571429,0.906666666666667,NA
37057060400,"C",1.5400933992388,2.2003774,0.00100000001839362,14.0565919228789,11.1240000000107,5533,1920,382,554,1815,294.4,"Metropolitan",TRUE,71304,0.0969555035128806,0.803683385579937,0.836138339189939,2.2003774
37057060500,"C",0.163813104692047,0.3150498,0,15.9842187066039,11.0529999999853,5499,2085,446,633,1898,189.2,"Metropolitan",TRUE,57700,0.118194509073988,0.915506035283194,0.925023786869648,NA
37057060601,"C",1.4106550370671,1.7187924,0,13.6912260680471,11.1959999999963,4342,1333,235,370,1459,638.6,"Metropolitan",TRUE,56944,0.144753476611884,0.893998063891578,0.898606115107914,NA
37057060602,"C",1.08963288432523,1.2782198,0,13.466892768175,11.2460000000137,2563,877,172,244,805,495.8,"Metropolitan",TRUE,61319,0.14622641509434,0.909520062942565,0.874258160237389,NA
37057060700,"C",0.0594202252803854,0.0594202252803854,0,15.1479225083581,11.2179999999935,4915,1908,354,644,1903,1915.6,"Metropolitan",TRUE,36763,0.310886075949367,0.758620689655172,0.793551003853174,NA
37057060800,"C",0.918909418391705,1.5155946,0,15.8686262202105,10.8299999999872,4538,1965,391,718,1852,1755.7,"Metropolitan",TRUE,27077,0.374930050363738,0.825964912280702,0.831568579167693,1.5155946
37057060900,"C",1.2223312678154,1.5851914,0,16.4666076025235,11.4279999999853,5471,1883,362,580,1954,1281.7,"Metropolitan",TRUE,33940,0.209729233593391,0.802736098852604,0.799295774647887,NA
37057061000,"C",0.603011365033934,0.9426638,0.00100000001839362,15.5668384473234,11.1480000000156,5158,1899,377,609,1868,1644.5,"Metropolitan",TRUE,41759,0.194254445964432,0.879646017699115,0.826831935836675,NA
37057061100,"C",0.423030760829321,0.4921488,0,17.3415305515524,11.5190000000002,6744,2550,554,763,2273,552.7,"Metropolitan",TRUE,50521,0.137787056367432,0.832780358327804,0.88984051978736,NA
37057061201,"C",0.492452410562627,0.540618,0,16.5110691920473,11.3769999999786,5844,2373,526,813,2104,667.7,"Metropolitan",TRUE,40421,0.307313064913722,0.795750216825672,0.761736571008094,NA
37057061202,"C",2.10439077460547,2.8826746,0.00099999998928979,16.4970980970592,11.3769999999786,2857,1069,223,315,960,330.2,"Metropolitan",TRUE,55064,0.103501945525292,0.726666666666667,0.871050111714012,NA
37057061300,"C",0.396037871138071,0.5182476,0,17.1757156790016,11.8379999999888,2176,819,166,257,769,1992.8,"Metropolitan",TRUE,37273,0.268015170670038,0.862464183381089,0.821041214750542,NA
37057061400,"C",0.0675246401328899,0.1162018,0.00099999998928979,17.4425224654791,11.1469999999972,3398,1441,289,541,1499,1511.5,"Metropolitan",TRUE,26780,0.586206896551724,0.597080291970803,0.735089645078668,NA
37057061500,"C",0.585765299231515,1.0172318,0,18.4469385471542,11.5740000000224,6214,2803,578,1032,2542,1109.9,"Metropolitan",TRUE,36250,0.365455287872601,0.740444951511694,0.774463007159905,NA
37057061600,"C",0.663125945207435,1.621854,0.00100000001839362,17.9855042575504,11.4799999999814,2926,1139,238,396,1156,907.7,"Metropolitan",TRUE,28250,0.265170407315046,0.933830382106244,0.822328114363513,NA
37057061701,"C",2.91185302603918,4.7089692,0.00099999998928979,19.0599714974938,11.8980000000156,4857,1662,331,467,1560,361,"Metropolitan",TRUE,60591,0.166501976284585,0.859315589353612,0.835642081617372,NA
37057061702,"C",1.21603339423086,1.5205658,0,19.2671793651859,11.4920000000275,6730,2504,525,788,2430,145.1,"Metropolitan",TRUE,52991,0.154591243703991,0.837090909090909,0.84947582537944,NA
37057061703,"C",1.8290933190317,2.4116534,0,21.009023362293,11.747000000003,4349,1505,296,453,1549,294.2,"Metropolitan",TRUE,59466,0.151028277634961,0.853496681980602,0.877123861117951,NA
37057061802,"C",3.18800559474424,6.652087,0.00099999998928979,21.4584539260102,11.1739999999991,6740,2279,445,641,2191,221.4,"Metropolitan",TRUE,61969,0.147706079820962,0.811962987442168,0.852107993084187,NA
37057061803,"C",1.4320969747411,2.3749908,0,20.9429870651233,11.3340000000026,3503,1244,228,368,1192,230.7,"Metropolitan",TRUE,50906,0.212860310421286,0.875434530706837,0.864393125671321,NA
37057061804,"C",1.84853993796745,2.336464,0,24.2357865169298,9.41000000000349,6536,2406,478,726,2268,227.4,"Metropolitan",TRUE,58675,0.1781098546042,0.873949579831933,0.907380134184258,NA
37057061901,"C",2.63999254065832,3.8750504,0,19.021525232341,9.43299999998999,6301,2187,442,631,2099,282.1,"Metropolitan",TRUE,56274,0.113616268788683,0.858015267175573,0.867386400257815,NA
37057061902,"C",1.8965126442011,2.6863122,0,20.7136274043687,15.098,5308,1996,436,611,1821,127,"Metropolitan",TRUE,49306,0.098718557190318,0.924074963959635,0.921663638199071,NA
37057062001,"C",3.19389139681457,5.0376898,0,25.5963135924172,11.5749999999998,4677,1675,337,487,1553,58.4,"Metropolitan",TRUE,50699,0.148488120950324,0.84987012987013,0.868049426301853,NA
37057062002,"C",0.565230928588468,0.7376018,0,25.3593926840942,11.5950000000012,4021,1593,366,499,1404,124.9,"Rural",FALSE,45271,0.158466453674121,0.90719696969697,0.891699604743083,NA
37059080100,"D",2.97769284980395,3.7638198,0,22.5831498788133,14.3619999999937,7745,2649,550,829,2642,88.4,"Metropolitan",TRUE,49008,0.131316603643864,0.778693025809995,0.772803247373448,3.7638198
37059080200,"D",2.82104462165154,3.6339472,0,15.9314077530147,11.9279999999853,5207,1724,344,506,1646,137.8,"Metropolitan",TRUE,65767,0.0514918190567854,0.768494342906876,0.914517040105442,NA
37059080300,"D",1.93673053669012,2.9963908,0,15.4037308453251,10.1500000000233,8657,3160,702,935,2606,321,"Metropolitan",TRUE,88607,0.0474828375286041,0.898109243697479,0.972292191435768,2.9963908
37059080400,"D",1.87990772431696,2.5937236,0.00100000001839362,17.2811810273106,11.0249999999942,5151,1633,315,469,1602,114.9,"Metropolitan",TRUE,72470,0.0652400835073069,0.846120313862249,0.924355777223608,2.5937236
37059080500,"D",1.64862542554122,2.0698834,0,19.5107561839298,11.7669999999925,4428,1471,288,470,1519,349,"Small town",FALSE,45658,0.144952058657642,0.780104712041885,0.84487594390507,2.0698834
37059080600,"D",0.698060372254877,1.7100928,0,20.0542052798045,13.0460000000003,3659,1373,308,436,1193,180.4,"Small town",FALSE,56552,0.179359430604982,0.711456859971711,0.881153510049519,NA
37059080700,"D",1.86985858527474,1.938768,0,21.1469507962204,11.5620000000054,6393,2296,486,761,2296,188.4,"Small town",FALSE,46769,0.172182468694097,0.820802005012531,0.798471160528145,NA
37067000100,"E",0.328458097870831,0.431873,0,8.93525194810983,11.6689999999944,2052,559,78,156,663,3697.6,"Metropolitan",TRUE,92778,0.137327188940092,0.689017341040462,0.848201438848921,NA
37067000200,"E",0.155139334864583,1.0520302,0,8.95938934997013,11.0840000000026,1103,465,83,175,471,1876.3,"Metropolitan",TRUE,NA,0.324543610547667,0.714285714285714,0.672955974842767,NA
37067000301,"E",0.410599597397303,0.4853134,0,9.10979692680887,10.9250000000175,1799,909,166,402,893,5200.6,"Metropolitan",TRUE,21029,0.52989449003517,0.70917225950783,0.777987718469532,NA
37067000302,"E",0.316407157117792,0.4809636,0.00100000001839362,9.20222557046463,10.8949999999895,1859,908,168,382,850,3990.1,"Metropolitan",TRUE,25694,0.267053701015965,0.541577825159915,0.803995006242197,NA
37067000400,"E",0.530922636510856,0.919672,0,9.52845748976509,11.0989999999874,3251,1496,264,631,1532,3886,"Metropolitan",TRUE,31438,0.439742410303588,0.737301587301587,0.74708686440678,NA
37067000500,"E",0.396979928878179,0.565474,0,8.94333108124959,10.8479999999981,2391,1155,204,498,1170,3796.1,"Metropolitan",TRUE,16250,0.495124593716143,0.694945848375451,0.800165152766309,NA
37067000600,"E",0.40247086865633,0.5573958,0.00099999998928979,9.00454088127943,10.8490000000165,2056,1076,206,484,1012,3980.2,"Metropolitan",TRUE,19375,0.544072948328267,0.55982905982906,0.797779922779923,NA
37067000700,"E",0.147840305829722,0.494013,0,9.13239564177751,10.9360000000161,1764,858,159,362,800,2495.9,"Metropolitan",TRUE,14375,0.51219512195122,0.463373083475298,0.781267217630854,NA
37067000801,"E",0.465647334752514,0.9613058,0.00100000001839362,9.12755425298445,10.9079999999958,3062,711,68,175,1179,3845.4,"Metropolitan",TRUE,NA,0.747474747474748,0.478102189781022,0.895537876167416,NA
37067000802,"E",0.0347685429931801,0.0347685429931801,0,8.94485133718488,10.7790000000095,2100,681,114,265,857,2602.8,"Metropolitan",TRUE,15573,0.477794793261868,0.561342592592593,0.797078562968812,NA
37067000900,"E",0.358090843759486,0.5946798,0.00100000001839362,8.74196099201265,11.6630000000005,3508,1130,225,397,1204,2961.9,"Metropolitan",TRUE,40227,0.188567674113009,0.694337194337194,0.762036524626453,NA
37067001000,"E",0.342768889811299,0.7562438,0,9.22490140385035,10.8890000000247,4652,1229,210,377,1526,4219.7,"Metropolitan",TRUE,31274,0.0946714950853595,0.760130414531905,0.742424242424242,NA
37067001100,"E",0.511747617074432,0.5803876,0.00100000001839362,9.20957282554704,10.9750000000058,2254,683,122,210,729,3632.1,"Metropolitan",TRUE,64940,0.0798580301685892,0.840038314176245,0.901260504201681,NA
37067001200,"E",0.691127300672619,0.9961042,0,9.358158868774,10.7360000000044,1959,692,151,185,484,1378.7,"Metropolitan",TRUE,131083,0.0196531791907514,0.872266973532796,0.958376156217883,NA
37067001300,"E",1.13681562646847,1.5665494,0.00099999998928979,10.0291729964094,10.9530000000086,4535,767,150,200,998,2784.8,"Metropolitan",TRUE,92500,0.0831265508684863,0.458567415730337,0.953464947622885,NA
37067001400,"E",0.378949141337767,0.4989842,0,10.2439821062105,11.2289999999921,3710,1492,264,590,1618,1291.7,"Metropolitan",TRUE,28289,0.324036095159967,0.711553175210406,0.69878446486807,NA
37067001500,"E",0.619003954890508,0.9147008,0,9.7005975928261,10.8710000000137,4095,1561,279,602,1733,1416.6,"Metropolitan",TRUE,29050,0.329277022190408,0.77326565143824,0.780888477556687,NA
37067001601,"E",0.868538952139525,1.9238544,0,9.30329816865609,10.9249999999884,3652,1739,285,658,1520,1542.5,"Metropolitan",TRUE,38516,0.267041461700632,0.836683417085427,0.830368023397514,NA
37067001602,"E",0.849492950777458,1.4285986,0.00099999998928979,8.55935336552014,10.9010000000126,3077,1441,247,588,1419,2072.9,"Metropolitan",TRUE,22188,0.54695652173913,0.780429594272076,0.805052005943536,NA
37067001700,"E",1.3944581754039,2.0997106,0,9.13305288912077,10.9840000000258,5231,2082,330,764,2140,1533.5,"Metropolitan",TRUE,41719,0.24964471814306,0.76668290306868,0.819786096256685,NA
37067001800,"E",0.670392778084774,0.953849,0,9.36498392202014,11.2550000000047,4207,1873,341,762,1839,2210,"Metropolitan",TRUE,22746,0.327513966480447,0.820634920634921,0.762074708541518,NA
37067001901,"E",0.202939335635714,0.3125642,0.00100000001839362,9.19122540903227,10.9719999999797,1549,622,126,265,698,2585.5,"Metropolitan",TRUE,26607,0.365656565656566,0.654991243432574,0.716867469879518,NA
37067001902,"E",0.487451557012538,0.581009,0,8.70796908981375,10.8260000000009,1917,645,127,221,693,2155.8,"Metropolitan",TRUE,47250,0.100282485875706,0.838196286472148,0.850443599493029,0.581009
37067002001,"E",0.607804641764906,0.7724002,0,9.29187350592303,10.9690000000119,2367,1016,211,415,1042,2173.9,"Metropolitan",TRUE,33750,0.264254385964912,0.838939857288481,0.76860512403416,NA
37067002002,"E",0.419412371955,1.0153676,0,9.51008088606395,10.9569999999949,3072,1171,252,437,1196,2397.6,"Metropolitan",TRUE,28060,0.13189448441247,0.857142857142857,0.751815598358068,NA
37067002100,"E",0.242634087514301,0.5511818,0,10.135986200141,10.8420000000042,2151,689,145,196,614,2738.2,"Metropolitan",TRUE,63973,0.0583501006036217,0.82741617357002,0.872,NA
37067002200,"E",0.483627114315173,0.705289,0,9.95992114436192,10.6669999999867,3742,985,176,259,1000,2175.1,"Metropolitan",TRUE,71767,0.0411478072550081,0.836080586080586,0.923505572441743,NA
37067002501,"E",0.0892039738136167,0.090103,0,9.8608016377344,10.8910000000033,2590,749,140,190,643,2395.2,"Metropolitan",TRUE,176875,0,0.865168539325843,0.976126299576434,NA
37067002502,"E",0.93618394475169,1.3217178,0,10.1772161600008,11.0380000000005,2770,892,181,236,707,1508.7,"Metropolitan",TRUE,144375,0.00424088210347752,0.866013071895425,0.98873335609423,NA
37067002601,"E",0.827345800321078,1.3534092,0,10.3352049110022,10.8859999999986,2481,819,169,224,643,1331.2,"Metropolitan",TRUE,114886,0.0058187863674148,0.865519937451134,0.977833392920987,NA
37067002603,"E",0.941939766606428,1.3552734,0.00100000001839362,9.8515879884866,11.4919999999984,6553,2006,374,564,1855,1797.7,"Metropolitan",TRUE,82547,0.0500359971202304,0.907414104882459,0.901164725457571,NA
37067002604,"E",0.93797072886729,1.5242942,0,10.8547380887237,12.1640000000189,6441,1971,348,580,1984,1706.1,"Metropolitan",TRUE,76566,0.0477081384471469,0.841052631578947,0.903938356164384,NA
37067002701,"E",0.626693188648387,0.935207,0.00099999998928979,11.281433053623,11.122000000003,5864,1971,335,687,2229,2713.7,"Metropolitan",TRUE,32015,0.154651631091422,0.693933197000682,0.700879765395894,NA
37067002702,"E",0.265321322296604,0.565474,0,10.7682752347292,11.1510000000126,5675,2248,460,812,2163,2509.7,"Metropolitan",TRUE,29897,0.22281776416539,0.768287699223539,0.787112010796221,NA
37067002703,"E",0.443261789962471,0.8923304,0,10.3793459310033,10.9679999999935,6039,1728,327,550,1945,3114.7,"Metropolitan",TRUE,26698,0.174731182795699,0.82554945054945,0.77707194563451,NA
37067002801,"E",3.23075137210343,4.0627132,0,14.7902698689432,11.7099999999919,4236,1386,276,403,1292,205.2,"Metropolitan",TRUE,69741,0.0547945205479452,0.878933333333333,0.913533834586466,4.0627132
37067002804,"E",0.785863284725797,1.0961496,0,11.6963214392592,11.1130000000121,4150,1436,270,474,1445,842.9,"Metropolitan",TRUE,44596,0.0882352941176471,0.874613959234095,0.837944664031621,NA
37067002806,"E",0.0300812307962983,0.0534404,0,11.8029666773848,11.4809999999998,3274,1320,302,498,1277,928.4,"Metropolitan",TRUE,39183,0.0861486486486486,0.743045387994143,0.731384015594542,NA
37067002807,"E",1.18563756587533,4.3516642,0,13.071928481472,11.7829999999958,5031,1766,348,549,1681,443.2,"Metropolitan",TRUE,55650,0.101548269581056,0.818112049117421,0.854876937101185,NA
37067002808,"E",3.09325994876564,4.7648952,0,14.8572549269475,11.2960000000021,3531,1109,212,325,1085,463.4,"Metropolitan",TRUE,61142,0.0732375085557837,0.83161094224924,0.884877182598402,NA
37067002809,"E",2.93224225560368,3.9260052,0,13.0580273301521,11.9610000000102,2238,752,146,218,670,275.9,"Metropolitan",TRUE,64479,0.0467091295116773,0.897550111358575,0.925698059630857,NA
37067002901,"E",2.05158305852267,2.9162302,0,10.6076861853747,11.9349999999977,4784,1785,364,622,1756,320.8,"Metropolitan",TRUE,48750,0.116121758737317,0.885383806519453,0.825313117996045,NA
37067002903,"E",1.59264219265857,2.2737026,0,10.523483862356,12.1359999999986,3828,1474,322,517,1379,795.6,"Metropolitan",TRUE,44960,0.124645892351275,0.836161879895561,0.750580945003873,NA
37067002904,"E",3.33677858362707,5.719987,0,12.629922571659,12.676999999996,2151,777,170,246,717,153.3,"Metropolitan",TRUE,59671,0.0495156081808396,0.857531760435572,0.846885813148789,NA
37067003002,"E",1.2001588689562,1.205516,0,10.6673479780557,11.8470000000088,3932,1605,295,547,1436,624,"Metropolitan",TRUE,46650,0.236708860759494,0.892557358701735,0.893488372093023,NA
37067003003,"E",2.02873573797801,2.3725052,0.00100000001839362,11.3955835316429,12.3139999999839,3272,1067,200,324,1070,528.3,"Metropolitan",TRUE,58058,0.10568454763811,0.9,0.858347978910369,NA
37067003004,"E",1.32071326568883,2.8851602,0.00099999998928979,11.313501239435,12.0859999999811,3618,1187,232,351,1097,1135,"Metropolitan",TRUE,72500,0.0690298507462687,0.878023133543638,0.946078431372549,NA
37067003103,"E",2.75923671452319,3.4350992,0,12.9527736558086,12.6080000000075,5468,1553,274,427,1603,389.1,"Metropolitan",TRUE,90453,0.0480769230769231,0.877046198617679,0.936031331592689,NA
37067003105,"E",1.83601462688996,2.1195954,0.00099999998928979,13.655840110465,11.63400000002,3649,1208,230,376,1223,457.7,"Metropolitan",TRUE,57404,0.115606936416185,0.767123287671233,0.845187232973109,NA
37067003106,"E",4.33655576700339,5.8697444,0,15.0439748926443,11.7360000000044,3099,986,193,289,967,139.8,"Metropolitan",TRUE,81100,0.0670103092783505,0.80225988700565,0.895438596491228,NA
37067003107,"E",1.52946607039493,1.9362824,0,11.9902935831801,11.6339999999909,4391,1423,277,426,1388,694.4,"Metropolitan",TRUE,67292,0.124404761904762,0.841108545034642,0.863890917944972,NA
37067003108,"E",1.02435121896804,1.8169736,0,12.3582146245334,12.6840000000084,3495,1266,291,451,1287,1130.1,"Metropolitan",TRUE,48125,0.149408284023669,0.919333333333333,0.751608391608392,NA
