"GEOID","CountyName","Xstar","X_full","Xstar_time","Xstar_q20","X_time","O_POP","Y_BPHIGH","Y_CHD","Y_DIABETES","Y_OBESITY","POP_DENS","RUCA","METRO","INCOME","PERC_SNAP","PERC_CAR","PERC_INSURED","X_partial"
37001020100,"A",0.347950132952897,1.1172772,0.00099999998928979,23.9122409872649,28.1790000000037,3908,1486,290,481,1489,2243.4,"Metropolitan",TRUE,36719,0.22852680895367,0.828066416711302,0.820350535540409,NA
37001020200,"A",0.424759161111733,0.4554862,0,24.6927915718102,16.304999999993,4152,1761,366,681,1840,3112.6,"Metropolitan",TRUE,32018,0.341820496499045,0.803268765133172,0.737389495579823,NA
37001020300,"A",0.240340245486785,0.5176262,0.00099999998928979,25.1576840484385,15.9340000000084,8063,3347,694,1226,3290,1871,"Metropolitan",TRUE,36364,0.274251069900143,0.797872340425532,0.768091017330335,NA
37001020400,"A",0.573908013639248,0.6095934,0,24.560456796905,14.9290000000037,6059,2788,479,1085,2842,1357.7,"Metropolitan",TRUE,32839,0.349867139061116,0.752702702702703,0.725784238714614,NA
37001020501,"A",0.892569603050251,1.2347218,0.00100000001839362,22.5416082621651,14.9190000000235,3575,1166,215,347,1195,1297,"Metropolitan",TRUE,44731,0.103046014257939,0.8825,0.821127144023959,NA
37001020502,"A",0.764252074471656,1.3198536,0,23.9093097885497,15.2989999999991,3782,1457,243,507,1600,1806.8,"Metropolitan",TRUE,38664,0.247940074906367,0.823717948717949,0.798353909465021,1.3198536
37001020601,"A",0.454554261343621,0.7599722,0,22.388169868307,15.1800000000221,3234,1207,243,324,938,1496.2,"Metropolitan",TRUE,98643,0.00673148840688108,0.899783705839942,0.94890756302521,0.7599722
37001020602,"A",0.669888763812691,0.9998326,0,23.152360280243,14.5570000000007,2414,896,189,242,720,2255,"Metropolitan",TRUE,76250,0.113744075829384,0.84678076609617,0.924474959612278,NA
37001020701,"A",0.640019168121105,1.0309026,0,22.3965659766227,15.2900000000081,4519,1731,362,511,1460,1721.4,"Metropolitan",TRUE,59942,0.118888317035512,0.835327908089995,0.868705449528627,NA
37001020702,"A",0.802251894085406,0.9762194,0,23.5152761847031,14.8709999999846,4742,1769,342,574,1859,1622,"Metropolitan",TRUE,62656,0.148768014876801,0.874561403508772,0.8567668348322,NA
37001020801,"A",0.794942050618911,1.0122606,0,23.6862163919504,13.1509999999835,1450,549,116,172,507,315.3,"Metropolitan",TRUE,45781,0.256024096385542,0.960059171597633,0.858809085328422,NA
37001020802,"A",0.346838299227191,0.3809182,0.00100000001839362,24.3002300597605,14.4689999999828,5857,2449,504,938,2578,3202.6,"Metropolitan",TRUE,32969,0.354049719326383,0.770237121831562,0.724563714191636,0.3809182
37001020901,"A",0.822166122812273,1.3931788,0,24.0030900400512,14.8440000000119,3583,1226,226,366,1262,1177.7,"Metropolitan",TRUE,44922,0.117814052519517,0.819859961807766,0.799404439631835,NA
37001020902,"A",1.29122924458554,1.9027268,0,24.3953390023259,15.1559999999881,3380,1211,230,362,1187,853.7,"Metropolitan",TRUE,71301,0.0680977054034049,0.913566739606127,0.806775768016078,NA
37001021000,"A",0.52424184663389,0.6176716,0,24.4623712929057,14.887000000017,3720,1663,346,651,1708,2876,"Metropolitan",TRUE,28795,0.372537313432836,0.767750497677505,0.733992855179994,NA
37001021101,"A",1.00727309946842,1.4522118,0,24.9004812384516,14.9230000000098,2668,1054,201,339,1022,855.5,"Metropolitan",TRUE,51034,0.235563703024748,0.82277318640955,0.82375613174492,NA
37001021102,"A",0.838592027954325,1.1079562,0,25.250365766561,14.960000000021,3318,1304,273,422,1228,797.3,"Metropolitan",TRUE,44342,0.153679653679654,0.779699248120301,0.868626274745051,NA
