"GEOID","NAME","INCOME","PERC_POVERTY","PERC_SNAP","PERC_CAR","PERC_PUBLIC_TRANSIT","PERC_INSURED","PERC_COLLEGE","PERC_FEM_HEAD","PERC_WHITE","PERC_BLACK","PERC_NATIVE","PERC_ASIAN","PERC_HAWAIIAN"
"37001020100","Census Tract 201, Alamance County, North Carolina",36719,0.318159688412853,0.22852680895367,0.828066416711302,0,0.820350535540409,0.623859649122807,0.33411488862837,0.590068159688413,0.228578383641675,0.00413826679649464,0.00632911392405063,0
"37001020200","Census Tract 202, Alamance County, North Carolina",32018,0.288351534061362,0.341820496499045,0.803268765133172,0,0.737389495579823,0.274637127578304,0.260822510822511,0.411718952553798,0.345864661654135,0,0.00959294788695878,0
"37001020300","Census Tract 203, Alamance County, North Carolina",36364,0.249107024738722,0.274251069900143,0.797872340425532,0.0291695264241592,0.768091017330335,0.389115368935997,0.535992663915635,0.547905328439438,0.324136185293001,0.00215162637640805,0.0106315656246045,0
"37001020400","Census Tract 204, Alamance County, North Carolina",32839,0.306471494607088,0.349867139061116,0.752702702702703,0.0168918918918919,0.725784238714614,0.426252646436133,0.569128262076624,0.209785932721713,0.60045871559633,0,0,0.0105504587155963
"37001020501","Census Tract 205.01, Alamance County, North Carolina",44731,0.268279274326553,0.103046014257939,0.8825,0,0.821127144023959,0.538952745849298,0.359398496240601,0.682820582630003,0.131500136128505,0.00626191124421454,0.00789545330792268,0
"37001020502","Census Tract 205.02, Alamance County, North Carolina",38664,0.266941015089163,0.247940074906367,0.823717948717949,0,0.798353909465021,0.342245989304813,0.541792547834844,0.471072114066356,0.320811625993968,0,0,0
"37001020601","Census Tract 206.01, Alamance County, North Carolina",98643,0.0053781512605042,0.00673148840688108,0.899783705839942,0,0.94890756302521,0.785743887277248,0.00437636761487965,0.970420168067227,0.00773109243697479,0.0080672268907563,0.00739495798319328,0
"37001020602","Census Tract 206.02, Alamance County, North Carolina",76250,0.0841423948220065,0.113744075829384,0.84678076609617,0,0.924474959612278,0.830019880715706,0.312849162011173,0.861622892983144,0.0944727557820463,0,0.0180321442571541,0.00156801254410035
"37001020701","Census Tract 207.01, Alamance County, North Carolina",59942,0.070820878362842,0.118888317035512,0.835327908089995,0,0.868705449528627,0.6414686825054,0.293333333333333,0.775968814492089,0.119468011923871,0,0.00550332492547581,0
"37001020702","Census Tract 207.02, Alamance County, North Carolina",62656,0.191928054397894,0.148768014876801,0.874561403508772,0,0.8567668348322,0.632528070772372,0.375954198473282,0.54507567449002,0.372888791401623,0.00548365869708269,0.0467207720991445,0
"37001020801","Census Tract 208.01, Alamance County, North Carolina",45781,0.16390423572744,0.256024096385542,0.960059171597633,0,0.858809085328422,0.284101599247413,0.268733850129199,0.744014732965009,0.149171270718232,0,0.0362185389809699,0
"37001020802","Census Tract 208.02, Alamance County, North Carolina",32969,0.338722983006105,0.354049719326383,0.770237121831562,0,0.724563714191636,0.405923836389281,0.492817679558011,0.579240340537001,0.313032089063523,0,0.00360183366077276,0
"37001020901","Census Tract 209.01, Alamance County, North Carolina",44922,0.270438548998376,0.117814052519517,0.819859961807766,0.00190961171228517,0.799404439631835,0.578270509977827,0.300170068027211,0.731456415809421,0.0858148348673525,0,0.0181375203031944,0
"37001020902","Census Tract 209.02, Alamance County, North Carolina",71301,0.117663899227025,0.0680977054034049,0.913566739606127,0.00109409190371991,0.806775768016078,0.53550178500595,0.0518331226295828,0.806470083023189,0.0606928141998282,0.00200400801603206,0,0
"37001021000","Census Tract 210, Alamance County, North Carolina",28795,0.408079142621599,0.372537313432836,0.767750497677505,0,0.733992855179994,0.368932038834951,0.451086956521739,0.501646542261251,0.291437980241493,0.0562568605927552,0.00384193194291987,0
"37001021101","Census Tract 211.01, Alamance County, North Carolina",51034,0.208829712683952,0.235563703024748,0.82277318640955,0,0.82375613174492,0.560542797494781,0.478947368421053,0.684653118430273,0.227750525578136,0.0133146461107218,0.0206727400140154,0
"37001021102","Census Tract 211.02, Alamance County, North Carolina",44342,0.226347305389222,0.153679653679654,0.779699248120301,0,0.868626274745051,0.473433782712133,0.451136363636364,0.715378079864061,0.178136505239309,0,0,0
"37001021201","Census Tract 212.01, Alamance County, North Carolina",37243,0.284881534411433,0.185093780848963,0.796272765777213,0,0.793719443399774,0.440097057931453,0.255509641873278,0.575968409176382,0.246145167356149,0.000752162467092892,0,0
"37001021204","Census Tract 212.04, Alamance County, North Carolina",63255,0.123694592712926,0.123853211009174,0.903333333333333,0,0.869384934346925,0.576195059351941,0.202521008403361,0.791014751899866,0.109298167188198,0.00514081358962897,0.00268216361198033,0
"37001021205","Census Tract 212.05, Alamance County, North Carolina",63778,0.0879377431906615,0.059002169197397,0.87316715542522,0,0.924112368318377,0.673609129814551,0.252601702932829,0.690003889537145,0.245429793854531,0.0058343057176196,0.0231427460132244,0
"37001021206","Census Tract 212.06, Alamance County, North Carolina",61310,0.185446445145721,0.111054508405502,0.811692969870875,0,0.90340488527017,0.584583083383323,0.332916926920675,0.656365655070318,0.22279792746114,0.0035159141376758,0,0
"37001021207","Census Tract 212.07, Alamance County, North Carolina",73125,0.180313064419025,0.144837144837145,0.890251021599533,0,0.9262492474413,0.632040050062578,0.10989010989011,0.801324503311258,0.114689945815774,0.00632149307645996,0,0
"37001021300","Census Tract 213, Alamance County, North Carolina",58929,0.154133423866916,0.151579846285226,0.819268110530247,0.00261389096340553,0.864685908319185,0.520350212967345,0.281297134238311,0.616151376921777,0.295658050346342,0.00794053049501605,0.0121642169285352,0.000675789829363068
