"sim","N","beta1","muU","sigmaU","q","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",387,0.00995033085316809,-0.7,0.8,0.1,0.112882297761226,0.00845810350957489,0.00145335149789485,0.00903425081410001,0.00161605022696287,0.00910639537919358,0.00148972775285066,0.0093473682577413,0.00156347831375489,0.00941569793356262,0.0014352979311124
"11422-2",387,0.00995033085316809,-0.7,0.8,0.1,0.113246630676609,0.0103459506077777,0.00109636134159406,0.0114179846139294,0.00124299316581885,0.0114439892517764,0.00132364892370451,0.0116187599518139,0.00128462978749082,0.011606855390503,0.00116349287647641
"11422-3",387,0.00995033085316809,-0.7,0.8,0.1,0.113433169789991,0.00904300604440271,0.00120039908521726,0.00952214504246801,0.00166736295145426,0.00948241146567812,0.00163932806833789,0.00934720969640088,0.00126741935864028,0.00936573580473132,0.00141583957246459
"11422-4",387,0.00995033085316809,-0.7,0.8,0.1,0.114111821542719,0.00867535991784783,0.00119877132247041,0.00929750039053825,0.00130686751776567,0.00930883354764518,0.00119266354654906,0.00933717770960341,0.00128453188115798,0.00937767960134587,0.00132986925445821
"11422-5",387,0.00995033085316809,-0.7,0.8,0.1,0.113201118323958,0.0108846740014856,0.00138129771406601,0.0117341433217833,0.00160233030383804,0.0116222175475698,0.00156922697985145,0.0118862847002073,0.00179258930640546,0.0117423483422109,0.00148915369376112
"11422-6",387,0.00995033085316809,-0.7,0.8,0.1,0.113493794655308,0.00886266304252949,0.0012857422622981,0.00849284507537821,0.00123541333129439,0.00862232273169657,0.0011813816690615,0.00848043176238485,0.00134995101469741,0.00846591423160671,0.00137878072078541
"11422-7",387,0.00995033085316809,-0.7,0.8,0.1,0.113383639350353,0.0105229016065033,0.0013660322778358,0.0107688221422874,0.00133161493071874,0.0108369971738553,0.00141156780035081,0.0111201723923395,0.00108083998637293,0.0108239806045538,0.00105298741014264
"11422-8",387,0.00995033085316809,-0.7,0.8,0.1,0.113615802819604,0.0100536006681988,0.0013316375229365,0.0104970513046344,0.00138667682568525,0.0104250938887209,0.00118717460102761,0.0104455272900446,0.00125303853112998,0.010237825615046,0.00128068974024558
"11422-9",387,0.00995033085316809,-0.7,0.8,0.1,0.113836727636536,0.00791617644754931,0.0011943148492278,0.00889690109221211,0.00120147077081272,0.00891295338431489,0.00119114227756426,0.00869043747694518,0.00124062696874416,0.00889151015754695,0.00118770682942635
"11422-10",387,0.00995033085316809,-0.7,0.8,0.1,0.113212008375305,0.0108727823165562,0.0014600511177338,0.0122251174655223,0.00154684587303771,0.0122207393634714,0.00141539624996484,0.0126365752459377,0.00206508356745477,0.0123659609547073,0.00134999301337006
"11422-11",387,0.00995033085316809,-0.7,0.8,0.1,0.113603729093617,0.00882397931994195,0.00188608538178709,0.00889210018373954,0.00147172322502364,0.00887074178848281,0.00160016193527025,0.00878186488692209,0.00185579118490813,0.00846864176629427,0.00220972396141199
"11422-12",387,0.00995033085316809,-0.7,0.8,0.1,0.11402425139296,0.00885911153633031,0.00103300856018749,0.00923756709371771,0.00100354377840057,0.00924569076221714,0.000943606046921634,0.00933757778970433,0.000985704990085351,0.00937718806356485,0.000947245335460466
"11422-13",387,0.00995033085316809,-0.7,0.8,0.1,0.113567904390306,0.0115860975449915,0.00122493743005871,0.012449143505983,0.00128139657524598,0.0123921107346571,0.00128135705784846,0.012504541192639,0.00140057340682881,0.0124765172677856,0.00120299025640437
"11422-14",387,0.00995033085316809,-0.7,0.8,0.1,0.113466893385725,0.0104990445822828,0.00127097804849506,0.0103812089259107,0.00129382245623647,0.0103759785626183,0.00131262744371362,0.0101207797049368,0.00136054371486203,0.00997194376483221,0.0013080024551345
"11422-15",387,0.00995033085316809,-0.7,0.8,0.1,0.114089408695787,0.00995659406647253,0.001131829596243,0.00956909426045718,0.00112159733146443,0.00952115707445773,0.00120896810414156,0.00948516366486982,0.0013196256807625,0.00956056218176188,0.00115461726654374
"11422-16",387,0.00995033085316809,-0.7,0.8,0.1,0.113381869039066,0.00871678139674113,0.00195946151385483,0.0107650229000904,0.00174441290607624,0.0106367672904866,0.00154509731335857,0.0109914506569943,0.00161639780442558,0.010973943463193,0.00156600536576693
"11422-17",387,0.00995033085316809,-0.7,0.8,0.1,0.113234069132608,0.00938900878782969,0.00111070011322031,0.0101164069610573,0.0011408351655496,0.00992359832504125,0.00131418533678013,0.00996074724472094,0.00142518130243904,0.00986209854571514,0.00132219060971227
"11422-18",387,0.00995033085316809,-0.7,0.8,0.1,0.113858798561414,0.00929569092763771,0.000990150450556008,0.00962405711156723,0.000908562434184555,0.00957786614879068,0.000985605126469906,0.00974732696789743,0.00103882908609758,0.00978567696040292,0.00107081370422798
"11422-19",387,0.00995033085316809,-0.7,0.8,0.1,0.114106623314499,0.009209275996477,0.00117618011627216,0.0099862036862046,0.00122960623700452,0.00991843396925215,0.00112229887223286,0.0100222296115411,0.00115012767903399,0.00980529208510113,0.00125391467686869
"11422-20",387,0.00995033085316809,-0.7,0.8,0.1,0.113707559880921,0.00939822984181093,0.00120939379066354,0.00979285526387077,0.00134010645304956,0.00974440644022235,0.00172315154983027,0.0100109966691247,0.00161826956698631,0.0100907784407815,0.00152588947056722
"11422-21",387,0.00995033085316809,-0.7,0.8,0.1,0.113870296509279,0.0109265139508197,0.00112547231184366,0.0109563729016541,0.0011111331983677,0.0108340367163613,0.00112075353420356,0.0107015371588696,0.00119894262872214,0.0104781621722474,0.00133641212994223
"11422-22",387,0.00995033085316809,-0.7,0.8,0.1,0.113444269535549,0.00865943661427682,0.00124263862234764,0.00917604371912776,0.00116901782640203,0.00920269651527393,0.00127313625649994,0.00923633452324424,0.00122456346125286,0.00922539637320633,0.00105779115388376
"11422-23",387,0.00995033085316809,-0.7,0.8,0.1,0.113786123214593,0.00977937079706926,0.00148029527645215,0.0113892926932456,0.00129165443090299,0.0113141908859355,0.00150527327022206,0.0114716783642099,0.00115145441996828,0.0115070312739098,0.00132330122356565
