"sim","N","beta1","muU","sigmaU","q","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",2200,0.00995033085316809,-0.7,0.8,0.1,0.0689248710826195,0.0091403659463448,0.000780928844776467,0.00971656803026977,0.000769880441215095,0.00971176340919921,0.000664506859310861,0.00977421389559449,0.00071172547315481,0.00979822293728421,0.000644765044087982
"11422-2",2200,0.00995033085316809,-0.7,0.8,0.1,0.0688547918560098,0.00939278847383539,0.000614652232227416,0.0100838923839939,0.000604509528464503,0.0101048371031943,0.000738787955282821,0.0101531870249238,0.0007269338936623,0.0101091753850216,0.000650134887922755
"11422-3",2200,0.00995033085316809,-0.7,0.8,0.1,0.0688567131948979,0.00918033764598415,0.000714050410507469,0.00965113277041737,0.000670655608202333,0.00964821578401124,0.000696293521780776,0.00967335351964584,0.000737664272219667,0.00965223338507031,0.000699091952763852
"11422-4",2200,0.00995033085316809,-0.7,0.8,0.1,0.0689570227592557,0.00936583403719072,0.000891547244215132,0.00993016613834129,0.000755787055419236,0.00990971189368164,0.00070574827342432,0.00992218674471053,0.000714341861585109,0.00987690320941812,0.000890931233012371
"11422-5",2200,0.00995033085316809,-0.7,0.8,0.1,0.0691767228671616,0.00949191836360127,0.000727909881565044,0.0102558270175711,0.00078985166893103,0.0102627626024939,0.000660030379933531,0.0106220196588258,0.000998884824323543,0.0106528744156745,0.000690813602994426
"11422-6",2200,0.00995033085316809,-0.7,0.8,0.1,0.0689709909149762,0.00971584769399744,0.00070274515733449,0.0100598938370852,0.000741591164680934,0.010036779061197,0.00071174886610409,0.00994887634174683,0.000733383728883405,0.00991106644485609,0.000732346640465312
"11422-7",2200,0.00995033085316809,-0.7,0.8,0.1,0.069075155056737,0.00892140470261598,0.000769939439367453,0.00897711327219312,0.000675526463470851,0.00898891351293846,0.000755215508920658,0.00908688359471183,0.000746742510060085,0.00910205508236178,0.000595628648120866
"11422-8",2200,0.00995033085316809,-0.7,0.8,0.1,0.0688556471925206,0.0093953325416243,0.000594957610211094,0.010112684483349,0.000667969307435222,0.0101306960670251,0.000817792165494029,0.0100983269830059,0.000764487535494346,0.0100797340979664,0.000733932906065698
"11422-9",2200,0.00995033085316809,-0.7,0.8,0.1,0.0689371227527202,0.00970730011153075,0.00074070999518178,0.00997140255198026,0.00068398713203668,0.00995477931332109,0.000799126341006839,0.0101366588688546,0.000836645586200485,0.0100322502661955,0.00075224622728293
"11422-10",2200,0.00995033085316809,-0.7,0.8,0.1,0.0689069228013775,0.00943201884086591,0.000707030822971015,0.00998384962331405,0.000612433524023764,0.0100273121084833,0.000675559406452597,0.0100963159761748,0.000643894399735618,0.0101420353728411,0.000679527172948444
