"sim","N","beta1","muU","sigmaU","q","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",2169,0.00995033085316809,-0.7,0.8,0.1,0.113645097363993,0.00928266438015216,0.000607708417744166,0.00983605756066734,0.000587520801003568,0.0098193687908198,0.000518565164819437,0.0100185170558223,0.000621761392645763,0.00996455093176584,0.000505489730599993
"11422-2",2169,0.00995033085316809,-0.7,0.8,0.1,0.113672770235752,0.00895181862003023,0.000463119463440389,0.00865657892811152,0.000565730340785657,0.00864317039642243,0.000532122872910281,0.00862131181532474,0.000544620337628688,0.00859572550558594,0.000594247877985653
"11422-3",2169,0.00995033085316809,-0.7,0.8,0.1,0.113671127551158,0.0092865326603297,0.000650811104429953,0.00991166693487614,0.000590559381918627,0.00994816842077968,0.000648726642288686,0.00998974885069169,0.000590815486372583,0.0100001356329745,0.000625127957478671
"11422-4",2169,0.00995033085316809,-0.7,0.8,0.1,0.113722405510203,0.00925481567521503,0.000659738572448859,0.00929267095215825,0.000511341824815877,0.00921017482645394,0.000621040382408418,0.00937477795316554,0.000532029145634285,0.0092890533651899,0.000554963505966955
"11422-5",2169,0.00995033085316809,-0.7,0.8,0.1,0.113705836457329,0.00968503708450113,0.000701903221790659,0.01025270273715,0.00060053752573171,0.010247617956414,0.000670355625353184,0.0101001452200084,0.000558809128213547,0.0102013767766591,0.000505703971264474
"11422-6",2169,0.00995033085316809,-0.7,0.8,0.1,0.113678061196834,0.0098174000727885,0.000592413614711576,0.0100826691156905,0.000579254355507021,0.0100482656263796,0.000545564944582608,0.0101403212168176,0.000526811068841595,0.0101209521759965,0.000579362358933704
"11422-7",2169,0.00995033085316809,-0.7,0.8,0.1,0.113661646164363,0.00963527685330881,0.000563434876797633,0.0100078606766943,0.000607171491698587,0.00996243737196115,0.000522491930714486,0.00991782168773709,0.000597696908548994,0.00992194362773768,0.000672412729156699
"11422-8",2169,0.00995033085316809,-0.7,0.8,0.1,0.113568182594832,0.0102230177253957,0.000526078325039319,0.0108458281813313,0.000542430182512673,0.01081319894822,0.000584164004814866,0.010745632188855,0.000629944934331439,0.0106778090251482,0.000651928798586981
"11422-9",2169,0.00995033085316809,-0.7,0.8,0.1,0.113681402474008,0.00851099893756147,0.000663761429378162,0.00926506403424942,0.000491835993073352,0.00923466425208024,0.000493856907467803,0.00919643253213161,0.000474072482744593,0.00923561269716078,0.000571030703362905
"11422-10",2169,0.00995033085316809,-0.7,0.8,0.1,0.113690001437888,0.00970284647874938,0.000570280497171849,0.00999175544159379,0.000682810668277297,0.00996049460268816,0.000541724191060417,0.0100427546641047,0.000750102904432726,0.0101231746141342,0.000660618771277854
"11422-11",2169,0.00995033085316809,-0.7,0.8,0.1,0.113890814487056,0.00912149775548512,0.000542291439418526,0.00953781718577967,0.000614806883035923,0.00954138471098546,0.00059743330947366,0.00962510103174893,0.000564407139716108,0.00960409288676366,0.000526529849721561
"11422-12",2169,0.00995033085316809,-0.7,0.8,0.1,0.113710733919527,0.00865412180526977,0.000598779720603817,0.0089922019960014,0.00073060027863288,0.00893376456745665,0.000578319666419924,0.00909516411749304,0.000650226687394336,0.00903794549859883,0.000557121870455511
"11422-13",2169,0.00995033085316809,-0.7,0.8,0.1,0.11405091521413,0.00955237976939624,0.00059377862338372,0.0101832489580105,0.000587938728397815,0.0101454008981416,0.000570818927789511,0.0102748304144309,0.00066302732678545,0.0102921013132208,0.000519652683495381
"11422-14",2169,0.00995033085316809,-0.7,0.8,0.1,0.113541148550281,0.00926037094291295,0.000586010472061974,0.0101380748291263,0.000514453039159064,0.0100907893483851,0.000555327504160533,0.0101923064651374,0.000538814637474338,0.0101393929510512,0.000618587545299637
"11422-15",2169,0.00995033085316809,-0.7,0.8,0.1,0.113669493259525,0.0084330070483995,0.000552135418728313,0.00904031863221475,0.000595350512304396,0.00909145986198876,0.000620528083793693,0.00916595323452512,0.000536176183914047,0.00914001540563947,0.000625442317645645
"11422-16",2169,0.00995033085316809,-0.7,0.8,0.1,0.11357121124128,0.00951211778659447,0.000583142252978696,0.0101791973819042,0.000619802958327287,0.010156428156602,0.000538117319039743,0.0102721976652153,0.000546590238077613,0.0102639455357378,0.000595371875940565
"11422-17",2169,0.00995033085316809,-0.7,0.8,0.1,0.113614086184629,0.00876847944345337,0.00056351355965378,0.00927615803010594,0.000576781267461394,0.00930907810223067,0.000674810794183719,0.00930561077104024,0.000613071972902517,0.00938714513075668,0.000670977598327535
"11422-18",2169,0.00995033085316809,-0.7,0.8,0.1,0.113630890580314,0.00928244262121514,0.000687554327385424,0.0102389693439674,0.000661140260736556,0.0102520782904067,0.000827404819924288,0.0102798666235854,0.000627757793178321,0.0102843501416397,0.000644899057541363
"11422-19",2169,0.00995033085316809,-0.7,0.8,0.1,0.113674884193864,0.00957104560953566,0.000614590549841041,0.00975916462929814,0.000527640668847644,0.00972570269604243,0.000546757203866582,0.00960454846333529,0.000490673926791739,0.0096493222440956,0.000524092009340892
"11422-20",2169,0.00995033085316809,-0.7,0.8,0.1,0.113794255705365,0.00932312881784032,0.000520867737345364,0.00984929978902385,0.000578967809583773,0.00981570646844496,0.000502014605441327,0.00979137941229019,0.000655830597959134,0.00982677498902318,0.000584848530160245
"11422-21",2169,0.00995033085316809,-0.7,0.8,0.1,0.113661344213635,0.00921184526032857,0.000552028980703498,0.00975622941066455,0.000517191037738452,0.00969318183876448,0.000595891692208938,0.00955203117583333,0.000489777403361063,0.0096560160824675,0.000516127828200227
"11422-22",2169,0.00995033085316809,-0.7,0.8,0.1,0.113495178349993,0.00908721752623121,0.000567722414425004,0.00947609080563788,0.000559716037649389,0.00941923238508696,0.000630401682452539,0.00940762187484229,0.000646959607832358,0.0094268570317175,0.000617492369289152
"11422-23",2169,0.00995033085316809,-0.7,0.8,0.1,0.113693316704372,0.00969824257561686,0.000670922646839114,0.0103210530083572,0.000632363101132991,0.0102549504355638,0.000600867547588599,0.0105033252398159,0.000523948932417686,0.0105137380098584,0.000510710107067288
"11422-24",2169,0.00995033085316809,-0.7,0.8,0.1,0.113681817968198,0.00918643031523875,0.000708403191958681,0.00963649528013122,0.000571496442096201,0.00961482456345442,0.000495533780352311,0.00955336964517042,0.000585512183347351,0.00952104427940423,0.000649271911495127
"11422-25",2169,0.00995033085316809,-0.7,0.8,0.1,0.113711503982435,0.00953366260957509,0.000638284537647777,0.0101391668900283,0.000526767050190005,0.0101089310572355,0.000626301798274844,0.0102341234997328,0.000525996208339591,0.0102603269193871,0.000620320671154881
"11422-26",2169,0.00995033085316809,-0.7,0.8,0.1,0.113733540226975,0.0095301568682739,0.000713717295486256,0.0109910050025612,0.000662471514756362,0.0109387630964137,0.000568242228762212,0.0111613911132643,0.000557897487244189,0.0111523901340372,0.000606251893938358
"11422-27",2169,0.00995033085316809,-0.7,0.8,0.1,0.113638618406308,0.00971486107012239,0.000595119839729167,0.0102501827395805,0.000551583176953536,0.0102409702433866,0.000499070241130038,0.0103329622924027,0.000488824836067378,0.0103173026847803,0.000553748501572941
"11422-28",2169,0.00995033085316809,-0.7,0.8,0.1,0.113341667551778,0.00901908805111368,0.000608530242347426,0.00942490837463755,0.000573757371756763,0.00952989998792726,0.000690384129162242,0.00954489999897948,0.000487399847414889,0.00951705752569887,0.00055206250735837
"11422-29",2169,0.00995033085316809,-0.7,0.8,0.1,0.113546410241441,0.00940541368938807,0.000695421255082551,0.0104261534185579,0.00058461310333613,0.0103902540779276,0.000637234568120982,0.0103844649471935,0.000574929703349657,0.0103850762435961,0.000641932537298298
"11422-30",2169,0.00995033085316809,-0.7,0.8,0.1,0.11350107044676,0.0090710872325006,0.000626968556996937,0.00996629636849255,0.000618059356371671,0.00996364198630452,0.000657623553689653,0.0100289607605668,0.000691974051379058,0.0100211728848358,0.000602744847494221
