"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",340,0.00995033085316809,-0.7,0.6,0.1,0.071361686653893,0.0140557925804667,0.00226714499336002,0.0146974044895919,0.00228237599585529,0.014421784256562,0.00211193392790361,0.0147421425391729,0.00213212214885256,0.0144524107860631,0.0020574616696483
"11422-2",340,0.00995033085316809,-0.7,0.6,0.1,0.0714541610026087,0.0109615341944394,0.00205558391338519,0.0105760358873414,0.00211978054785457,0.0104422679868284,0.00192865900824301,0.0102391720414214,0.00220099991222587,0.0101392657374824,0.00203114445105567
"11422-3",340,0.00995033085316809,-0.7,0.6,0.1,0.0714388004139144,0.0109144469672386,0.00222246557015389,0.0130434685125624,0.00209774470697451,0.0128873792104229,0.00224087259266487,0.0130476190324189,0.00193810324238332,0.0130246669073128,0.00218429956549256
"11422-4",340,0.00995033085316809,-0.7,0.6,0.1,0.0714054273088981,0.00867586743749616,0.00296302109968031,0.00749591610504676,0.00264508219395677,0.00775433609190575,0.002354904513974,0.00828815672414536,0.00264586519638517,0.0079580205881309,0.00234829016234562
"11422-5",340,0.00995033085316809,-0.7,0.6,0.1,0.0718371496894741,0.011037191998975,0.00243144813457477,0.010164945300002,0.00218972142121444,0.0100932562821751,0.00213376682540507,0.0109549326483381,0.00190346371124861,0.0102018127746703,0.00211803470642723
"11422-6",340,0.00995033085316809,-0.7,0.6,0.1,0.0717002814847878,0.00952577038690278,0.0024184184390216,0.0116220275682351,0.00216020883424426,0.0115459695968689,0.00278697715835168,0.0115139679952763,0.00216727706711469,0.0116799064423095,0.00272187884018817
"11422-7",340,0.00995033085316809,-0.7,0.6,0.1,0.0717645212269934,0.00970454998773203,0.00243467223846496,0.0111775739553287,0.00271878213030488,0.0111594818019536,0.00238489330123847,0.0104711527482796,0.00209765306055916,0.0113298564314173,0.00202827884682706
"11422-8",340,0.00995033085316809,-0.7,0.6,0.1,0.0715388466783436,0.00850142771552227,0.00274331555239705,0.00953500168875096,0.00289359334071773,0.00938092838035668,0.00255293732336353,0.0095379637366527,0.00282885932317908,0.00975162939115651,0.00265460091737776
"11422-9",340,0.00995033085316809,-0.7,0.6,0.1,0.0715274335085184,0.0063981089690959,0.00287977984325439,0.00573180142703038,0.00346506069526115,0.0054379365097043,0.00395475994575955,0.00465813691112258,0.00407506263359272,0.00413754994548051,0.00328725349477364
"11422-10",340,0.00995033085316809,-0.7,0.6,0.1,0.0716005973658699,0.0105746849097393,0.00314698847406415,0.0124977609891012,0.00313133818918709,0.0125266999442707,0.00285664238797684,0.0114929346073712,0.00274032667598972,0.0113812547758019,0.00273918763039312
"11422-11",340,0.00995033085316809,-0.7,0.6,0.1,0.0719880037938034,0.00843193805777745,0.00232921581419629,0.00907340333801381,0.00221218845547103,0.00899095701307966,0.00205083018686729,0.00901303470991285,0.00228292520390364,0.00903825494324379,0.00202929579908493
"11422-12",340,0.00995033085316809,-0.7,0.6,0.1,0.0716202668549095,0.0150234511828662,0.00236790622072207,0.0183917872321054,0.00211838890153378,0.0183387375988854,0.00243490797936485,0.0181224172587937,0.00224353164198625,0.0180211044465767,0.00246492952214959
"11422-13",340,0.00995033085316809,-0.7,0.6,0.1,0.0714212945786803,0.00801881768444654,0.002370716871871,0.0100616367469781,0.0022494919191663,0.00989287447770765,0.00258613044908981,0.00963682395123755,0.00257404479266932,0.00993775994492225,0.00237593955456163
