"sim","N","beta1","muU","sigmaU","q","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11422-1",390,0.00995033085316809,-0.7,0.8,0.1,0.0684800746780578,0.00942070720192834,0.0016337472386747,0.00975872845557299,0.00175121831990218,0.00979382655853403,0.00214938260587131,0.00992605608986613,0.00197199897125449,0.00990093871657896,0.00209118055914021
"11422-2",390,0.00995033085316809,-0.7,0.8,0.1,0.0688895070041662,0.010182630803004,0.00191862236256146,0.0123721328333629,0.00200900561967881,0.0123954616423355,0.00198647619164434,0.0125278927333006,0.00227356079521248,0.0125709926353213,0.00209357537559858
"11422-3",390,0.00995033085316809,-0.7,0.8,0.1,0.0694367274325949,0.00836698701507222,0.00164320856644353,0.00782945622023496,0.00174952303648264,0.00792144910899945,0.0018520781592601,0.00793107891559307,0.00140623542336421,0.00783335961859124,0.00170336616677722
"11422-4",390,0.00995033085316809,-0.7,0.8,0.1,0.0688164096184782,0.00947478251697438,0.00175163727238497,0.00938805417144801,0.00196134938573796,0.00931240821482583,0.00192634938555863,0.00948639510153791,0.00171837767524062,0.00943098564218928,0.00196307414591967
"11422-5",390,0.00995033085316809,-0.7,0.8,0.1,0.0689805935631002,0.0115635875981692,0.00191913523599386,0.0112771431813284,0.00186034803195723,0.0112186201953371,0.00158964949186963,0.0112757607988916,0.00176062202892873,0.0113853450063933,0.00185386890887434
"11422-6",390,0.00995033085316809,-0.7,0.8,0.1,0.0690479738488859,0.00760699910592804,0.00229447416634836,0.00928166398961805,0.00250676885647917,0.00926981071609053,0.00210605688033324,0.00940192493320663,0.00192528326119346,0.00923492748174767,0.00202936560011483
"11422-7",390,0.00995033085316809,-0.7,0.8,0.1,0.0688950519166135,0.00829264036776577,0.00126157946709827,0.0089964468579907,0.00138879766988836,0.00909781643869496,0.00138223616772758,0.00901708742077563,0.00128455210834573,0.00904659213437421,0.00125910620907289
"11422-8",390,0.00995033085316809,-0.7,0.8,0.1,0.0689973805697291,0.0116861090197653,0.00174025226514435,0.0112979091806159,0.00192617907506689,0.0111100919301012,0.00164512824753288,0.0110932262847632,0.00176286095785289,0.0109817898398382,0.0016366904588269
"11422-9",390,0.00995033085316809,-0.7,0.8,0.1,0.0692083699906086,0.00963787571640559,0.00168508637129135,0.0107269128486483,0.00164964590347802,0.0106709918016709,0.00154462457484778,0.0105021549222238,0.00141900281154494,0.0104915981626153,0.00167040078940565
"11422-10",390,0.00995033085316809,-0.7,0.8,0.1,0.0688565374191857,0.0115684539023829,0.00184046276104765,0.012016783548537,0.00191339349897879,0.0119206773957544,0.00203028502339132,0.0124094874493595,0.00194623627800817,0.0126484325202629,0.00199850415512643
