"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11426-1",100,0.048790164169432,-0.8,1,0.1,0.124328127267141,0.0492657649807488,0.0018017457225097,0.0453739394020512,0.00173000502994091,0.0532447319871358,0.00598135698415705,0.00374459180354826,0.00496351862823594
"11426-2",100,0.048790164169432,-0.8,1,0.1,0.124942775931798,0.0466080113389145,0.00194270937785182,0.0410500609763557,0.00183573360979177,0.0432295675305182,0.00904282507313273,0.000140501864910219,0.00623240749990552
"11426-3",100,0.048790164169432,-0.8,1,0.1,0.125294113378724,0.0493447203086883,0.0019218324533668,0.0457889848690397,0.00193543383873344,0.0502119931088484,0.00579576503670595,0.00575762795780063,0.00932953595280389
"11426-4",100,0.048790164169432,-0.8,1,0.1,0.12509829640637,0.0476234146042995,0.00162692459123189,0.0455372292758872,0.00160097077777864,0.0483298848690694,0.00446548449623253,0.0126174571137137,0.00328057208187035
"11426-5",100,0.048790164169432,-0.8,1,0.1,0.12574196808246,0.0473326613911224,0.00159840645238748,0.044182361051481,0.00158749509469578,0.0383754912569766,0.0131936329930375,0.00391423158266653,0.0147974165370611
"11426-6",100,0.048790164169432,-0.8,1,0.1,0.126264673493697,0.0490583775989069,0.00169204479414838,0.0459527268502893,0.00165002899608918,0.0377905756633685,0.0102907775565796,-0.00296568562843412,0.00576857010517877
"11426-7",100,0.048790164169432,-0.8,1,0.1,0.125460179134935,0.0467714540556401,0.00183541189289664,0.0423775091243187,0.00169696987580235,0.047950146091839,0.00688884330966152,0.00356685698099348,0.0088393008606112
"11426-8",100,0.048790164169432,-0.8,1,0.1,0.124876755241969,0.0479537009440478,0.0017545910298287,0.0464326337562933,0.00182101048255751,0.0407375659183122,0.00728341356522638,0.000991182972159238,0.0073145822699325
"11426-9",100,0.048790164169432,-0.8,1,0.1,0.127523828607616,0.0488072489303828,0.0016223266155184,0.0442480349762608,0.00152601675292521,0.0429818777305098,0.0068008759392717,-0.00156280452883396,0.00602461621301123
"11426-10",100,0.048790164169432,-0.8,1,0.1,0.125861937075208,0.0497438686371448,0.00137487440793035,0.0472741848897359,0.00133501360463,0.0442036044058534,0.00750031188388165,0.00830676681949376,0.00964309789821618
"11426-11",100,0.048790164169432,-0.8,1,0.1,0.126071363825015,0.0480369634474317,0.00144318047064676,0.0469685218192867,0.00146338382897726,0.0423297935698993,0.00821943244602397,0.00543617618770169,0.0039424011219333
"11426-12",100,0.048790164169432,-0.8,1,0.1,0.127498687155641,0.049036414656476,0.00128766677872883,0.0463361054875165,0.00126195389188145,0.0448504644333752,0.00490165805522713,-0.00232715643541522,0.00349619550626619
"11426-13",100,0.048790164169432,-0.8,1,0.1,0.123653623290155,0.0501911134638651,0.00215693866740316,0.0457121087564586,0.00204867513426469,0.0528327749265021,0.00548172139561376,0.00443234123207068,0.00715124968192482
"11426-14",100,0.048790164169432,-0.8,1,0.1,0.121958179401541,0.0492443206000736,0.00161436197528738,0.0460649875481481,0.00158696243138724,0.0428355229280513,0.00917151876544516,-0.00169372950713868,0.0147082437549979
"11426-15",100,0.048790164169432,-0.8,1,0.1,0.125232204669297,0.0471530433117898,0.00162194214405597,0.0426344862825569,0.00152618232933899,0.0569502284543753,0.00746746582290571,0.00986491640315107,0.00397599561262821
"11426-16",100,0.048790164169432,-0.8,1,0.1,0.125699838471915,0.0469798017043573,0.00192645800295394,0.0414457638340009,0.00179625301172953,0.044081133817323,0.00646075714225383,0.0113402517483432,0.00831195772932033
"11426-17",100,0.048790164169432,-0.8,1,0.1,0.126830526053164,0.0494627667459518,0.00156798342736836,0.0464249656810321,0.00153908652570402,0.0526445349764393,0.00649077357197768,0.0291693162497983,0.00440267694755836
"11426-18",100,0.048790164169432,-0.8,1,0.1,0.124559043779247,0.0486262515772376,0.00188365184740279,0.0448101292319513,0.00179942034337453,0.0564871666275071,0.00749107976944692,0.00614782516244092,0.00789052052057927
"11426-19",100,0.048790164169432,-0.8,1,0.1,0.12580669202647,0.0486063907633307,0.00153442392357598,0.0439448281015309,0.00148912906703702,0.0652298782703232,0.01225537184648,0.00673527696291832,0.00554970599695975
"11426-20",100,0.048790164169432,-0.8,1,0.1,0.122468935676572,0.0461038889615073,0.00174813308225939,0.0412305141513653,0.00163290637146066,0.039296192185489,0.0100143744719262,0.00345158009086657,0.00740430737148446
"11426-21",100,0.048790164169432,-0.8,1,0.1,0.124211181765333,0.0458899616608275,0.00153738693016734,0.0416557924087711,0.00143791181494226,0.0501264865459135,0.00749963819346169,0.000900263152417317,0.006965380777368
"11426-22",100,0.048790164169432,-0.8,1,0.1,0.127457551406387,0.0482536898391437,0.00147402300807076,0.0443807537629621,0.00141478515794396,0.0612431008118159,0.0119840618041408,0.0157243732226863,0.00525130768404353
"11426-23",100,0.048790164169432,-0.8,1,0.1,0.126247877074077,0.0508011248056986,0.00157045582575695,0.0456468022672354,0.00147968270615001,0.0502304290466332,0.00631207719377156,0.00285643548698513,0.00601256710267146
"11426-24",100,0.048790164169432,-0.8,1,0.1,0.124440239846387,0.0452990418680758,0.00210202632330589,0.0405512402309145,0.00196798734536958,0.0500119314670056,0.00603495919939588,0.00135897424122204,0.0046675135999188
"11426-25",100,0.048790164169432,-0.8,1,0.1,0.122065611246334,0.0498094683413305,0.00194966434960762,0.0448289689652062,0.00193225774482503,0.044171340094062,0.00596378246824792,0.00918464479401195,0.0086031752291463
"11426-26",100,0.048790164169432,-0.8,1,0.1,0.122880004453882,0.0486619935717701,0.0020819419598516,0.0446613606310223,0.00199127216292886,0.0431982945951476,0.0117853892414643,0.0042842659322573,0.0089516972956701
"11426-27",100,0.048790164169432,-0.8,1,0.1,0.12284518375751,0.0494962585384921,0.00171837345670288,0.0453762761696821,0.0016812446530544,0.0532690782566559,0.00918905782187105,0.00119598633122123,0.00695467335079322
"11426-28",100,0.048790164169432,-0.8,1,0.1,0.128534107535389,0.0503771909485728,0.00124483371896675,0.0483951752194455,0.00123020241285549,0.0465610258807056,0.0018861488105403,0.0177245296761825,0.00259812301543621
"11426-29",100,0.048790164169432,-0.8,1,0.1,0.126172415682652,0.0468401656282154,0.001566559699966,0.044845286337747,0.00156008776324176,0.0461720639861997,0.0079632747944934,0.00234480488199307,0.00553732752649316
"11426-30",100,0.048790164169432,-0.8,1,0.1,0.127164999668425,0.0519644429410528,0.00123205532076733,0.0488347833510864,0.00118878093437509,0.0556405847339245,0.00425787603186223,0.014472980670036,0.00443520569648841
"11426-31",100,0.048790164169432,-0.8,1,0.1,0.12633892634797,0.0507233120855369,0.00174093367627665,0.0472433989841343,0.00169091988340945,0.0561770542791889,0.00651230433310229,0.0146050404946945,0.00818746981902452
"11426-32",100,0.048790164169432,-0.8,1,0.1,0.122699043708754,0.0478531924112798,0.00196887483234793,0.0437321629222565,0.00193293779465543,0.0461984342925337,0.00483082693101782,0.00720606160949819,0.00527868255033236
"11426-33",100,0.048790164169432,-0.8,1,0.1,0.124223846289065,0.0493251090319868,0.00167222906499826,0.0464788856535113,0.00163811750661583,0.0644589326114115,0.00806212276456227,0.0171863643351035,0.00789026599025031
"11426-34",100,0.048790164169432,-0.8,1,0.1,0.125422310596091,0.0514105793659917,0.00157785051397466,0.0487398050774576,0.00154069564209242,0.0515052682464241,0.0136150232493779,0.010720189732284,0.00827632197695773
"11426-35",100,0.048790164169432,-0.8,1,0.1,0.125827162497099,0.0489022931505115,0.00154263834749732,0.0457084339778305,0.00147748669965641,0.0476961428540833,0.00248044266465839,0.00930502587747141,0.00441608269167438
"11426-36",100,0.048790164169432,-0.8,1,0.1,0.12340828350561,0.0496298056447436,0.00196773833790499,0.0454512958364002,0.0018887846198715,0.050551102308707,0.00540051925081149,0.0040217327526889,0.00889975538613468
