"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11423-1",100,0.048790164169432,-0.8,1,0.25,0.123907894780377,0.0489522057300957,0.00188071110198609,0.0439913591510599,0.00181788968912667,0.0496461245381431,0.00346111511324602,0.0111004772525681,0.00346034164794846
"11423-2",100,0.048790164169432,-0.8,1,0.25,0.12607235340572,0.0487716863650303,0.00165495410469727,0.0466615050154312,0.00161943289773872,0.0496073003123922,0.0037748123432403,0.000472254576659484,0.00681272373686381
"11423-3",100,0.048790164169432,-0.8,1,0.25,0.126798330647849,0.050570117285055,0.00153586841218295,0.0472144009863791,0.00148885815819964,0.0513076127244412,0.00286012796569489,0.0119427086085488,0.00644053608309188
"11423-4",100,0.048790164169432,-0.8,1,0.25,0.125258413454947,0.048788130801924,0.00137034007905996,0.0466741409028824,0.0013443149143094,0.050036249300233,0.00343855757541307,0.0138731901537811,0.0066518967461282
"11423-5",100,0.048790164169432,-0.8,1,0.25,0.126919922073086,0.0477736005386064,0.0015688785726036,0.044971057885322,0.00152074986918774,0.0458000619274693,0.0030062891108273,0.0227476544456769,0.00606134971046922
"11423-6",100,0.048790164169432,-0.8,1,0.25,0.126085635664599,0.0498730556851812,0.00172485573039661,0.0475954302342981,0.00174328596888402,0.0524215285325983,0.0035349774339877,0.0167331769512113,0.00629129639827435
"11423-7",100,0.048790164169432,-0.8,1,0.25,0.126078864640875,0.0501716813435528,0.00182239798226287,0.0436685012490778,0.00170492024008742,0.0473650878175883,0.00334058116498753,0.0165074220442167,0.00595461926012983
"11423-8",100,0.048790164169432,-0.8,1,0.25,0.123301234500056,0.049221721761052,0.00184350162713481,0.045913405503389,0.00178578381963746,0.0498164810328559,0.00262477645197316,0.0221432309600631,0.00532639764794132
"11423-9",100,0.048790164169432,-0.8,1,0.25,0.124763441960895,0.0460701133522681,0.00186250351578916,0.0416328674660393,0.00182892676738408,0.0459474572427395,0.00567157483388604,0.00683203719987085,0.00833957258550081
"11423-10",100,0.048790164169432,-0.8,1,0.25,0.123136118923493,0.0478628759017967,0.00217966866540318,0.0416592603236858,0.00200764062845475,0.0537822427740168,0.00482427971242415,0.0241402017292803,0.00589274832567018
"11423-11",100,0.048790164169432,-0.8,1,0.25,0.125622332836379,0.0508180457709931,0.00156478488665978,0.04589368592713,0.00146517219141119,0.0519552267936915,0.00355108052549051,0.00986738780832814,0.00537171843191172
"11423-12",100,0.048790164169432,-0.8,1,0.25,0.125065661754526,0.0499185972232525,0.0014716774259288,0.0440200288703981,0.00133709990930258,0.0500880450568253,0.00437979383076004,0.0082842083933627,0.00488024552951335
"11423-13",100,0.048790164169432,-0.8,1,0.25,0.126768381275301,0.0504242066218478,0.00166918267190615,0.047842723401757,0.00166241001437117,0.0491623274894148,0.00285580613488815,0.0198928121577114,0.00581969787004437
"11423-14",100,0.048790164169432,-0.8,1,0.25,0.125305917332238,0.0497177106017605,0.00186740655511755,0.0443520179360072,0.00173545907994612,0.0550032994408788,0.00372795593972461,0.0145416390092856,0.00556848710422059
"11423-15",100,0.048790164169432,-0.8,1,0.25,0.125372031301758,0.0485289813863479,0.00143143900670262,0.0463248070546476,0.00143223664684593,0.0485926717297993,0.00333302858930286,0.00547820233116572,0.00437537808504335
"11423-16",100,0.048790164169432,-0.8,1,0.25,0.120928134565936,0.045135447929906,0.00234277890288431,0.0372692488029724,0.00208844450739612,0.0372745619284731,0.0055727587641252,0.0115173530530761,0.006141109321918
"11423-17",100,0.048790164169432,-0.8,1,0.25,0.1239737162426,0.0465234008413604,0.0019725168482268,0.0410595936878062,0.00190175459906768,0.0500038555605691,0.00355360893437,0.0245722562664681,0.00483349040342325
"11423-18",100,0.048790164169432,-0.8,1,0.25,0.124910880342131,0.0506689136649152,0.00140241652333761,0.0466280990910516,0.00132250512619876,0.0528929384984961,0.00296923207891137,0.00657615342351412,0.0048809290937828
"11423-19",100,0.048790164169432,-0.8,1,0.25,0.125056974533405,0.0478082252781407,0.00140839784090938,0.046802716170556,0.00143112782697833,0.0471566207895398,0.00244455644541336,0.017837549800702,0.00415573466576557
"11423-20",100,0.048790164169432,-0.8,1,0.25,0.12378067486416,0.0470739888148994,0.00198131889967377,0.0411300048719438,0.00185712490051854,0.0477107858955795,0.00349439666481598,0.0171477048114501,0.00641796583683225
"11423-21",100,0.048790164169432,-0.8,1,0.25,0.122828186725712,0.0499219881480147,0.00207419548408456,0.0454541151385072,0.00202482276103681,0.0455927631889708,0.00527502093515923,0.0138359003033012,0.00942341644734051
"11423-22",100,0.048790164169432,-0.8,1,0.25,0.124003800285609,0.0499331434468367,0.00205924765088972,0.0463367284805434,0.00204152247086239,0.047533235448671,0.00505032035629311,0.00876631950758746,0.00789888001626298
