"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11431-1",340,0.00995033085316809,-0.7,0.25,0.1,0.0720300763314043,0.00745598282714676,0.00136265097360706,0.00726939331705143,0.00135838957448172,0.01128379760279,0.00506138149654714,0.00830839225202383,0.00159530272225957
"11431-2",340,0.00995033085316809,-0.7,0.25,0.1,0.071655996933097,0.010451397805599,0.00119426106015296,0.0103862387754901,0.00119105304373758,0.0121212128801538,0.00288160446326033,0.0100012476280987,0.00125109365321457
"11431-3",340,0.00995033085316809,-0.7,0.25,0.1,0.0718280366600765,0.00990292975042546,0.00113061715783683,0.00962714851098363,0.00112036221705994,0.0125658802112276,0.004458897302239,0.0101304873972578,0.00130177144177804
"11431-4",340,0.00995033085316809,-0.7,0.25,0.1,0.0722803723760122,0.0119768071355922,0.00112246546295366,0.0118733891582716,0.0011163776231411,0.0126343387699367,0.0042247118244956,0.0121447372490671,0.00127340636501179
"11431-5",340,0.00995033085316809,-0.7,0.25,0.1,0.0723381569383573,0.0099509830729715,0.00139419684697524,0.010157633385211,0.00139797774941075,0.00813109214014045,0.00545957956553913,0.0100858787923513,0.00155263418461645
"11431-6",340,0.00995033085316809,-0.7,0.25,0.1,0.0723809031528926,0.0105157266864213,0.0011240163055993,0.0104923621978464,0.00111549843734173,0.00563390992496618,0.00450386574069491,0.0111093970207504,0.00126238137026579
"11431-7",340,0.00995033085316809,-0.7,0.25,0.1,0.07202659700562,0.00963242785042921,0.00123842671573416,0.00948785539011366,0.00124084270440715,0.0149161728027819,0.00461162058625037,0.00957649126389984,0.0013361788980908
"11431-8",340,0.00995033085316809,-0.7,0.25,0.1,0.0718305240880482,0.0108454177909472,0.00109605580544668,0.010687295686589,0.00108898292894038,0.0126633219491111,0.00240120304704286,0.0105989682207524,0.00115359365169479
"11431-9",340,0.00995033085316809,-0.7,0.25,0.1,0.0718988187004952,0.00808423749099866,0.00129018672869391,0.00798451735719105,0.00128679652436057,0.00511973436889541,0.00449927082029992,0.00803785018956639,0.00144350638078034
"11431-10",340,0.00995033085316809,-0.7,0.25,0.1,0.0720906751725665,0.00893294727492092,0.00129567495603248,0.00892198581812118,0.0012886719920142,0.00257883522581549,0.00419476622251988,0.00772462085968046,0.0015076430689006
"11431-11",340,0.00995033085316809,-0.7,0.25,0.1,0.0717985004233376,0.00814754274769928,0.00117425824795166,0.00811338226199652,0.00116400245832296,0.0070159002603815,0.00253392318712102,0.00834923028453551,0.00125689205922145
"11431-12",340,0.00995033085316809,-0.7,0.25,0.1,0.0715997784777913,0.0100011782696737,0.00127428099492994,0.0101855013153296,0.00126262983919019,0.00771399465878695,0.00319324704890695,0.00931249412597094,0.00140187983394205
"11431-13",340,0.00995033085316809,-0.7,0.25,0.1,0.0719909459731065,0.0115435315050383,0.00128143152927067,0.0117646329002495,0.00128196622439086,0.00709126372268061,0.0026990803974066,0.0117355951534305,0.00154497093274295
"11431-14",340,0.00995033085316809,-0.7,0.25,0.1,0.0715114816566443,0.00984944651767557,0.00115288270795822,0.00975140635953696,0.00114564231194969,0.00923088564524113,0.00429769427259758,0.00955966608288539,0.00121985029285581
"11431-15",340,0.00995033085316809,-0.7,0.25,0.1,0.0717216084830836,0.0094114366900467,0.00129502298758157,0.00925405822697788,0.00128744939145777,0.0120830470699927,0.00361273256469057,0.00830466059070887,0.00142255246774606
"11431-16",340,0.00995033085316809,-0.7,0.25,0.1,0.072065556604288,0.0094724937208768,0.00129709468056134,0.00922330599792156,0.0012820667147417,0.0130598765161128,0.00391363922579887,0.00866774003759169,0.00139067334480787
"11431-17",340,0.00995033085316809,-0.7,0.25,0.1,0.0718893843235289,0.0109094816555188,0.00123802671869999,0.0109746649448018,0.0012465422346828,0.0185409631193318,0.0045189956580426,0.011256390143146,0.00130499308025356
"11431-18",340,0.00995033085316809,-0.7,0.25,0.1,0.0718551085568946,0.0107446816100836,0.00122874105137263,0.0105575253812368,0.00122146300304597,0.00730316181977134,0.00419622338159954,0.0106508014154497,0.00128896025055447
"11431-19",340,0.00995033085316809,-0.7,0.25,0.1,0.0715568528116898,0.0106486051476422,0.00128880308189005,0.0105679595027792,0.00128681184882815,0.0182003921363025,0.00612153946847931,0.010860498541796,0.00139277883855802
"11431-20",340,0.00995033085316809,-0.7,0.25,0.1,0.0720419927673148,0.0099386952354612,0.00127574800821025,0.00992388778774543,0.00126313000119797,0.0157289463301863,0.00401246683856655,0.00948417376197557,0.00136728377541594
"11431-21",340,0.00995033085316809,-0.7,0.25,0.1,0.0718645528401761,0.00988303203883477,0.00115429489497977,0.00988000858972862,0.00114242534026272,0.0120655751798609,0.00366121326459028,0.00981969133497346,0.00123808730587846
"11431-22",340,0.00995033085316809,-0.7,0.25,0.1,0.071653431276185,0.0093379031060811,0.00136684272428957,0.00937154857254566,0.00137082940717183,0.00250500183366712,0.00505237814667154,0.00882357048906946,0.00155916709951951
"11431-23",340,0.00995033085316809,-0.7,0.25,0.1,0.0715779906988122,0.0100588487473243,0.00156386160957118,0.00958777704411872,0.00153830825898605,0.00740113650179987,0.00554005796015568,0.00937323253331239,0.00167846883321517
"11431-24",340,0.00995033085316809,-0.7,0.25,0.1,0.0716431274015872,0.0111321805332559,0.00125443791129476,0.0113498976806188,0.00125676896963054,0.0122442943644524,0.00381698618213891,0.0112088102039044,0.00143701098929933
"11431-25",340,0.00995033085316809,-0.7,0.25,0.1,0.0716093266459952,0.00979902278382765,0.00107002115961702,0.00971133377496107,0.00106820765012949,0.0167622991847966,0.00464829700633342,0.0101816832930249,0.00118957405143598
"11431-26",340,0.00995033085316809,-0.7,0.25,0.1,0.0718277635030624,0.0106333289603573,0.00115421609100919,0.0105110740412823,0.00114595611971882,0.0166897049612804,0.00494723831974684,0.0111088229481987,0.0013316686771307
"11431-27",340,0.00995033085316809,-0.7,0.25,0.1,0.0719053827242702,0.00836875671817016,0.00122337150882982,0.00826048187435669,0.00122171841681939,0.00573061727661434,0.00349657050478723,0.00874455035385651,0.0012997585311776
"11431-28",340,0.00995033085316809,-0.7,0.25,0.1,0.072227781838563,0.0103461585917032,0.00109945102380279,0.0104030851129246,0.00110123552741766,0.0120045513247149,0.00335604388324229,0.0107132793654461,0.00127754844895462
"11431-29",340,0.00995033085316809,-0.7,0.25,0.1,0.0720524487165034,0.0106628359656062,0.00112697816233691,0.0105399921575191,0.00112471028687127,0.00186856454891938,0.00532160085258442,0.011022098993866,0.00133328359173969
"11431-30",340,0.00995033085316809,-0.7,0.25,0.1,0.071900216595386,0.00947251252519121,0.00134566175838557,0.00925289957456567,0.00134630703954417,0.0201568592234954,0.00477017214193652,0.00942378226055253,0.00149687483493581
"11431-31",340,0.00995033085316809,-0.7,0.25,0.1,0.0718247177572327,0.00876216161291204,0.00144248721370812,0.00866298000330624,0.0014192319017052,0.00967032729634233,0.00524962976887375,0.00812066980636052,0.0017599178676626
"11431-32",340,0.00995033085316809,-0.7,0.25,0.1,0.0717494212610928,0.00871379287860138,0.00130295793116525,0.00862083511281926,0.00131222793786097,0.0155625619439473,0.0048708612951752,0.00792597479561732,0.00136376513638282
"11431-33",340,0.00995033085316809,-0.7,0.25,0.1,0.071538577413673,0.00963389925985916,0.00113796779906988,0.00958516229057101,0.00113135955694186,0.0129160657851924,0.00328860160330891,0.00999073550652524,0.00124027612408976
"11431-34",340,0.00995033085316809,-0.7,0.25,0.1,0.0721804633239587,0.0108565438950124,0.00134019521036618,0.010959401724618,0.00133665475973166,0.016677890793071,0.00379397012529304,0.0114853144970873,0.00149327402239827
"11431-35",340,0.00995033085316809,-0.7,0.25,0.1,0.0713254139120146,0.00937153644623977,0.00112668259226869,0.00919963389982459,0.00112772328286771,0.0109859403466185,0.00254807052233589,0.00984245777719062,0.00118764331831645
"11431-36",340,0.00995033085316809,-0.7,0.25,0.1,0.0719939955619565,0.0102378890775566,0.00119434615430926,0.0101841245436887,0.00119541531242738,0.0148408308211155,0.00301756171578041,0.0110679973011045,0.00127495847916791
"11431-37",340,0.00995033085316809,-0.7,0.25,0.1,0.071895147467985,0.00950655654098668,0.00112250460693268,0.00934275457499695,0.00111724575818954,0.0129771656911389,0.0038533215971657,0.00934766199342809,0.00130678238187519
"11431-38",340,0.00995033085316809,-0.7,0.25,0.1,0.071517451378825,0.00923889839171632,0.00132705107169056,0.00897366264541174,0.00132093014349954,0.0100138004494083,0.00488361487122643,0.00949530207286055,0.00153870551935453
"11431-39",340,0.00995033085316809,-0.7,0.25,0.1,0.071837744831965,0.0115589190116619,0.00109661933216009,0.0113702582901424,0.00108622539595825,0.00999496460577329,0.00357709440747731,0.0116232577567607,0.00115670789997045
"11431-40",340,0.00995033085316809,-0.7,0.25,0.1,0.071955133847035,0.00934176129415764,0.00133147307554398,0.00910324405604033,0.001333437891126,0.00781422711523896,0.00489498330208033,0.00973381095721881,0.00146553556465506
"11431-41",340,0.00995033085316809,-0.7,0.25,0.1,0.0719359029405572,0.0101604077485216,0.00117100848154422,0.0100438896997986,0.0011705469148855,0.0178755086819337,0.00409191347769216,0.0100984936877946,0.00121587308424895
"11431-42",340,0.00995033085316809,-0.7,0.25,0.1,0.0715650156399784,0.0103615113151605,0.0013341299772751,0.0103201416323355,0.00133334976897687,0.00723394921535415,0.00558822745548301,0.0104889102072756,0.00139922277561406
"11431-43",340,0.00995033085316809,-0.7,0.25,0.1,0.0722118015321944,0.00872208919054184,0.00127852980406308,0.00863396930546069,0.00126711884304695,0.0124013278080088,0.00318282426978625,0.00920638798416759,0.00138795989310797
"11431-44",340,0.00995033085316809,-0.7,0.25,0.1,0.0719122955552721,0.0109825117828819,0.00122642761707259,0.0107199783332775,0.00122992067546542,0.0131404141994337,0.00373134720757532,0.0116040981547308,0.00142585241818777
"11431-45",340,0.00995033085316809,-0.7,0.25,0.1,0.0718446797124829,0.0112831649432953,0.00125224249085435,0.0112086709045888,0.00125510436740263,0.00973429518314079,0.00382604162470272,0.0118103414525927,0.00132535455262954
"11431-46",340,0.00995033085316809,-0.7,0.25,0.1,0.0719062810392537,0.0116374389490394,0.00118056008833237,0.0118506196796891,0.00118978286812126,0.0121464347146424,0.00265906092563791,0.0116552679476729,0.00131236950645467
"11431-47",340,0.00995033085316809,-0.7,0.25,0.1,0.0718319459692251,0.00849638614671995,0.00125837179612539,0.00833733608777779,0.00125391429321945,0.0159377265073133,0.00451073049395834,0.00841110691025327,0.00138626357525011
"11431-48",340,0.00995033085316809,-0.7,0.25,0.1,0.0714609200255073,0.00882796370052267,0.00127132430501436,0.00860293281107275,0.00126040973695109,0.00901179984661401,0.00362689645427979,0.00844460332062468,0.00139698430586863
"11431-49",340,0.00995033085316809,-0.7,0.25,0.1,0.072132615777932,0.00956010779702787,0.0012124787853081,0.00954872360405705,0.00120509936584308,0.0120513142443256,0.00371153448651096,0.00980249883697841,0.00129531828402462
"11431-50",340,0.00995033085316809,-0.7,0.25,0.1,0.0720340656633533,0.00851812756526376,0.00126642518445528,0.00835200323638157,0.00125505791419656,0.0147350229804817,0.00390414132358732,0.00876681404465208,0.00130520104094694
"11431-51",340,0.00995033085316809,-0.7,0.25,0.1,0.0717721664749901,0.00945446017931601,0.00128185148566927,0.00936901539648336,0.00128377078772794,0.00843981075012876,0.00437171741014446,0.00953511061348872,0.00148599028626042
"11431-52",340,0.00995033085316809,-0.7,0.25,0.1,0.0714274870058762,0.0117130801336646,0.00119166650377173,0.0116400434185574,0.00117630327864407,0.00956951195138801,0.00353605968746683,0.0122810469327023,0.00125693832016923
"11431-53",340,0.00995033085316809,-0.7,0.25,0.1,0.0718806682551166,0.0111586262289557,0.0012430280130334,0.0113623963449556,0.00125280731824409,0.0099929525310842,0.00496552198684427,0.0114888077117531,0.0014168319847017
"11431-54",340,0.00995033085316809,-0.7,0.25,0.1,0.0718831210423361,0.0100719510373548,0.00119960150084251,0.00991631310319239,0.00118448610192429,0.00848398377733992,0.00410804386815422,0.0100991387349241,0.00131862219881117
"11431-55",340,0.00995033085316809,-0.7,0.25,0.1,0.0716299583799583,0.00833612785759933,0.00133289112423664,0.0082117809150813,0.00130808199067668,0.0110270811485327,0.00418847403137989,0.00874380023303111,0.00150521688278974
"11431-56",340,0.00995033085316809,-0.7,0.25,0.1,0.0718658140144311,0.0120677310684178,0.00111367197897025,0.011910573690969,0.0011039010971589,0.0165015500841636,0.00537368116669464,0.0122062388603971,0.00118928261369303
"11431-57",340,0.00995033085316809,-0.7,0.25,0.1,0.0718936390787175,0.00928529365240755,0.00108630579375541,0.00936766633649338,0.00107913636837941,0.018095318609535,0.00366509096005419,0.0102165704354393,0.00121221509246116
"11431-58",340,0.00995033085316809,-0.7,0.25,0.1,0.0716786993372861,0.0104200648314275,0.00127381311257341,0.0103108080585229,0.00127188469081414,0.00855348751508383,0.00531634957435847,0.0101633791020391,0.00138883117364485
"11431-59",340,0.00995033085316809,-0.7,0.25,0.1,0.071909909128619,0.00937540778862284,0.00141313714301602,0.00908853176516689,0.00138278118637501,0.0139456860613352,0.00530283417448578,0.00992226491896572,0.00158616805566446
"11431-60",340,0.00995033085316809,-0.7,0.25,0.1,0.0718799319329993,0.00888707243204415,0.00120594717300893,0.00890433859186322,0.00120865374859633,0.00607014784081127,0.00360490746765708,0.00879490336699534,0.00127185125367045
"11431-61",340,0.00995033085316809,-0.7,0.25,0.1,0.0716807817456596,0.0087493780774506,0.00129093116547604,0.00877589463120298,0.00128387144500219,0.00670185737478417,0.00302133144979004,0.00805468729258249,0.00136366678204087
"11431-62",340,0.00995033085316809,-0.7,0.25,0.1,0.0721088412135026,0.0104563628347548,0.001321478391155,0.01041143735266,0.00131406457869248,0.0124907858276292,0.00573354760252987,0.0103246284281844,0.0014594129800681
"11431-63",340,0.00995033085316809,-0.7,0.25,0.1,0.0712523067822847,0.0101255056256785,0.00128850824111323,0.0101842440324259,0.00128578736394643,0.00994027627342326,0.00483211027301369,0.0103254960506422,0.00163238229874154
"11431-64",340,0.00995033085316809,-0.7,0.25,0.1,0.072019419401198,0.00940733170187317,0.00110040369174066,0.0093595519286737,0.00110352526370393,0.0113127132083329,0.0030775224291139,0.00998153338688543,0.00116538741951478
"11431-65",340,0.00995033085316809,-0.7,0.25,0.1,0.0720330085818766,0.0111069661942242,0.00140478400136057,0.0109125059031855,0.00139553822828302,0.0109316650436196,0.00490587633254517,0.011308164274893,0.00156539980725951
"11431-66",340,0.00995033085316809,-0.7,0.25,0.1,0.0716686701370611,0.0111698490869767,0.00122283160488922,0.0110689825904584,0.00122129674868331,0.0194702244928046,0.0048889394507414,0.0116163611010084,0.001371661893955
"11431-67",340,0.00995033085316809,-0.7,0.25,0.1,0.0718423406970229,0.00841956364039752,0.00119337788167292,0.00802145970983305,0.00117592755018114,0.000638356624822974,0.0044536178665817,0.00802185894722088,0.00123172444181366
"11431-68",340,0.00995033085316809,-0.7,0.25,0.1,0.0717164353390331,0.010359140895233,0.00118332030998503,0.0103061935816741,0.00118453863276024,0.00602936774773027,0.00473475632785787,0.0104171315788547,0.0013306149026381
"11431-69",340,0.00995033085316809,-0.7,0.25,0.1,0.0712240483785578,0.0107877504580811,0.00136394138560103,0.0106467616855011,0.00134964612698188,0.0109646339073936,0.00460961252610882,0.0110155797940595,0.00151087518721358
"11431-70",340,0.00995033085316809,-0.7,0.25,0.1,0.0719971117597252,0.00939897614680168,0.00117048280103085,0.00922348299256388,0.00115932363415507,0.0109663874997898,0.00438431667641573,0.00933844718189857,0.00127566138461991
"11431-71",340,0.00995033085316809,-0.7,0.25,0.1,0.071645100723558,0.00703266543327708,0.00138910591852212,0.0068165329717366,0.00138119395552209,0.00890732777850595,0.00731368743016064,0.00740962668506687,0.00147708663469385
"11431-72",340,0.00995033085316809,-0.7,0.25,0.1,0.0717841405434783,0.00871954506727901,0.00138140744219913,0.00860747410941646,0.00137402686941,0.00266807414009717,0.00642036708266175,0.00908424635861243,0.0015297079944046
"11431-73",340,0.00995033085316809,-0.7,0.25,0.1,0.0719579469339329,0.00899629183905002,0.00118818802207855,0.00894522804410934,0.00118139412676457,0.00896783726746793,0.00415700306503557,0.0086035669821252,0.00131010188281419
"11431-74",340,0.00995033085316809,-0.7,0.25,0.1,0.0715000505739847,0.0114116618750424,0.0012937397198157,0.0113644886799299,0.00128887420395239,0.00820404107527925,0.00374234564943153,0.0113673379531663,0.00143161437433425
"11431-75",340,0.00995033085316809,-0.7,0.25,0.1,0.0718096989502095,0.013415416754649,0.00125140335231993,0.013554621042487,0.00126134954926424,0.0191331852160049,0.0045877425819813,0.0136283716666872,0.00153305606695796
"11431-76",340,0.00995033085316809,-0.7,0.25,0.1,0.071724609559313,0.00853077043252408,0.00141284424286112,0.00832107838092838,0.00139933663643627,0.00914030726680865,0.00413976986013817,0.00790939054376622,0.00158981113103174
"11431-77",340,0.00995033085316809,-0.7,0.25,0.1,0.0718761389986971,0.00923761840224068,0.00136937854858968,0.00908318965601636,0.00135530629344081,0.0106909049970534,0.00481849143706956,0.00954248299790826,0.00146046949496561
"11431-78",340,0.00995033085316809,-0.7,0.25,0.1,0.0719648236514136,0.00930462311225224,0.00118404727659038,0.00919129020744703,0.00118014711528656,0.0104995208245914,0.00323547613716246,0.00922985939805661,0.00121493479528725
