"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11425-1",2200,0.00995033085316809,-0.7,0.25,0.1,0.0717940864845228,0.010170753915886,0.000478346410597139,0.01001360983439,0.000476117831689759,0.00844274783016208,0.00165390963101407,0.0100837526944333,0.000545596850334035
"11425-2",2200,0.00995033085316809,-0.7,0.25,0.1,0.0717954301257007,0.0105229843332112,0.000474953257467624,0.0104069232133039,0.000472902371868311,0.0129900984848339,0.0014976700009106,0.0108237960200818,0.000526464746839485
"11425-3",2200,0.00995033085316809,-0.7,0.25,0.1,0.0719376511854005,0.00992014876071247,0.000484733463596481,0.009913006074674,0.000482855813460616,0.00762047829447663,0.00158924984873727,0.00984338969129628,0.000516572483607883
"11425-4",2200,0.00995033085316809,-0.7,0.25,0.1,0.0717482897835746,0.0102962167767488,0.000485056405878703,0.0102061578624459,0.000482608770157107,0.00916437231510167,0.00164521959066733,0.0102733792924037,0.000529870215450521
"11425-5",2200,0.00995033085316809,-0.7,0.25,0.1,0.0716805366111784,0.0113449958977965,0.000485632409018226,0.0111894485929635,0.000483623317602214,0.0107925259727403,0.00144776566296226,0.0109645637541432,0.000523179398970141
"11425-6",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718434672115264,0.0100619323526979,0.000470459832137565,0.00991703378188003,0.000468749600518506,0.00996807214346954,0.0015667069107673,0.0100764332783937,0.000500423358952812
"11425-7",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718479239397954,0.00952129112372549,0.000488551519487367,0.00943833914390813,0.000486293570586868,0.00936426298242194,0.00156761069244464,0.00958533714682402,0.000547276363319572
"11425-8",2200,0.00995033085316809,-0.7,0.25,0.1,0.07186177643899,0.0101287027198441,0.000461715448544599,0.0100269912124995,0.000459889202742564,0.00971608514685147,0.00139724930050398,0.0100157555640259,0.000478187239297508
"11425-9",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718135989288482,0.0110593303423048,0.000489577113404237,0.0108813254868171,0.000485778977747597,0.0129268590034598,0.00160719648516148,0.0109724440928484,0.00052456277992191
"11425-10",2200,0.00995033085316809,-0.7,0.25,0.1,0.0719927304703926,0.00991142239543623,0.00047981830242489,0.00993309684360038,0.000477756481999433,0.00857994595283788,0.00168149567872201,0.0100337379745925,0.000532291829894788
"11425-11",2200,0.00995033085316809,-0.7,0.25,0.1,0.0716057827541969,0.0097852551668965,0.000485661582801792,0.00969528861517724,0.000482795362490245,0.00687467494444128,0.00158432382658359,0.00967394597610541,0.00053114105510843
"11425-12",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718494573750456,0.00900508532589065,0.000487015541994575,0.00889957176806041,0.000485877930904143,0.00671663973019958,0.00157508367285336,0.00890250881063288,0.000542346603426758
"11425-13",2200,0.00995033085316809,-0.7,0.25,0.1,0.0717605074314723,0.00956854886270395,0.000487333333495393,0.00951947320301274,0.000486616498003908,0.00815564497927364,0.00161412654692608,0.00937175726786337,0.0005609538235519
"11425-14",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718192426681769,0.0102612918438192,0.00047652492211101,0.0102355987396222,0.000476146834134617,0.0112964490809928,0.00139352857367012,0.0103804136030004,0.000523908269698014
"11425-15",2200,0.00995033085316809,-0.7,0.25,0.1,0.0716302838860845,0.00932929351784036,0.000491336713828751,0.00919662566428399,0.000489953171015755,0.0100105673495141,0.00169855446811786,0.00904258088089936,0.000523551121948915
"11425-16",2200,0.00995033085316809,-0.7,0.25,0.1,0.071892053723169,0.0093687897786424,0.000461698731400212,0.00931451979424089,0.000460398486947936,0.00966996786757588,0.00128384508776502,0.00928939532295733,0.000499329805411661
"11425-17",2200,0.00995033085316809,-0.7,0.25,0.1,0.0716091720833156,0.0098976076168153,0.000508592841556104,0.00990656991465164,0.000508361383388459,0.0103763177456092,0.00170458296597284,0.00982729720243001,0.00054855790120335
"11425-18",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718506326486809,0.00987941054728089,0.000503131004319216,0.00975605823294669,0.000501840314899521,0.00995443168140561,0.00157053854387897,0.00964514238299881,0.000542278036253255
"11425-19",2200,0.00995033085316809,-0.7,0.25,0.1,0.0718301349482346,0.0103581008995752,0.000483336761599923,0.0102840477586668,0.000480955441397292,0.0111435788240089,0.00154731215046408,0.0104347157202745,0.000566316831217954
