"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-34",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113356694558981,-2.20638527025936,0.00336263929452809,0.0113016111928162,0.000915974770930614,-2.19236304757334,0.00270094100442987,0.0106641439249384,0.000904213200473345,-2.20813865522987,0.0100155932935946,0.0100246844284813,0.00266372057617339,-2.20655993988576,0.00636613173431428,0.0108830215261313,0.00169686316492864
"11422-35",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113369608149592,-2.20090082860936,0.00323273685674575,0.00958388702933122,0.000877922998503246,-2.18952071714283,0.00264460046221349,0.0092197308925924,0.000864436329906854,-2.20575729690349,0.0102740230405637,0.011640509313485,0.00286981176846246,-2.20037848077375,0.00423869669880966,0.00967605119995854,0.00143120020924447
"11422-36",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113642328989675,-2.19809371207535,0.00349042794698519,0.00905394166813907,0.00098432135918947,-2.18808727564529,0.00277385646855606,0.00883418810200308,0.00094419025095798,-2.2014294614475,0.0117125325009146,0.00814116153608534,0.00289640832974815,-2.1974919651253,0.00447673114728802,0.00886545827587903,0.0014702572284368
"11422-37",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113875031999058,-2.19710347069249,0.00339419122933536,0.00926940936216727,0.000917172786392063,-2.18559454713797,0.0027081787520027,0.0085890109639023,0.000871602317057373,-2.1973608390048,0.0114007563242448,0.0123673518083766,0.0037568509816575,-2.19719892796508,0.00438110324795948,0.00960998578207806,0.00140110808928247
"11422-38",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113764620021252,-2.19489581084314,0.00340290020670605,0.0088445826789833,0.00101328157598702,-2.18564926344022,0.00273959719487022,0.00860343327193485,0.000988175951919628,-2.20406030781311,0.0100238884942959,0.010804487164143,0.00220345291112693,-2.19480802109332,0.00474426731311954,0.00822848625481186,0.00151773103469972
"11422-39",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113872032428167,-2.1981463094272,0.00344678754670864,0.0099541371663383,0.00097219518282041,-2.1863277696244,0.00275199347820506,0.00926987879249738,0.00094865196792425,-2.19558085174527,0.00989344640836451,0.00987313540616386,0.00285391420868772,-2.19433502545533,0.00466914028161932,0.00891121717474573,0.00153796770139442
"11422-40",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11347574607436,-2.20091435302815,0.00338934562263246,0.00921053156184787,0.000892740055890314,-2.18983489025271,0.00274251824165693,0.00875891330636654,0.000874626325717565,-2.20944911575406,0.0104424295245481,0.0157157234127759,0.00317832384570922,-2.20319877281251,0.00502563565585677,0.0100896403089414,0.00150214800213708
"11422-41",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113872845738307,-2.19865466443212,0.00344220847561354,0.00972017807726601,0.000929040276545541,-2.18661200137096,0.00274692430146285,0.0089978160856413,0.000896136277349874,-2.20852030796896,0.0107422590131978,0.0100674784745396,0.00278683830307608,-2.19743027363117,0.00461847034628717,0.00903243498316932,0.00160145213751941
"11422-42",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113979864344323,-2.19809444235734,0.00330203475392613,0.0101939405429555,0.000885188035117079,-2.18608192508553,0.00267371952579157,0.00978863039826463,0.000848215115686438,-2.19951827465125,0.0100961753388397,0.0109453052532558,0.00228457826982699,-2.19825916440708,0.00415751343903866,0.0104636126257984,0.00118234736960348
"11422-43",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113481228037263,-2.19748527088355,0.00335764935922272,0.00854880564041655,0.000947300564373729,-2.18687320693158,0.00268034495224037,0.00775182486228113,0.000903384338582812,-2.20761333085672,0.0112489599367763,0.00814023109743077,0.00288542005886091,-2.19814380092825,0.0055533693049974,0.00839964274250229,0.0016602889809537
