"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0683407573804247,-2.7072578307681,0.00420588633197469,0.0102904073088956,0.00124944586430702,-2.69940470921781,0.00360798656821148,0.0100862589615419,0.0012310761879332,-2.71588188281706,0.0135782846435437,0.0156359083172695,0.00335306682636853,-2.7084803955389,0.00487833872398968,0.0105451058358641,0.00160064553363147
"11422-2",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688352789637486,-2.69649885237528,0.00451066315655648,0.00864683420517635,0.00141854593544613,-2.68953501071417,0.00375629424812368,0.00829207841303645,0.00138472624594261,-2.6896765549912,0.0142119792906925,0.0018868387671607,0.00517276114715628,-2.69486483692278,0.00462469278207467,0.00811925710678699,0.00149624807259442
"11422-3",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0690700940435027,-2.70161845391506,0.00427461759613956,0.0118714978227883,0.00123673732810453,-2.69190372855632,0.00363838086891681,0.011539898905191,0.00122201043146761,-2.72057917816787,0.0145484867626718,0.0169673490740994,0.00531093005176138,-2.70258679669967,0.00530385686661107,0.0123544744745522,0.00170514191300812
"11422-4",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0687835111507656,-2.70672856673347,0.00425419224099233,0.0111951052867808,0.00111095568738612,-2.69821259273006,0.00371995883002431,0.0109604196119926,0.00110412491961626,-2.68536284637195,0.0121794980637225,0.00779102943097303,0.0030015288490436,-2.70678751207618,0.00451726943892174,0.0109429198596782,0.00121315196057695
"11422-5",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0685692630410503,-2.69759571675899,0.00436095325325037,0.00796992890783417,0.00141062142721369,-2.69136018867647,0.00368413357554,0.00759309870995885,0.001396508887789,-2.70180708948222,0.0139915373755181,0.0125055107836313,0.00582890890112051,-2.70230989706602,0.00536739479561565,0.00997500138875143,0.00189842098030241
"11422-6",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688642941649718,-2.69645236149308,0.00413650902148563,0.00876034855307397,0.00118892142884142,-2.68940600821143,0.00355873434240117,0.0084921019821639,0.00117025732916164,-2.71453506237313,0.0131095975558321,0.0112687811026908,0.00328641318168144,-2.69884987188779,0.00520894592463321,0.00920959977972958,0.00165264456091483
"11422-7",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0691075686411597,-2.69321615688339,0.00428045095559466,0.00857256214198484,0.0012352211809659,-2.6864190607806,0.00365375501790895,0.00829091646128564,0.00120513533618486,-2.6927430296344,0.0154297465277825,0.00662960982756097,0.00548278887294028,-2.69460346039294,0.00472546010281984,0.00864586514711006,0.0013809096081519
"11422-8",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0694244152091445,-2.69816278948222,0.00454312038076932,0.0112957391575175,0.00125295289262872,-2.68996897970918,0.00389561392485303,0.0113446863026238,0.00125321543827221,-2.71167669030084,0.01278435721061,0.0140303495528629,0.00389650187802776,-2.69496820261909,0.00506428714887227,0.0104049192478642,0.00144956884431392
"11422-9",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0694316364581235,-2.68833443534066,0.00428617129650929,0.00804095623146518,0.00117360718860017,-2.68199871484685,0.00368311980841434,0.00796766738941935,0.00116744630393684,-2.68620498493311,0.0132887013513905,0.00810092966458426,0.00319591743893569,-2.68896486716171,0.00470851357940911,0.00815160985866533,0.00138732053442094
"11422-10",390,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0691415158943438,-2.70260483611832,0.00424854972468874,0.0114989255172892,0.00110624435963367,-2.69356700253773,0.00369342215063275,0.0112749261593344,0.00109652764690501,-2.7150446340545,0.0121808987917405,0.0147871238846661,0.00246681432232821,-2.70177350197245,0.00447244005165003,0.0113639885158072,0.00121640010786232
