"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113671450716049,-2.1984472709453,0.00137954054310276,0.00964414541251366,0.000378979979383638,-2.1915728311752,0.00120996947846787,0.00959693441802236,0.000378797548175528,-2.20005074134627,0.00441980084446347,0.0104391340129597,0.00122190761579361,-2.19865724278483,0.00145377454789986,0.00969157513482514,0.00040938254875674
"11422-2",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113514614294938,-2.1996952612822,0.00138933376064818,0.00964980933702035,0.000386846698918899,-2.1928391338374,0.0012152078680881,0.00961347485331632,0.000386876224920862,-2.20460808712574,0.00451553411115119,0.0113130329501701,0.0012501737784689,-2.199325497165,0.00140334393373813,0.00958079741298592,0.000395060230693543
"11422-3",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113571046373268,-2.19989137020911,0.00138450128889669,0.00968677737483243,0.000373917109067035,-2.19296940943667,0.00121386339416281,0.00962212932737053,0.000371123001630984,-2.19658794721611,0.0044986007771229,0.0086963072546018,0.00125124234364948,-2.2001468276655,0.00141080274170303,0.0097501830260063,0.000386518695797292
"11422-4",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.11342280045692,-2.20032733965269,0.00141383130721962,0.00944084904545349,0.000394843611636814,-2.19365704007568,0.00123214123450046,0.0094203524876691,0.000394384177664412,-2.19061409145214,0.00434555762057338,0.00889448031856231,0.00108296443262743,-2.20007601641564,0.00144752387964239,0.00942507815177644,0.000416474345390384
"11422-5",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113706412969885,-2.20002329450793,0.00140225815291071,0.0101726666899374,0.000383044996818464,-2.19268400336838,0.00122720874493547,0.0100385095071139,0.000381615667339513,-2.19873895830619,0.00449898735233431,0.0100726414492944,0.00125709655789279,-2.19966622122659,0.00144511886115952,0.0100894075304246,0.000400624166164315
"11422-6",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113688077845799,-2.20126570693067,0.00139559549931524,0.0104771959045507,0.000375028432470525,-2.19380489939542,0.00122429270789559,0.0103906846027908,0.000372853182055195,-2.2117778086597,0.00449421332870552,0.0121607227151357,0.00114632656574811,-2.20168437090254,0.00145211587054438,0.0106734581686284,0.000400167575489492
"11422-7",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113813729863859,-2.19891284501932,0.00138515243072269,0.00988364753149441,0.000365333632817544,-2.19188272829461,0.00122001427725976,0.00982290741038353,0.000364263991831904,-2.20121503677014,0.0041882012536985,0.01087080870039,0.00110176942732514,-2.19851456080709,0.00144311133705486,0.00975060217958196,0.000395431995605535
"11422-8",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113723699900081,-2.19857659115058,0.00140644621354982,0.00947656461150958,0.000378528365729041,-2.19192346668264,0.00123376301374155,0.00943282272049014,0.00037746499050588,-2.20037741347763,0.00440481712633313,0.00952332535683913,0.00105752978464131,-2.1985769125032,0.00151609052308543,0.00944315592041537,0.000425154390738525
"11422-9",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113696759607735,-2.20005583484342,0.00140881074189368,0.0101637063262882,0.0003868579939756,-2.192810066249,0.00123042216857717,0.0100958872510074,0.000385432547574054,-2.20372127454329,0.00473897824019662,0.0127103602779524,0.00138156925868345,-2.20039937350956,0.00146064062171577,0.0102228833897387,0.000399992735033828
"11422-10",2169,-2.2,0.00995033085316809,-0.7,0.2,0.1,0.113804157438235,-2.19729595723166,0.00139847260400063,0.00961870099340334,0.000389044669862061,-2.1903546064935,0.00121966849925354,0.00951429375743234,0.000386854437606743,-2.19309951438433,0.00439322546527489,0.00875549858952552,0.00113884926321145,-2.19751131999097,0.00145035320257943,0.00967284836579011,0.000405685875492642
