"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-1",2200,0.00995033085316809,-0.7,0.9,0.1,0.0717187777284252,0.0103858458457385,0.000475177208206092,0.00962222904445642,0.000457819550315344,0.0119102693152148,0.001469672165028,0.0103187198011346,0.000746919486847082
"11427-2",2200,0.00995033085316809,-0.7,0.9,0.1,0.0718406138208389,0.00995798919474282,0.000466198448477603,0.00943695141127229,0.00045511785026919,0.0127127300582977,0.00154229038500153,0.0103448468744326,0.000737379031408111
"11427-3",2200,0.00995033085316809,-0.7,0.9,0.1,0.0717828750360416,0.00987458691036706,0.000475505762339518,0.00901169767411015,0.000460881316694361,0.00911979434337686,0.00135736291732847,0.00917584582968869,0.000656398259260462
"11427-4",2200,0.00995033085316809,-0.7,0.9,0.1,0.0718053703985177,0.0107969883959357,0.000480662690294008,0.0102207991192451,0.000470368822302779,0.0104711539793142,0.00133015366316629,0.0106318364471497,0.000782243753456565
"11427-5",2200,0.00995033085316809,-0.7,0.9,0.1,0.0719507637868144,0.009341272688539,0.000487097690992006,0.00879522865428092,0.000471908365125256,0.00818744648718804,0.00173900826673632,0.00955700180110344,0.000697268586725602
"11427-6",2200,0.00995033085316809,-0.7,0.9,0.1,0.0720253904929791,0.00992701863062415,0.000462551145635952,0.00929463653185366,0.000450269726000755,0.0106733608705549,0.00132373213045306,0.00977880767297882,0.000639275958128363
"11427-7",2200,0.00995033085316809,-0.7,0.9,0.1,0.0717518185503213,0.0100110343504845,0.00048325434465506,0.00943407351907124,0.000471693239874236,0.00976113363589902,0.00171236523353395,0.0105115181175678,0.000855548532094687
"11427-8",2200,0.00995033085316809,-0.7,0.9,0.1,0.0717428218276766,0.00941911941180807,0.000480899543411715,0.0088536649608388,0.00046643695550689,0.00809929633257519,0.00141731388243823,0.00911154683955235,0.000716446250732529
"11427-9",2200,0.00995033085316809,-0.7,0.9,0.1,0.0719129540506339,0.0100861087681039,0.000455538564594199,0.00947054282490125,0.000440051939165077,0.0111218889142856,0.00133804205239785,0.00929970921015293,0.000678154267733516
"11427-10",2200,0.00995033085316809,-0.7,0.9,0.1,0.0717811937912699,0.0100834924059817,0.000462828620655783,0.00950620751398253,0.000450253829625204,0.0110745220499126,0.00144749528996563,0.0101410519798778,0.000649390765083296
"11427-11",2200,0.00995033085316809,-0.7,0.9,0.1,0.0719042420826732,0.0100755875510535,0.00046973344919574,0.00945079311721649,0.000457936710358987,0.0105264342674457,0.00148905478169166,0.0103214729951556,0.000719106465515585
"11427-12",2200,0.00995033085316809,-0.7,0.9,0.1,0.0719144183668347,0.00995850437554945,0.000440471163222817,0.0093396022900559,0.000429826574169799,0.00863957634009559,0.00166612002646721,0.0101386904330421,0.000609787237611107
"11427-13",2200,0.00995033085316809,-0.7,0.9,0.1,0.071820380776252,0.00887509044677463,0.000494631926860987,0.00847939026663574,0.000480960661521454,0.0084249649136032,0.00178136674335988,0.00906118409977085,0.000851357705571227
