"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113636365400398,-2.20007235597489,0.00137997272003875,0.010162174979309,0.000378570869309485,-2.19376268378134,0.00124302283252087,0.0105919287762054,0.000408086812400699,-2.20018886318546,0.00456837830315113,0.010645509064957,0.00129495129629971,-2.19932559200012,0.00157921864572309,0.00973397335326962,0.000422608528493193
"11422-2",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113565510344251,-2.20033858061478,0.00140032227206333,0.0101391679972238,0.000395245121907876,-2.19431632536461,0.00125716274318402,0.0107103967046759,0.000427698993785369,-2.20396457307291,0.00447973680346243,0.00923505972010251,0.00125492599283302,-2.19965078484899,0.00180976917863156,0.0098032441144536,0.000577478533968106
"11422-3",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113741041180115,-2.19870046602175,0.00139488482902413,0.00971860852875649,0.00037685057774751,-2.19263493789221,0.00125221642053212,0.0102473491506921,0.000407286808558493,-2.20202372943122,0.00469570459991043,0.0107913023518152,0.00149627607216081,-2.19929400759287,0.00182008162004085,0.009799831327561,0.000560669206304591
"11422-4",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113534973662363,-2.20009138811375,0.00140825365783749,0.00984407687013077,0.000395855989245459,-2.19410107882701,0.00125938962582568,0.0104913060422261,0.000431171906431928,-2.19954764528767,0.00430832339976593,0.0097322284271905,0.00114899608683698,-2.20015591527836,0.00207521744278534,0.0100939328967833,0.000671445072807316
"11422-5",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113693164100654,-2.19991290910949,0.00141034178288306,0.0101873920483344,0.000391465305312712,-2.1937885544378,0.00126455445378249,0.010877326254175,0.000427165175784882,-2.19575578423997,0.0046942411024894,0.00865755953150447,0.00140567704809608,-2.19839819103612,0.00208165300852535,0.009584478092123,0.000716262633120041
"11422-6",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113623334748108,-2.20026641557959,0.00139826093101309,0.00984877923852678,0.000376657126705541,-2.19440243364784,0.00126169457868859,0.0105957405430578,0.000414933956533942,-2.20204575003682,0.00448408728959539,0.00922050314968205,0.00115447646157691,-2.20135470565764,0.00188656795727718,0.0102312960727034,0.000590577617182369
"11422-7",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113492443591367,-2.20118401660845,0.00139941364367243,0.0101634728475742,0.000391667430649409,-2.19516275306476,0.00125337255697292,0.0108463243559438,0.000423727217847531,-2.19952123981481,0.00451576606598116,0.00926109484784187,0.00130670471995928,-2.2017816798499,0.00185717987134383,0.0104150648779486,0.000566465499324354
"11422-8",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.11367979249921,-2.1979876549059,0.00139738463802062,0.0095224658645096,0.000390866768882372,-2.19203586429493,0.00125301712487158,0.00998895641579261,0.00042421417948586,-2.2024687771097,0.00440159270238499,0.0106852352693156,0.00117651877313715,-2.1982065787308,0.0016926265345641,0.00967009516049072,0.000510753668891721
"11422-9",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113828906588797,-2.19807203892193,0.00143361990588476,0.00977369472857574,0.000398729427491358,-2.19103583876594,0.0012782301583105,0.00985133747563554,0.000433859795682565,-2.20057823308405,0.00439566087696898,0.0100389058252107,0.00110316399494441,-2.1984190687213,0.00174434916508778,0.0100041709045668,0.000528569718476979
"11422-10",2169,-2.2,0.00995033085316809,-0.7,1,0.1,0.113538115572709,-2.20220564978771,0.00142076364132776,0.0103627591169103,0.000390104863681658,-2.19522601414052,0.00126736380001081,0.0107264597797393,0.00042240429070725,-2.20280244616712,0.00441864615530979,0.0112762160997535,0.00128318469557653,-2.20194786618991,0.00222885040210817,0.0100758919733484,0.000648464064182613
