"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11426-1",340,0.00995033085316809,-0.7,0.5,0.1,0.0719607700404248,0.00923143775192932,0.00102144978972491,0.00895709729559283,0.00101067381481058,0.0125071484374706,0.0037342129059998,0.00944062570450564,0.00112853415670522
"11426-2",340,0.00995033085316809,-0.7,0.5,0.1,0.0719044595372086,0.00901360261553065,0.00120289952015379,0.00872304476267629,0.00119514947452786,0.00695202647705792,0.00394180509849689,0.0100739959470778,0.00178582197948985
"11426-3",340,0.00995033085316809,-0.7,0.5,0.1,0.0714091146557002,0.012718535927206,0.00141908724465208,0.0122423716639057,0.00139052664516911,0.0161521461313096,0.00443471817614895,0.013876270777051,0.00187212533819239
"11426-4",340,0.00995033085316809,-0.7,0.5,0.1,0.0719449742338533,0.00771941728951057,0.00133201641104348,0.00773552708499152,0.00132162964952686,0.0175156587861564,0.00470113281297765,0.00799983264013947,0.00175479879452476
"11426-5",340,0.00995033085316809,-0.7,0.5,0.1,0.0715292155921551,0.0127049091467513,0.00154172059598345,0.0125145800342392,0.00153275457807601,0.0141289651717741,0.00624370821847576,0.0124193489721785,0.00229223705734215
"11426-6",340,0.00995033085316809,-0.7,0.5,0.1,0.0716325273033129,0.0112521743655274,0.00142356965629412,0.0103125539999729,0.00138446584121184,0.0127033005749565,0.00420643443227117,0.0114631610302352,0.00201424530018939
"11426-7",340,0.00995033085316809,-0.7,0.5,0.1,0.071802901854457,0.00791724663540064,0.00120552310376792,0.00757493848222703,0.00119792872175989,0.00619607313394445,0.00339833389448423,0.00652699119352733,0.00144528061406006
"11426-8",340,0.00995033085316809,-0.7,0.5,0.1,0.071769284503651,0.00914404579649996,0.00126941421496882,0.00883577843776028,0.00125872190969814,0.00570250636066397,0.0036652166061411,0.00974628752369905,0.0015695200170715
"11426-9",340,0.00995033085316809,-0.7,0.5,0.1,0.071946520637862,0.00980746195307927,0.00123281031363774,0.00937557779324334,0.00119740404528709,0.0145636172969958,0.00482876491765144,0.00948674799534217,0.00152306374584492
"11426-10",340,0.00995033085316809,-0.7,0.5,0.1,0.0715209625760203,0.00964632936465855,0.00113812854662262,0.009367833632762,0.00110975652998116,0.0133508545372988,0.00456989236469049,0.00991538973354923,0.00139143999001227
"11426-11",340,0.00995033085316809,-0.7,0.5,0.1,0.072297893075564,0.00833142704498134,0.00114382476893387,0.00799618468818159,0.00112473658469363,0.00251397569299405,0.00356945308596866,0.00778269987887352,0.0012927026981856
"11426-12",340,0.00995033085316809,-0.7,0.5,0.1,0.0722997814697069,0.0100214876465925,0.0012047390371127,0.00977257427748765,0.00118417706364521,0.0152789962687779,0.00311392522259953,0.0109056695499586,0.00145190564111468
"11426-13",340,0.00995033085316809,-0.7,0.5,0.1,0.0714778456254964,0.0100266126222981,0.00112884979478166,0.0100428356611817,0.00113180884112178,0.0107825161652234,0.00231407884825562,0.00994526561581836,0.00132515269181986
"11426-14",340,0.00995033085316809,-0.7,0.5,0.1,0.0719262461945412,0.00991049982848769,0.00130876852799698,0.0096286873096593,0.0012852163208386,0.00538220539009572,0.00401570897466138,0.00960585050972528,0.00160285443317051
"11426-15",340,0.00995033085316809,-0.7,0.5,0.1,0.0716107105094321,0.0091763549513414,0.00125125309044763,0.00871587353217155,0.00123429130909268,0.00639029599446442,0.00453978322801182,0.00994073095225628,0.00153579347722791
