"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.068957503054043,-2.69934173249252,0.00174651927021493,0.0100381729355686,0.00047851784922574,-2.69193003574974,0.00152258466314525,0.00994549357926577,0.000473763936735087,-2.70171368701163,0.00539915021629683,0.0103357761851659,0.00150657516594362,-2.69975352307105,0.00184310593537314,0.0101335037372503,0.00052743781697929
"11422-2",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689271076622075,-2.70011854067073,0.00177799671446474,0.00994195164258352,0.000485894818532628,-2.6919946809371,0.00154112222388813,0.00950746362801068,0.000481893277193482,-2.70555031825325,0.00557596169198052,0.0110990405620894,0.00159745722264676,-2.69961916635955,0.00213937897082755,0.00986693491596506,0.000628245005219661
"11422-3",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.068827726274331,-2.70118567090178,0.00174740764267011,0.0101414572730406,0.000484671131854568,-2.69348533137561,0.00152057956527958,0.00995868551115771,0.000481153712221076,-2.6972941781939,0.00560195386478856,0.0100508436610557,0.00145526157183616,-2.70115019145814,0.00200747362087352,0.0102070059716276,0.000622813459815169
"11422-4",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689491258067384,-2.70197099098073,0.0017656975149239,0.0109080822750598,0.000482996287339619,-2.69359613002612,0.00153441526250855,0.010661844813318,0.000477990707290654,-2.70574473152685,0.00554200114515374,0.0116889172025237,0.00132904989384473,-2.7025427404936,0.0020392396519987,0.0110566506974704,0.000610593856306795
"11422-5",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689825519699046,-2.6977110974984,0.00178817239696579,0.00926056574235709,0.000488549020951698,-2.69036860131133,0.00154904647802241,0.00896266465226774,0.000484104659762678,-2.69340496477786,0.00599984157965399,0.00833492569907774,0.00171660506046571,-2.6988258982274,0.00188845675934224,0.00957587710740669,0.000543315732062492
"11422-6",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0690586574513649,-2.69958884224239,0.00176060412207161,0.0107166145549249,0.000486130437363741,-2.69127504381058,0.00152521799829861,0.010505132874224,0.000481304166147142,-2.69552052343325,0.00559112387494684,0.00946889310977056,0.00159919068651742,-2.69841750688807,0.00196812583668584,0.010347865864493,0.000587351833606862
"11422-7",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689075897347063,-2.70135821419548,0.00181679813937667,0.0102072596661898,0.000500918918262407,-2.69357583335677,0.0015645282271985,0.0101185758585124,0.000497176657591152,-2.69966832137852,0.00583708282930771,0.00983413094776992,0.00166805865888232,-2.70163889334114,0.00196124906822933,0.0103725930455995,0.000568461054821604
"11422-8",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688805824336885,-2.70109427860009,0.00179914835585164,0.00994245100759108,0.000491302225570471,-2.69357649261021,0.00155605773187309,0.009802752272389,0.000484812458675078,-2.70000875820629,0.00541625716395326,0.0113452711176965,0.00175455381301241,-2.70162806963403,0.00198461704564994,0.0102138877312239,0.000604356839375211
"11422-9",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689929478688703,-2.69933491977109,0.00179052720577903,0.0097378325298997,0.000479920193923008,-2.69174597514691,0.00155365596881982,0.0094765860824174,0.000473407511955222,-2.69317162126756,0.00561213099499067,0.00830580340625935,0.0014477610541908,-2.69936505583776,0.00190311223503594,0.00975334642266869,0.0005300732105246
"11422-10",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689880854974131,-2.69848330792753,0.00176777369742357,0.00980915355239487,0.000488309010002053,-2.69101692142725,0.00153715028457828,0.00964067969078871,0.000487448177740721,-2.69715958646836,0.00573236832756759,0.0101972467673562,0.00174827931033613,-2.69876041536936,0.00195335318493636,0.0099839394573543,0.000590606321559315
"11422-11",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0691283836543035,-2.69656455188693,0.00177637410460612,0.00963866214020617,0.000482269203111849,-2.68898845517086,0.00153848764206353,0.00940382414371753,0.000476752123668511,-2.7008107377767,0.00567075095397562,0.0111218371143624,0.00149652358175984,-2.69644397961384,0.00215812818287357,0.0096630740562882,0.000615671552422735
"11422-12",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.068818888352378,-2.70159111798749,0.00177015585440658,0.010017556609301,0.000485353265285447,-2.69393605733803,0.00153586522857456,0.00985478224445951,0.000480899160412093,-2.71121443391438,0.0057082187151086,0.0122966064823039,0.00162811902596958,-2.70071671540336,0.00188324338146947,0.00978572849842478,0.000546029487554805
"11422-13",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689703408540159,-2.69577607755911,0.00177462526037327,0.00843107595944332,0.000481027204448933,-2.6892134830133,0.00153608069411824,0.00829579630374043,0.000475759162266086,-2.6884407400963,0.00592622585439053,0.00580631219324226,0.00177940209546697,-2.69551802950686,0.00192856321607504,0.00839501652922556,0.000555858071727563
"11422-14",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.069082317432572,-2.70057021239391,0.00175093750904809,0.0109139619868354,0.000465788046664118,-2.69191939041287,0.00152648010093885,0.0106260212859556,0.000462654546631279,-2.70198070992823,0.00524040725051569,0.0110448883815525,0.0013073094017662,-2.70007691920252,0.00186565776326391,0.0109008249324233,0.000518649018408388
"11422-15",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0687870926759235,-2.70163738276407,0.00177163472797754,0.0100917244309008,0.000498485513629505,-2.69377754972724,0.00153116028460849,0.00986008100736557,0.000494723931607009,-2.70690819805008,0.00592205388769501,0.0131013678757932,0.00187846354454403,-2.70143606614727,0.00201908871261808,0.00981677156143365,0.000554778225763565
"11422-16",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688967124118238,-2.70100663956472,0.00177914186464651,0.0101562043929767,0.000487415899544559,-2.69301657498332,0.0015395260121437,0.0099077696948361,0.000482641849914433,-2.69967502291368,0.0055797038728967,0.00949355710059338,0.00143293163853644,-2.69991868461465,0.00193180195203982,0.00995733776261124,0.000581395145327754
"11422-17",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0687035994982435,-2.70336550219233,0.00178737942882205,0.0100681624271015,0.000496338421967073,-2.69570943188516,0.0015452876396011,0.00991638227914492,0.00049123378476332,-2.70434678643148,0.0054506549924743,0.011873088103438,0.00143842921117242,-2.70282298632413,0.0020032751564805,0.00967869019978729,0.000604287687677206
"11422-18",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.069051923914292,-2.69879916335413,0.00181093984977083,0.0100461516977386,0.000499874426308996,-2.69077300051874,0.00155699130718704,0.00972950077867414,0.000492146024236787,-2.70158945571109,0.00554039769594712,0.00932621756722801,0.00137192655622082,-2.69690274504852,0.00200665229342128,0.00939219862880108,0.00060355034433604
"11422-19",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0687826175596752,-2.69994551971129,0.00178776049572852,0.00940158046996449,0.000509280409570493,-2.69271703318424,0.00154025900686662,0.00922561017870632,0.000505270603744122,-2.69295784889587,0.00537131775573617,0.0071274459767283,0.00147763203876026,-2.70068294616333,0.00203984134554193,0.00956660243601538,0.000644678035616943
"11422-20",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.068909144666774,-2.7001400484816,0.00177938745235112,0.00990187114610776,0.000487952652345862,-2.69223826049525,0.00153932588305834,0.00960338876291447,0.000483392093253757,-2.70841647611503,0.00558630114862384,0.0109587021958359,0.00158047888808772,-2.70009155059672,0.00196089555169485,0.00995629830849224,0.000595854804172988
"11422-21",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689194055802506,-2.6993750632303,0.00178936191346025,0.00964601468715502,0.000493772719163449,-2.69212081045566,0.00155190370438031,0.0095167037532832,0.000491273842962953,-2.70076810667481,0.00552495547402899,0.00949958069291206,0.00148041504876279,-2.69797566247735,0.00198688104011537,0.00910612264215361,0.000567735233813384
"11422-22",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0690724967293861,-2.69721381268894,0.00181744909640174,0.00965541704098047,0.000509672013395404,-2.68942054920065,0.00155849632413509,0.00932312486677333,0.000503365915199705,-2.69220497485692,0.00577568204599645,0.00954361302430138,0.00174247060686435,-2.69767808170346,0.00204194330582884,0.00983728297207787,0.00062195836260008
"11422-23",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689530246760497,-2.70164424178225,0.00181486444862,0.0108214733771231,0.000511500700419132,-2.69353009344226,0.00156261170603228,0.0106421034708622,0.000504389935554473,-2.71146762660844,0.00562384319247744,0.0117909262521337,0.00169946552620216,-2.7019771478941,0.00202052686503866,0.0108646189000444,0.000584763821753475
"11422-24",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688236961505019,-2.70102108312804,0.00178699400700832,0.0099377122686829,0.000501644080997456,-2.69320676861365,0.00154000991068548,0.0096806054535647,0.000496203383561429,-2.70208350620369,0.0054634193432488,0.00909224913397684,0.00153504315146727,-2.70112512338295,0.00197345925904071,0.00993856168309292,0.000612931480448251
"11422-25",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689129575076592,-2.70147543256528,0.00177497574454601,0.0104712350352977,0.000487043119454043,-2.69368220459366,0.00154028970454766,0.0103840124558323,0.000482366286413197,-2.71107469035953,0.00579364979482435,0.0116495996412606,0.00160429402222323,-2.700184870725,0.00203548988375265,0.00995593180306098,0.000626090975665201
"11422-26",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689543489756792,-2.69844056433399,0.00177838510269756,0.00939746415227183,0.000483360619736243,-2.69112524675059,0.00154084219615463,0.0091916742088933,0.000477761997469643,-2.6975045595581,0.00534584570792808,0.0104030174147136,0.00127691982027136,-2.69819465012727,0.00207340041144718,0.00921544937088803,0.000618096767533858
"11422-27",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689620198905007,-2.70096889486281,0.0017572028215657,0.0103177895871633,0.000466026853154543,-2.6930229203475,0.00153415859270091,0.0101181013024204,0.000462490983939804,-2.68936023873583,0.00544075227567597,0.00744001147587048,0.00158014418572311,-2.70049098505093,0.00195377859683486,0.0101791198739495,0.000548115211473604
"11422-28",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688932770137998,-2.6989385646678,0.00178742205949532,0.00944241677261942,0.000498819093668252,-2.691506527328,0.0015416785172166,0.0091402011442837,0.000490627354366116,-2.70046155453757,0.00619581630866605,0.0099136969256339,0.00178037773952421,-2.70000750733205,0.00197854106807397,0.00983574276174248,0.00058914022273375
"11422-29",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689885373543851,-2.69965713297408,0.00177446100647587,0.010107499206241,0.000483577297491983,-2.69202187701895,0.00153901971328377,0.0100077524727652,0.000479078878901451,-2.69386090940868,0.00533178837819454,0.00873502264152929,0.00130471101535715,-2.69934973198563,0.00194896048117885,0.0099008195909657,0.000573665787395429
"11422-30",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689235001691056,-2.69905829865405,0.00177733672176297,0.00991942134454166,0.000506580056387877,-2.69141699693632,0.0015306056637862,0.00971039385830282,0.000499614876461074,-2.69109879097681,0.00559253452330236,0.0081739006372325,0.00165704653661241,-2.69975073743036,0.0019535679348664,0.0103035332722352,0.000576299791512498
"11422-31",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0686527988236331,-2.70384073094993,0.00177596488243154,0.010274050090177,0.000504546931443644,-2.69581326061566,0.00153138675035363,0.00999289737414294,0.000498327675439116,-2.7020586984894,0.0057477832641922,0.0109094845780158,0.00176153868869372,-2.70415878261816,0.00202162400192219,0.010428353236957,0.000620352509994226
"11422-32",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689072189572471,-2.70191563174635,0.00181183171878797,0.0104446781331236,0.000499112562605651,-2.69368462988931,0.0015597174255334,0.0102254207926259,0.000494923054423707,-2.70851105377593,0.00575064362533812,0.0110742419872694,0.0015492994860603,-2.70398828746773,0.0020099705040978,0.0111315426391042,0.000600176877279435
"11422-33",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689015475720269,-2.6992932126885,0.00177810969611034,0.00973676904751252,0.000498374321465466,-2.69163468280037,0.00153554639287971,0.00943038511442442,0.000491728711570016,-2.70348775104867,0.00572343659194968,0.00979958655592937,0.00171606808567426,-2.69940933347164,0.00194570150316683,0.00983695179030199,0.00057475766844428
"11422-34",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.068800050023728,-2.699452027216,0.0018000481548369,0.00896059896995524,0.000496938658438229,-2.69235022508606,0.00155224080581495,0.00872788079261764,0.000492475920019156,-2.69309850850649,0.00560580401454551,0.00694846255350391,0.00178547126906332,-2.69833980029307,0.00195670965792929,0.00865516295835497,0.00059957542250942
"11422-35",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688055442157534,-2.70338816829948,0.00177206110636426,0.0106374945034698,0.000486107247651197,-2.69536622921924,0.00154087073916225,0.0104436546424504,0.000481582439134389,-2.71058894210346,0.00555961430865306,0.0126789491692347,0.00146731623689617,-2.70345498670829,0.00194093096368671,0.0107104012578356,0.000596397151511546
"11422-36",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688123753187893,-2.70199765065722,0.00178103437531354,0.00980007972995201,0.000475917260813335,-2.69459686954948,0.00155124512472476,0.00965881063804605,0.000472198844393338,-2.69873035007523,0.00552815336547538,0.00906103871525253,0.00138852913813654,-2.70202543221592,0.00200122225958799,0.0097677701981951,0.000583910461143036
"11422-37",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0687703128621789,-2.70174819237461,0.00180622925526297,0.0100570038713455,0.0005199889239954,-2.69368528884941,0.00154899302208098,0.00970112849516001,0.000515806113520165,-2.70424014601308,0.005675514270339,0.00973751990865953,0.00161329995797393,-2.70129174364009,0.00194228405831532,0.0100570017490131,0.000611285137079789
"11422-38",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0689847717953452,-2.70124335668322,0.00176849171468562,0.0108260070069191,0.000484242868538651,-2.69290333881132,0.00153247620900223,0.0106712871537107,0.000480301784781628,-2.69152939948659,0.00543776377234207,0.00920365526569435,0.00133385867830097,-2.70128125811977,0.00210806017131525,0.0107157931538843,0.000615626887903762
"11422-39",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688552823888763,-2.69893792747714,0.0018103150633902,0.0093568497109942,0.000519010063487665,-2.69166148162585,0.00155121039868962,0.00910948475166287,0.000510527758792114,-2.70105282933953,0.00569171192005,0.0081461129431396,0.00152036672433686,-2.69761295288253,0.00213822486022336,0.00888604989285812,0.000622006614473737
"11422-40",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688083082884273,-2.70379998107307,0.00180095698210712,0.0108891253147903,0.000505493852423627,-2.69532289793378,0.0015513042132455,0.0106336101954888,0.000500453114648533,-2.71906484921625,0.00607678929048627,0.013214573654809,0.00190091807477541,-2.70320655653139,0.00192786603851763,0.0107570392035723,0.000563264987466676
"11422-41",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688213116312063,-2.7017165267224,0.00176990998596438,0.0102474096461876,0.000494092937117311,-2.69398465256404,0.00153655109127181,0.0100663068839482,0.000490887639582739,-2.7090054875651,0.00573549018651086,0.0120067547655522,0.00152003751650664,-2.7014871391446,0.00198180020793262,0.0101421152935691,0.00058593651803062
"11422-42",2200,-2.7,0.00995033085316809,-0.7,0.4,0.1,0.0688645135400922,-2.70216818674961,0.0017734796513864,0.0103176389027682,0.000478832871803742,-2.69411672201185,0.00154116213341772,0.0100490262700798,0.000473873648240295,-2.70598129188164,0.00555825248659178,0.010759863805401,0.00157515447963924,-2.70268107364251,0.00193625825943914,0.0104392966629512,0.000570246904527337
