"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11423-1",2200,0.00995033085316809,-0.1,0.6,0.1,0.0720052841993472,0.00938811376653154,0.00048905106005653,0.00919252512558406,0.000482800138759941,0.00942707942423394,0.00146572710056032,0.00918296648680787,0.000583680951029135
"11423-2",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717084584458796,0.0105051221800077,0.000481533583304169,0.0102283925136237,0.000478190090049413,0.0119791035957181,0.00148235576468378,0.01094493303621,0.000594680710494815
"11423-3",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717165128514263,0.0104917727494981,0.000490694501555919,0.0102881312617324,0.000486056684927286,0.00841140211929039,0.00141972120204698,0.0104745405435703,0.000539438145156687
"11423-4",2200,0.00995033085316809,-0.1,0.6,0.1,0.0718207185953466,0.00956115561103509,0.000484250069248361,0.00934512844145178,0.000478382988420193,0.00824452480784309,0.00164548795490994,0.00959291045377022,0.000546638343092786
"11423-5",2200,0.00995033085316809,-0.1,0.6,0.1,0.071911617565791,0.00964062590645934,0.000497941569871692,0.00935140112845674,0.000492926041610464,0.00964640379300575,0.00148113196021981,0.00956816235352837,0.000602218079250901
"11423-6",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717509764979568,0.0107043564687807,0.000481721027884582,0.0103982898855366,0.000475174484689733,0.0106266651864687,0.00167464447131035,0.010742402827178,0.000671435175542476
"11423-7",2200,0.00995033085316809,-0.1,0.6,0.1,0.0719008721910173,0.00966552112385816,0.000477005158630805,0.00945967881250335,0.000473496282485754,0.0106372709956261,0.00136367329688853,0.00966231698277583,0.000577471447521081
"11423-8",2200,0.00995033085316809,-0.1,0.6,0.1,0.0718408791424111,0.0100933957981375,0.000464513511425598,0.0100467055234737,0.000460916184300982,0.0118674063544701,0.00145811834666232,0.00997423571435054,0.000643480160268743
"11423-9",2200,0.00995033085316809,-0.1,0.6,0.1,0.071821356525025,0.0101661559552927,0.00050387170502451,0.00992067382836259,0.000498355031233343,0.00873962534089629,0.00149035554410797,0.00980847388733959,0.000586197999648906
"11423-10",2200,0.00995033085316809,-0.1,0.6,0.1,0.0718802017623359,0.0112373739793726,0.000485169809714343,0.0110101918321266,0.000482100406728703,0.0115205823064339,0.00144545071681408,0.0116209023505066,0.000558875739827177
"11423-11",2200,0.00995033085316809,-0.1,0.6,0.1,0.0718566902783551,0.00903819601256961,0.000501943673238877,0.00895484546544238,0.00049540517007313,0.00679174170952037,0.00166094694989486,0.00912886355094051,0.000574401328338779
"11423-12",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717082362643227,0.00944939662101396,0.000477373594060748,0.0092120610110864,0.000472308698260453,0.0111058486246442,0.00142265236410393,0.00963818206605801,0.000569178443521407
"11423-13",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717087203214826,0.00991711787751309,0.000491146721461891,0.00953948456448023,0.000485839376358573,0.00783546925715791,0.00136560202262089,0.0102036512525391,0.000565102869949787
"11423-14",2200,0.00995033085316809,-0.1,0.6,0.1,0.0719821899319157,0.0096354295065883,0.000463825321002391,0.0095067970599176,0.000457857494703029,0.00816385754910157,0.00141077927600767,0.00941387706659839,0.000546577725202604
"11423-15",2200,0.00995033085316809,-0.1,0.6,0.1,0.0715872294299974,0.00990177418716784,0.000491810538932652,0.00968151738609953,0.000485678782407104,0.00811256482785218,0.00186727804325068,0.00992816236953281,0.000542562524305472
"11423-16",2200,0.00995033085316809,-0.1,0.6,0.1,0.0718707724676363,0.0102870992256225,0.000463822483061743,0.0101208677883974,0.000458597103952173,0.0117196721306865,0.00138738694718069,0.0100879050579814,0.000530253710824664
"11423-17",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717787050388525,0.00990531952739665,0.000479706161820545,0.00970004780512318,0.000474170599840575,0.010155741926334,0.00134343124468493,0.00986030385840423,0.00067765436590165
"11423-18",2200,0.00995033085316809,-0.1,0.6,0.1,0.071953324868118,0.0100981963945861,0.000489024889755289,0.00978885453350496,0.000484210500241347,0.00997363609749939,0.00153885661166535,0.0100383088055848,0.000573096057204141
"11423-19",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717274892794254,0.0112112553006406,0.000486708560175357,0.0109046808274188,0.000480371995366653,0.0110050838255933,0.00137481490338511,0.0112323390341366,0.000602367740288839
"11423-20",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717079006607882,0.00895613139593709,0.000486417976771361,0.00871820496547747,0.000481707701015768,0.00735219212088281,0.00173700890429298,0.0091589160391134,0.000567875335630893
"11423-21",2200,0.00995033085316809,-0.1,0.6,0.1,0.0717764630792855,0.0103545682527059,0.000476983078646849,0.0102423878496705,0.00047341191795933,0.00936316014451154,0.00131017975617168,0.00988321620827836,0.000606301548808156
