"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11422-1",340,-2.20727491318972,0,-0.7,0.6,0.1,0.109647461569775,0.000832537246347141,0.00109104065278758,0.000486321480810851,0.00108150696605564,-0.00452255592112637,0.00406523937115667,-0.000395029603864053,0.00140239441198494
"11422-2",340,-2.20727491318972,0,-0.7,0.6,0.1,0.109928517702344,-0.000291299447681616,0.00111165442673677,-0.000460873407263953,0.00107301892836227,-0.00679974716249397,0.00534000495854143,-0.000782493431111021,0.00173433917751898
"11422-3",340,-2.20727491318972,0,-0.7,0.6,0.1,0.110241879467087,-0.0012166900227174,0.00101326151361608,-0.00141743873845373,0.000983218607728244,-0.000890728888151165,0.00264479295897745,-0.000874855772131837,0.00144814361426867
"11422-4",340,-2.20727491318972,0,-0.7,0.6,0.1,0.110062117600888,-0.00190000312468416,0.00111762366605102,-0.00213182547973447,0.00111741899306054,0.000530619447539214,0.00393478832450836,-0.00238900780744227,0.00129816755238635
"11422-5",340,-2.20727491318972,0,-0.7,0.6,0.1,0.110606900049006,0.00141953715212679,0.00105174234456573,0.000919038906257161,0.00103150516908829,0.00399032454778974,0.00359382385652803,0.000596189076189508,0.00133890410448853
"11422-6",340,-2.20727491318972,0,-0.7,0.6,0.1,0.109807809240664,0.00219278814885678,0.0011008413310259,0.00255871696571452,0.00106216524646184,-0.000529671417133515,0.00256770500443092,0.00178419107887919,0.00157416436792177
"11422-7",340,-2.20727491318972,0,-0.7,0.6,0.1,0.109864300172856,-0.00169054201650102,0.00107966187330311,-0.00197269933729039,0.00107471593553398,0.00197764281546069,0.00429060527354887,-0.000720686441179716,0.00166035167974166
"11422-8",340,-2.20727491318972,0,-0.7,0.6,0.1,0.109930247905304,-0.000481042358981959,0.00109939462843163,-0.000603918357178974,0.00107018121717712,0.00426280557104951,0.00467044522932917,-0.000586787252426767,0.0014098804519681
"11422-9",340,-2.20727491318972,0,-0.7,0.6,0.1,0.110354369575304,-0.000999100905592711,0.00094427369394711,-0.00107812031774485,0.00092377022219158,0.00263678164027049,0.00285966541438668,-0.00123873959113227,0.00115784497263125
"11422-10",340,-2.20727491318972,0,-0.7,0.6,0.1,0.10994371738825,0.000249930887932326,0.00111761631221022,0.000145543881473392,0.00108259399236926,0.00033937681614194,0.00271173374284287,0.00104230605577008,0.00178237791162945
